,,▲,その他飲食［酒卸］（店長）,・飲食の傾向が変わりつつあり、店をはしごせずに１件だけで済ませる傾向が強くなっている。
,,▲,タクシー運転手,・北海道の景気が回復するような明るいニュースがなく、利用客が増加するとは考えられない。例年４月の雪どけ以降、急激に利用客が減少する。
,,×,家電量販店（店長）,・家電リサイクル法施行前の駆け込み需要の反動で、４、５、６月は売上が減少する。
"企業
動向
関連

(北海道)",,◎,－,－
,,○,通信業（営業担当）,・取引先等の企業の来年度予算計画を聞くと、前年同時期、下期に比べて情報通信に対する投資の大型化、高額化が目立っている。
,,○,その他サービス業［建設機械レンタル］（総務担当）,・公共事業の予算が決定したので早期執行が期待できる。
,,□,食料品製造業（団体役員）,・物あまり現象と製品単価の低下が続く中で、春の行楽期を迎え、製品需要の増加が期待されるが全体としては変わらない。
,,□,金融業（企画担当）,・春先の需要で景気が良くなる感じはあるが、中小企業に対する特別保証の利用期限が切れ、小規模の倒産件数が増加するとみられることから、全体としては変わらない。
,,□,その他企業［コンベンション担当］（従業員）,・５月の連休の予約状況が悪く、連休以降も良くなる兆しがみられない。
,,▲,輸送業（支店長）,・消費財及び素材関連のメーカーの在庫拠点集約化による物量の減少が今後更に顕著となる。荷主からの物流経費削減要求が多発しており、物流量の減少と単価の低下があいまって輸送関連機関は更に厳しい状況となる。
,,▲,司法書士,・雪どけが遅れており、各種物品販売で販路の遅延が生じて、今よりマイナスの状況となる。
,,×,＊,＊
"雇用
関連

(北海道)",,◎,－,－
,,○,＊,＊
,,□,求人情報誌製作会社（編集者）,・求人件数はこれからも緩やかに増加するだろうが正社員の求人が増加しなければ良いとは言えない。
,,□,求人情報誌製作会社（編集者）,・雇用状況が良くなる材料が見当たらない。
,,□,求人情報誌製作会社（編集者）,・公共事業の増加や大手企業の出店がみられない。
,,□,新聞社［求人広告］（担当者）,・建設業、水産業などは、厳しい雇用環境の中であまり変化なく現状のまま推移する。
,,□,職業安定所（職員）,・新規求人では前年比で増加傾向が続いているが、企業の人員整理も多く求職者数に変化がない。リストラによる中高年者の求職者が多い。また、企業訪問では、事業主の厳しい雇用の抑制姿勢が目立つ。
,,□,職業安定所（職員）,・新規求人が増加傾向にあるが、産業別にみるとばらつきがある。また、事業主都合による離職者も増加傾向にある。
,,▲,＊,＊
,,×,－,－
,,,,
　２．東北,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(東北)",,◎,タクシー運転手,"・今までと違い、客が途切れない。
・デパートで客待ちをしても、デパートに入る客が多いので、景気は良くなっている。"
,,○,商店街（代表者）,"・来街者が増えており、やや良くなる。
・出店から２年ほど採算が取れていた店が、大企業の資本投入によりリニューアルオープンする。初期投資や改装費用がかかっても業態変更でより多くの利益を得られる見通しがあるということで、地元中小商店はより厳しい状況にさらされるが、地域市場の活性化も期待できる。"
,,○,衣料品専門店（経営者）,"・客の購買意欲が高まっている。
・再開発ビルのオープンや中心街区活性化策が効を奏し、商店街の通行量が増えている。"
,,○,乗用車販売店（経営者）,・４月から６月にかけ新型車が発売される。
,,○,乗用車販売店（企画担当）,・これから新型車が発売されるため、客の期待から今は買い控え状態であるが、先行きは明るい。
,,○,一般レストラン（スタッフ）,・売上は今年に入り月を追うごとに増加している。
,,○,観光型旅館（経営者）,・主力である個人小旅行の直前予約はまだみえないが、６月以降の引き合いはある。
,,○,都市型ホテル（スタッフ）,・秋田では８月にワールドゲームズが開催されるため、ホテルは宿泊客やレストラン利用者でにぎわう。
,,○,住宅販売会社（従業員）,・市場金利が低下し、住宅産業に対する需要が増える。
,,□,百貨店（広報担当）,・今の状態は変わらないと思うが、参議院選を前に法人を中心に消費が冷え込む恐れがあり、特にお中元商戦に当たる可能性があるため、楽観はできない。
,,□,百貨店（総務担当）,・依然、消費者の慎重な購買行動が続く。
,,□,スーパー（店長）,・来客数は増加しているが、客単価が低下を続けており、売上はこの先増加する状況にはない。
,,□,スーパー（企画担当）,"・仙台エリアでは、小型の24時間スーパーや100円均一スーパーの出店が続き、今後も低価格化が継続される。
・客単価も依然低下傾向にあり、大きな改善は見込めない。"
,,□,衣料品専門店（経営者）,・天候に左右されやすい夏物商材の実売時期であるが、全体ではあまり変わらない。
,,□,乗用車販売店（経営者）,・３月は自動車販売のピークであるが、ピーク時でこのレベルであれば、特別なことがない限り何も変わらない。
,,□,乗用車販売店（営業担当）,・新型車の投入以外に市場に好材料がないため、あまり変わらない。
,,□,住関連専門店（経営者）,・高額でも特徴のある商品が売れているが、全体的に客単価は横ばいないし低下している。
,,□,その他専門店［ガソリンスタンド］（経理担当）,・低価格のガイアックス（ガソリン代替燃料、税金の安いアルコール系燃料）を販売するスタンドが進出してきたが、いくら安くても車を大事にする客は流れない。
,,□,高級レストラン（スタッフ）,・個人需要の動きが鈍く、今後もこの状況は続く。
,,□,旅行代理店（従業員）,"・３月末にオープンしたユニバーサル・スタジオ・ジャパンがけん引役となり、国内では関西地区が好調である。
・海外旅行は４月は好調だが、ゴールデンウィークの反応が悪くまだら模様である。
・低価格帯商品の売行きが好調である。申込は直前傾向が強くなり、１か月を切ってからの予約が増えている。高級商品の予約状況とは対象的である。"
,,□,タクシー運転手,・客の乗り控えが目立っており、当分続く。
,,□,通信会社（社員）,・インターネット関連の取引がない状態が続いており、今後も継続する。
,,□,住宅販売会社（従業員）,"・いったん下がった地価は急激に上昇しない。
・この不況は資産デフレから発生しており、事態の好転は望めない。"
,,▲,スーパー（店長）,・来客数の減少と客単価の低下が続いており、１品単価の低下と買上点数の減少は今後も改善の見込みがない。
,,▲,スーパー（店長）,"・価格競争が激しいまま推移しており、価格を下げても消費者の購買意欲に変化がない。
・客のニーズに合わせ、単品、少量パック、バラ売りなどを実施しても変化がなく、今後もこの悪循環が続く。"
,,▲,スーパー（総務担当）,"・状況が良くなる要素が１つもない。
・１品単価の低下が危惧され、客の低価格志向がますます強くなる。"
,,▲,コンビニ（エリア担当）,・値下げ競争が今後ますます激化する。
,,▲,衣料品専門店（店長）,・見た目の安さを求める客が増えており、商品の価格も一層低下する。
,,▲,家電量販店（店長）,・家電リサイクル法施行の反動により、当面消費が冷え込む。
,,▲,家電量販店（総務担当）,・競合店の出店が予定されており、競争の激化により粗利益が減少する。
,,▲,その他専門店［ガソリンスタンド］（営業担当）,・セルフガソリンスタンド出店の影響で競争が激化し、マージンが低下している。
,,▲,その他専門店［呉服］（経営者）,・農村地帯なので春になると農作業が忙しくなり、来客数は減少する。
,,▲,一般レストラン（スタッフ）,・値下げを行うと、始めのうちは客が反応するがすぐに慣れ、また一段の値下げを検討しなければならず、収益を圧迫する状況が続く。
,,▲,観光型ホテル（経営者）,・予約状況は団体客が大幅に減少しており、その分を個人客で補うが、館内消費は望めない。また選挙の年でありダブルパンチである。
,,▲,通信会社（営業担当）,・一段と値下げ競争が激しくなり、営業収入は更に減少する。
,,▲,住宅販売会社（経営者）,"・住宅の品質確保に関する法律に対応できない住宅関連企業の廃業が増えている。
・住宅販売は動きが出てきているものの、資材販売の売上は期待できない。"
,,×,乗用車販売店（経営者）,・卒業、新入学時の車の最需要期でも売上が伸びない中、３か月後に売上が伸びる見込みはない。
,,×,競輪場（職員）,・競輪事業の売上減少から、人員整理が予定されている。
,,×,住宅販売会社（従業員）,"・金融機関の融資条件や審査が厳しく、依然貸し渋り状況にある。
・13年度の公庫融資額が減額され、購入希望者は多いが、借り入れできず住宅購入を断念する客が増える。
・地価下落傾向が続いており、底がみえない限り買い控え傾向は続く。"
"企業
動向
関連

(東北)",,◎,－,－
,,○,電気機械器具製造業（従業員）,・今月が底であり、夏のボーナス商戦に向けての生産が活発になる。
,,□,繊維工業（総務担当）,"・得意先からの引き合いからみて、前年と同じ状況である。
・ニットと旗の産地であるが、旗は受注、販売ともに激減し厳しい。当産地は厳しい状況で、３月に廃業１件、破産１件で衰退ムードが続いている。"
,,□,輸送業（従業員）,・輸出の減少は当面続くが、全体では変わらない。
,,□,広告代理店（従業員）,・直接販売に結び付く広告宣伝費は多少増加するが、全体的には変わらない。
,,▲,食料品製造業（経営者）,・各種業界データでは、年間の消費金額が毎年４ないし５％ずつ低下し、この７年間の比較では前年の落ち込みが最も大きく6.8％の低下となっており、今後もこの傾向が続く。
,,▲,電気機械器具製造業（経営者）,・３か月先の状況は読めないが、京浜地区も元気がなく、当社として計画を立てることができない。
,,▲,建設業（企画担当）,・比較的堅調であった住宅投資もこのところ供給過剰感が高まっており、全体の投資すう勢に下げ圧力が働いている。
,,×,＊,＊
"雇用
関連

(東北)",,◎,－,－
,,○,－,－
,,□,人材派遣会社（社員）,・取引先の破綻や業績悪化による派遣契約の打ち切りなどはあるものの、ＩＴ関係や通信関係に派遣ニーズがあり、差し引き現状維持という判断である。
,,□,職業安定所（職員）,"・求職者は微増であるが、求人受理状況は前年比で増加幅が小さくなっている。
・新潟県で第３位の地方銀行が５月に営業譲渡することになり、約1000人の離職者が発生する。また大手企業数社で50人から100人の人員整理が行われるため、求人は増加傾向が続くものの雇用情勢は予断を許さない状況である。"
,,□,職業安定所（職員）,・サービス業の求人は増加しているが、水産加工業の求人が減少しており、全体では変わらない。
,,▲,人材派遣会社（社員）,・支店の縮小化傾向などにより、派遣先が増えない。
,,▲,新聞社［求人広告］（担当者）,・多くの企業で求人広告の予算が減少している。
,,▲,職業安定所（職員）,・人員整理が今後も高いレベルで進行し、景気が上向く要素が全く無い。
,,▲,職業安定所（職員）,"・中央大手の収益改善の影響で、製造業界での企業間格差が広がっており、収益確保が困難となっている下請企業では、雇用調整が行われている。
・雇用調整助成金の問い合わせが増えている。"
,,▲,職業安定所（職員）,・これまで好調だったＩＴ関係を始め求人が減少し、企業のリストラも進んでいる。
,,▲,職業安定所（職員）,"・人員整理中の企業の件数、解雇者数が大幅に増えている。
・雇用保険の被保険者数が減少している一方で、雇用保険の受給者数が増加している。"
,,×,－,－
,,,,
　３．北関東,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(北関東)",,◎,通信会社（営業主任）,・転居によるＣＡＴＶの解約もある一方で、加入数が増加している。客が意欲的なので、ＣＡＴＶやインターネット関連製品などは今後も伸びていく。
,,◎,住宅販売会社（経営者）,・電話での問い合わせ、イベントの来客数が、通常時の２倍程度増加している。
,,○,百貨店（企画担当）,・高額商品、紳士衣料の動きが良いので、今後に希望が持てる。
,,○,一般レストラン（店長）,・新しく出店する店舗が増加してきているので、若干上向きになる。
,,○,通信会社（社員）,・ｉモードやインターネット人口の増加により、今後も通信費の支出割合は高くなっていく。
,,□,コンビニ（店長）,・今後も来客数の伸びが期待できるが、客単価の前年割れの幅が月を追うごとに大きくなっているため、売上の回復は難しい。
,,□,コンビニ（店長）,・食べることに関しては今までも倹約しているので、もうグレードを下げられない。
,,□,衣料品専門店（店長）,・婦人服の単価は下げ止まっているが、購買客数が少ないので依然厳しい。
,,□,乗用車販売店（営業担当）,・買換えサイクルが伸びているので、新規顧客をどの程度増やせるかにかかっている。
,,□,その他サービス［自動車整備業］（事務長）,・大型店舗が増加するにつれて、地場の商店街、中堅店舗が姿を消している。
,,□,設計事務所（所長）,・大口の物件を入札したばかりだが、立ち上がりに時間がかかる。
,,□,設計事務所（所長）,"・仕事量としては増加しているが、単価が従来より低下している。
・仕事があって赤字になっていく状況は理解できない。"
,,▲,商店街（代表者）,・例年であれば、新学期で通学靴などが売れる時期だが、ほとんど売上が伸びていない。
,,▲,百貨店（販売促進担当）,・入学の付き添い着としてスーツではなく、ジャケット、スカートの単品購入で済ませている。紳士もスーツだけで、ネクタイ、ワイシャツの関連商品は購入しない。
,,▲,高級レストラン（経営者）,・売上はやや下降気味で良くなる要素がない。
,,▲,ゴルフ場（支配人）,・交際費も以前より減少し、会社の金でプレイをする雰囲気もなくなり、平日の予約が低迷している。ゴールデンウィークの予約も例年と比べて少ない。
,,▲,競輪場（職員）,・収入増の見込みもなく、使える金が徐々に減少してきているので、レジャー、ギャンブルに使う金も減っている。
,,×,＊,＊
"企業
動向
関連

(北関東)",,◎,－,－
,,○,経営コンサルタント,・企業の財務内容が改善し、採算性向上のめどが立てば、ＩＴ関連や環境関連の業種の成長に弾みがつく。
,,□,輸送用機械器具製造業（経営者）,・徹夜や土日出社の時期もあるが、５時までの仕事がない時もある。
,,□,その他サービス業［情報サービス］（経営者）,・引き合いが相変わらず多く、受注量が増加傾向にあり、良い状況で変わらない。
,,▲,建設業（経営者）,・８月下旬頃の公共事業の発注予定まではやや悪い。
,,×,電気機械器具製造業（経営者）,・新製品を出そうにも、資金がなくて開発を断念するという話も出ている。
"雇用
関連

(北関東)",,◎,－,－
,,○,－,－
,,□,人材派遣会社（経営者）,・ＩＴ関連を中心にした企業からの派遣需要は引き続き堅調だが、建設、流通等の業績不振の業界からの需要は激減するなど、業種間格差が大きい。
,,□,職業安定所（職員）,"・３月末に人員整理をする事業所が数社あり、中高年齢者を中心に求職者の増加が見込まれる。
・工場閉鎖や人員整理を行う事業所が増加する。"
,,▲,学校［専修学校］（就職担当）,・地元新聞社主催の企業説明会が数回あったが、前年と比較して参加企業が10～15％減少している。
,,×,人材派遣会社（経営者）,・派遣先はパート採用が主で、長期採用は若年層の雇用で賃金を押さえようという傾向がある。
,,,,
　４．南関東,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(南関東)",,◎,＊,＊
,,○,乗用車販売店（営業担当）,・車の買換えを迷っていた客にも、車の購入を検討する客が多くなってきている。
,,○,一般レストラン（経営者）,・周囲の店では値段を下げるところが多いが、当店では味本位で営業しており、単価が上昇している。
,,○,通信会社（営業担当）,・インターネット加入申込のすそ野が相当広がってきており、需要が徐々に増加している。
,,□,一般小売店［茶］（経営者）,・客は必要な品物は購入するが、必要でない物は安くしても購入しない。
,,□,一般小売店［ＣＤ］（営業担当）,・高年齢層の購買意欲がそれほど回復していないため、今後も期待できない。
,,□,一般小売店［文房具］（経営者）,・客は安いものを求めおり、一般小売店はついていけない。
,,□,百貨店（企画担当）,・夏のイベント、天候にもよるが、中核の婦人服の売上が天候に左0右されるならば厳しい。
,,□,百貨店（企画担当）,・雑貨関係は堅調に推移しているが、主力のファッション部門に上向きの傾向がみられない。
,,□,百貨店（販売促進担当）,・営業日数拡大等の効果は相応に出ているが、顧客の購買力上昇への期待はまだ薄い。
,,□,百貨店（企画担当）,・来客数は５％程度減少しているが、単価が若干上昇している。しかし、依然として厳しい状況が続いている。
,,□,百貨店（広報担当）,・先行き不安により、客は消費に対してますます慎重になっている。
,,□,スーパー（店長）,・株価の下落、金利低下などの消費者心理に与える影響が大きく、消費意欲がわいてこない。ただし、婦人関連商品、衣料や雑貨の売上はやや上向いてきており、ファッションのヒットアイテムが出れば、景気は若干良くなる。
,,□,衣料品専門店（店長）,・低価格傾向が続き、今後とも厳しい状況は変わらない。
,,□,乗用車販売店（販売担当）,・年度替わりの時期で受注は増加しているが、このまま受注が伸びるとは思えない。
,,□,乗用車販売店（営業担当）,・３か月後も新しいモデルが出るので、現在と同様、好調な業況は変わらない。
,,□,その他専門店［眼鏡］（店員）,・店舗により格差はあるが、全般的に来客数が２、３％減少している。この状況が今後しばらく続く。
,,□,高級レストラン（支配人）,・受注が良くない状況が続いている。
,,□,一般レストラン（支配人）,・ディスカウント競争に突入し、付加価値をつけて頑張っているが、来客数の減少は否めない。
,,□,都市型ホテル（スタッフ）,・全体の景気が良くなっても、消費者が急にホテルを使い始めるとか、お金を落とし始めることはない。
,,□,旅行代理店（従業員）,・来月、再来月の受注状況は、前年度に比べて少し悪い。ただし、客の申込が間際になる傾向にあるので、それほど変わらない。
,,□,タクシー運転手,・街に活気がなく、利用客の減少はまだ続く。
,,□,遊園地（職員）,・近隣に競合施設が開業するなかで、来園者数が増加するかを見極めることが必要である。
,,□,その他レジャー施設［アミューズメント］（職員）,・お金はあるが、自由時間がそれほどなく、結局使わないという悪循環になっている。
,,□,その他サービス［フィットネスクラブ］（支配人）,・来客数の増加傾向が感じられない。
,,□,設計事務所（経営者）,・民間の仕事が大変冷え切っている。指名参加を出している行政の仕事は、実際には６月ごろからの指名になるので、それまで先がみえない。
,,□,住宅販売会社（従業員）,・政府のデフレ宣言により、買い控えを考える客も相応に増加している。
,,▲,一般小売店［靴・履物］（店長）,・客の低価格志向は、より強くなっている。
,,▲,百貨店（副店長）,・来客数は増加しているが、低価格志向の客が目立つ。売上の向上はなかなか望めない。
,,▲,スーパー（店長）,"・家電リサイクル法施行前の駆け込み需要の反動で、家電の売上は増加しない。また、家電は低価格で打ち出す方向で検討しており、数量はある程度出るが、売上はそれほど伸びない。
・衣料品は相変わらず売上が良くないため、今後も低価格を前面に出す販売をしていくので、売上は増加しない。
・食品は依然として好調である。
・売上は全体として減少する方向にある。"
,,▲,コンビニ（経営者）,・人出は良くなってきているが、客単価及び商品単価が低下している。スーパーや競合店が値段を更に下げている。
,,▲,衣料品専門店（経営者）,"・一般消費者にお金がないわけではないが、将来不安、収入増加の見込みがないため、購買意欲がなくなっている。
・異常に安い物、手に入りにくい人気ブランドには注目している。"
,,▲,家電量販店（店長）,"・価格に対する考え方がシビアになっている。
・家電リサイクル法施行前の特需の反動で落ち込みは大きい。特に必需商品しか動かず、次の商品の購入度合いは相当減少する。"
,,▲,乗用車販売店（総務担当）,・イベントでも来客数は前年比15％低下しており、先行きが心配である。
,,▲,その他サービス［学習塾］（経営者）,・授業料を下げても他の塾も追随するため、生徒が全く集まって来ない。
,,×,百貨店（売場主任）,・前年度に比べ、売上の増加がほとんど見込めない。
,,×,コンビニ（経営者）,・この数か月、売上、来客数、客単価いずれも徐々に低下してきており、改善の見通しがない。
,,×,旅行代理店（従業員）,・３月が相当好調であったこと、３か月先の団体等の動きが全くないことから、今後は悪くなる。
"企業
動向
関連

(南関東)",,◎,－,－
,,○,通信業（営業担当）,・金利引き下げにより株価が良い方に動いているので、受注が多少伸びる。
,,□,一般機械器具製造業（経営者）,・契約単価や仕事量は横ばいである。
,,□,電気機械器具製造業（経営者）,・来月に納入を予定していた流通業向け冷蔵庫用鮮度管理商品が、約400万円の予算がないためキャンセルになっている。これがないと鮮度が保てないはずであるが、そこまで省いてしまう厳しい状況である。
,,□,金融業（審査担当）,・現状の受注状況等から判断して、今後好転する期待は薄い。
,,□,不動産業（総務担当）,・供給の少ない大型ビルの一部では、賃料の値上げを検討しているところもあるが、不況業種のテナントは賃料の値下げを要望しているところも多くなり、全体的に景気は一進一退である。
,,▲,繊維工業（経営者）,・夏物の受注が終わって秋冬物に移るが、受注の気配がない。
,,▲,電気機械器具製造業（経営者）,・引き合いは減少しており、期待できない。
,,▲,通信業（所長）,・デジタルテレビの営業に随分力を入れたが、あまりにも客の反応が弱すぎる。デジタルテレビを購入したという人も、番組があまり面白くないということで、今後期待できない。
,,▲,広告代理店（従業員）,・数か月先の仕事が来る時期であるが、未確定なものが多く、少々不安である。
,,▲,その他サービス業［情報サービス］（従業員）,・年度末には情報通信系の予算を使ってインフラ整備をするが、インフラ整備の設備投資が非常に冷え込んでいる。２、３か月の整備が出てきても、更なる増設の契約は非常に少なくなる。
,,▲,その他サービス業［廃棄物処理］（経営者）,"・４月１日以降、関連する法律改正が実施されるので、動きが慎重になる。
・半導体不況の影響で、客の景気が悪化し、受注が減少すると見込まれる。"
,,×,＊,＊
"雇用
関連

(南関東)",,◎,－,－
,,○,求人情報誌製作会社（営業担当）,・派遣やアルバイトなど短期の職員を募集する場合が多く、求人需要はそれほど減少しない。
,,□,人材派遣会社（社員）,・派遣先の百貨店が、客の低価格商品志向、買い控えといった厳しい状況に直面しているため、人材派遣も厳しい状況にある。
,,□,職業安定所（職員）,・求人数と就職は増加しているが、３月末で大量の離職者が倒産等によって生じるため、景気の状況は当面変わらない。
,,□,民間職業紹介機関（経営者）,・経営を改善するに当たって、人の採用は不可欠であるとの認識はあるが、先行き不透明感により採用を控える傾向がある。
,,□,学校［専修学校］（就職担当）,・採用未決定の企業において、新規採用を増やすところはほとんどみられない。
,,▲,人材派遣会社（社員）,"・３月に長期契約派遣の終了が多かったが、それをカバーできるほどの受注がない。
・単発や短期の派遣依頼が多くなってきている。"
,,▲,職業安定所（職員）,"・これまで景気を下支えしてきた情報関連産業の求人数の伸びに、かつての力強さが感じられない。
・情報関連産業等の成長産業を除く、従来型産業からの求人に目立った動きがなく、引き続き人員削減、事業のアウトソーシング化、業態転換等の事業再構築への取組を進めるものと考えられる。"
,,×,－,－
,,,,
　５．東海,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由
"家計
動向
関連

(東海)",,◎,＊,＊
,,○,スーパー（店長）,・必要な物にしかお金を使わない消費の現状を考えると、今まで買い控えていた分、そろそろお金を使う動きが出てくる。
,,○,コンビニ（エリア担当）,・客の動向をみていると、先行きが全く分からないので財布のひもを固くしている感じではなく、悪ければ悪いなりに賢く買物をしていこうとする気配が見受けられ、それに合わせた売場作りに店の方も慣れてきている。
,,○,衣料品専門店（企画担当）,・早めに投入した初夏の定価商品の動きが良い。今までのシーズン始めとは少し違う動きが出てきている。
,,○,乗用車販売店（従業員）,・４月からのグリーン税制の影響でかなり引き合いが多くなっている。受注的には横ばいだが、今の客の状況をみているとかなり期待できる。
,,○,ゴルフ場（企画担当）,・４月から割引率を小さくして営業を行う予定であり、他のゴルフ場も同程度の金額を維持するようになれば良い。
,,□,商店街（代表者）,・仕事がやや減少し、今までよりワンランク低い商品を買っていく客が増える。
,,□,百貨店（企画担当）,・来客数は大幅に減少しているが、購買比率は上昇している。買う意志のある客が来店するパターンが増加しているが、客単価が低く、前年の売上を下回る傾向が続く。
,,□,百貨店（企画担当）,・高級ブランド品は好調だが、普段着の衣料品はより安い店で買うことが当たり前のようになってきており、消費者はブランドや店にこだわらなくなってきている。
,,□,スーパー（店長）,・チラシ商品はそれなりに売れるが、定番品は売れない。
,,□,コンビニ（エリア担当）,・売上が前年を下回っている店舗の比率が10％以上増加している。ただし、これ以上は悪化しない。
,,□,家電量販店（店長）,・家電リサイクル法施行前の駆け込み需要の反動で、家電製品が売れる可能性は確実に減少する。
,,□,乗用車販売店（従業員）,・高額商品の消費が少なくなる。
,,□,高級レストラン（スタッフ）,・歓送迎会シーズンに入り、新メニューの開発や販売促進活動に対する客の反応は良好で、現状を維持できるとみている。
,,□,観光型ホテル（スタッフ）,・最近の婚礼は披露宴に関して両家の低価格志向が強く、結局総収入は前年並みとなりそうである。
,,□,旅行代理店（従業員）,・話題性があり注目を集めているユニバーサル・スタジオ・ジャパンや東京ディズニーシーの取扱は増加するが、他の商品が減少して相殺される。
,,□,タクシー運転手,・客の話から現状は厳しく、タクシーに乗り自宅まで帰るという雰囲気ではないようである。人は出ているがタクシーで帰る人はかなり少ない。
,,□,通信会社（営業担当）,・ユーザー側に接続費のかかるサービスはやはり落ち込んでいる。むしろランニングコストが安くなる割引のみのサービスの受注が主力になっている。
,,□,パチンコ店（店長）,・ここ１か月稼働時間、客単価ともにかなり減少している。これを最低のラインと考えている。
,,□,設計事務所（経営者）,・新規の仕事の相談や依頼がほとんどない。
,,▲,商店街（代表者）,・今月は家電リサイクル法対象４品目の売上が増加したが、ほとんどが買換え需要の前倒し消費といった状況なので、４月以降の売上は減少する。
,,▲,一般小売店［土産］（経営者）,・客はそれなりに金を使うが、必要以外の物は買わないといった傾向は続き、消費することに対する明るさが感じられず、まだ先行きに暗い感じを持っている。
,,▲,一般小売店［惣菜］（営業担当）,・３か月先はボーナスシーズンになるが、ボーナス消費は期待できない。消費者は年の暮れと同じように支出を節約すると予想され、ギフトもお中元は毎年減少傾向なので、今年もそれは変わらない。
