,,□,コンビニ（エリア担当）,・変わる要素がない。工事など、売上のプラスにつながるような外部要因も予定されていない。,,
,,□,コンビニ（エリア担当）,・天候要因での売上の増減はあるものの、売上の基本ベースに変化がないため、今後も変わらない。,,
,,□,衣料品専門店（経営者）,・気象条件が変化しているのか、今後も台風が上陸しそうなため、観光客への影響が懸念される。また、水産業ではさんまの水揚げが今一つであること、農業では台風の影響などで玉ねぎやじゃがいもなどの作物に被害が出ていることから、地元経済への影響も懸念される。食品などの価格向上も懸念されるため、身の回りの景気は少なくとも秋までは厳しいまま推移する。,,
,,□,衣料品専門店（店長）,・買上客数が増えてこない。前年を下回って推移しているため、今後も変わらないまま推移する。,,
,,□,家電量販店（経営者）,・大型テレビや冷蔵庫の買換えサイクルの問題から、今後も大きな売上が見込めない。,,
,,□,家電量販店（店員）,・今後の暖房機器の購買に期待している。,,
,,□,乗用車販売店（経営者）,・軽自動車を除いた新車販売において、自社、当地区の市場全体ともに前年の水準を上回って推移しており、この順調さは当面続く。,,
,,□,乗用車販売店（経営者）,・年末以降は新型車が発売されるため、多少は景気が上向くことを期待しているが、今後２～３か月については今の状況を大きく変えるような材料が見当たらない。,,
,,□,自動車備品販売店（店長）,・来客数が落ち込んでいることから、今後の景気が上向くとは思えない。,,
,,□,その他専門店［医薬品］（経営者）,・来客数は安定し始めたが、高額商材の購買層が高齢化していることが気がかりである。今後については中年層の取り込みが大きな鍵となってくる。,,
,,□,高級レストラン（スタッフ）,・例年であれば、秋に向かって来客数が増えてくるが、客単価の低迷や高齢者における社会不安などの要因があるため、今年は単純に来客数が増えるとは限らない。また、記録的な台風の影響で各地の取引先農場に被害が及んでおり、これまで生産者の名前や地域で売っていたメニューが継続しにくくなることが店の売上に影響してこないか不安を感じている。農場や被災地域における経済的な影響も懸念されるなど、地域産業そのものへの不安もある。,,
,,□,観光型ホテル（スタッフ）,・外国人観光客の団体の仮予約の催行率が不振なことの影響が懸念される。８月は国内の報奨旅行や学会需要で穴埋めしているが、全体では横ばいであった。,,
,,□,旅行代理店（従業員）,・海外のテロに加えて、国内も台風による豪雨などの自然災害が収まる気配がないため、今後は厳しいまま変わらない。,,
,,□,旅行代理店（従業員）,・特筆すべき大型案件などがないため、今後も変わらないまま推移する。,,
,,□,タクシー運転手,・乗務員不足が続き、タクシーの稼働率が落ち込んでいるため、利用客は前年並みであっても会社としての売上はマイナスで推移する。,,
,,□,タクシー運転手,・国内客、外国人観光客からの問い合わせ件数や予約状況が前年並みであるため、今後も変わらない。,,
,,□,タクシー運転手,・今後２～３か月で社員数が増減するような動きもないため、今後も順調に変わらないまま推移する。,,
,,□,通信会社（社員）,・客の収入が増えてこないため、今後も堅実な消費基調は変わらない。生活する側にとっても販売する側にとっても厳しい時期が続いている。,,
,,□,観光名所（職員）,・最低賃金の引上げや人件費、工事費の上昇がみられるなかで、それに見合うだけの業績の向上がみられておらず、今後も見込めないため、景気は変わらないまま推移する。,,
,,□,美容室（経営者）,・技術料金の平均単価に変動がなく、取扱商品の販売動向も一定の状況のため、当分は同じような傾向が続く。,,
,,□,住宅販売会社（経営者）,・引き続き観光客の入込が好調に推移するとみられるが、消費や投資に対する影響はあまりみられないため、今後も景気は変わらない。,,
,,□,住宅販売会社（経営者）,・徐々に消費税増税の再延期による影響が出てくるとみていたが、今のところ、分譲マンションの販売に大きなマイナスの影響はみられない。一方、客の所得が伸びていない現状であることから、今後、販売戸数が急に増加することも考えられない。,,
,,▲,商店街（代表者）,・消費が落ち込んでいるなかで、台風などの影響でこれから野菜の値段が上がるとの話が商店街の青果店から出ており、物価に影響が出そうなことから、今後の景気はやや悪くなる。,,
,,▲,商店街（代表者）,・円高が進んだことに加えて、中国で海外で購入した商品を国内に持ち込む際の関税が引上げられたことで、外国人観光客の購買意欲が低下し、高額商材を中心に売上が大幅に減少していることから、今後についてはやや悪くなる。一方、外国人観光客の入込は好調であり、旅の楽しみ方が変わってきていることから、外国人観光客の消費拡大に向けて次なるステップが求められている。,,
,,▲,商店街（代表者）,・寒くなると客足が遠のくため、今後についてはやや悪くなる。,,
,,▲,百貨店（売場主任）,・長期予報によると、９月以降は気温が平年よりも高くなる見込みであることから、秋物のジャケット、ブラウス、パンツ関連の動きが鈍くなることが心配される。また、客の節約志向が変わらないことも気がかりである。,,
,,▲,百貨店（役員）,・ここ２年間、来客数、買上客数、客単価のいずれも、ずっと低下傾向にあり、歯止めがかかっていないため、今後についてはやや悪くなる。,,
,,▲,スーパー（店長）,・ここ２～３年、前年割れの状況が続いており、景気が良くなると考えたことがない。特売の商品単価が下がっているなか、当然、客単価も上がってこないという状況にあり、今後の見通しが全く立たない。,,
,,▲,スーパー（企画担当）,・外国人観光客による購買の勢いが落ちてきていることに加えて、消費に関する報道も全体的に弱気の基調であり、そのことが消費者心理にマイナスの影響を与えているため、今後についてはやや悪くなる。,,
,,▲,コンビニ（エリア担当）,・値上げの影響か、たばこの販売量がじわじわと減少しており、それとあわせて酒類の販売量も減少している。また、し好品も生活防衛のためか、客の購買意欲が低下している。それ以外の生鮮品や食品はより価格の安いディスカウントストアに客が流出している。消費のデフレ傾向が続いているため、今後についてはやや悪くなる。,,
,,▲,コンビニ（オーナー）,・またデフレ傾向がみられるようになってきている。例えば、弁当は500円以上の商品の売上がダウンしている一方で、298円から498円の商品の売上がアップしている。こうした傾向は今後も続く見通しである。,,
,,▲,その他専門店［造花］（店長）,・景気を上向かせるような施策が特に見当たらないため、今後の景気はやや悪くなる。,,
,,▲,高級レストラン（経営者）,・天候不良による野菜の高騰などの影響があり、これから冬に向かって景気が上向くような要素はない。,,
,,▲,旅行代理店（従業員）,・８月の連続した台風上陸により、農業被害が出ているため、秋以降の旅行需要に影響が出ることが懸念される。,,
,,▲,旅行代理店（従業員）,・９月に続き10～12月も先行受注の総販売額が前年を下回っている。,,
,,▲,旅行代理店（従業員）,・天候不良などで今年の農作物は危機的状況にあるといわれており、農業が主要産業である当地の景気が好転する要素がない。,,
,,▲,タクシー運転手,・地元の景気回復にはまだ時間がかかりそうであり、人口減少などの影響も懸念される。地方では景気の先行き不透明感が強いことから、今後についてはやや悪くなる。,,
,,▲,通信会社（企画担当）,・毎年同時期に発売している新商材に対する期待の声が予想以上に小さく、札幌圏を中心とした都市部の若者からの引き合いも例年よりも少ないため、今後については期待できない。,,
,,▲,パチンコ店（役員）,・台風による第一次産業の被害から、今後の野菜などの価格高騰は避けられない。災害復興で土木建築業が多少潤うとみられるが、全体的には景気が良くなる要因が見当たらない。,,
,,×,商店街（代表者）,・オフシーズンに向かうため、来客数が減少することになる。,,
,,×,コンビニ（エリア担当）,・天候不順や漁業の不振に加えて、競合店の出店も予定されていることから、当地区での売上回復は全く見込めない。,,
,,×,タクシー運転手,・多雨により当地の基盤産業である農畜産業に多大な影響が出ており、今季の回復は厳しいとの憶測が大勢を占めていることから、今後の景気は悪くなる。,,
,,×,その他サービスの動向を把握できる者［フェリー］（従業員）,・観光の最盛期も終わり、例年と同様に客が減少することになる。,,
"企業
動向
関連

(北海道)",,◎,－,－,,
,,○,通信業（営業担当）,・見込み案件数の増加など、先々のＩＴ投資に関して、ここ最近よりも積極的な計画を耳にする機会が増えていることから、この先の景況感は現状よりも上向くことになる。,,
,,○,その他サービス業［建設機械リース］（営業担当）,・補正予算の執行に加えて、災害復旧関連工事が本格化してくることから、今後の景気はやや良くなる。,,
,,○,その他非製造業［鋼材卸売］（役員）,・客先の仕事量は確保できているため、販売量が増加傾向で推移することが見込める。,,
,,□,食料品製造業（従業員）,・今のところ、売上が大きく増減するような要因は見当たらないため、今後も変わらない。,,
,,□,家具製造業（経営者）,・円高によるデフレ進行などにより、現政権の経済対策効果が薄れてきており、今後は変わらないまま推移する。,,
,,□,建設業（従業員）,・補正予算の内容次第で景気がやや良くなる可能性がある。,,
,,□,輸送業（支店長）,・現場物件など、すでに輸送が決まっている商材がある。また、これから農産物の道外輸送が繁忙期を迎えるため、８月を底に徐々に輸送量が上向きになることを期待している。ただ、先般の台風の影響や今後の天候の動向なども考慮すると、景気が良くなるとまではいえない。,,
,,□,司法書士,・今後９～11月の３か月間で、土地取引や建物建築に多少の伸びが出てくることを期待しているが、高齢化が進んでいる現状において大きな期待は持てない。,,
,,□,コピーサービス業（従業員）,・客先の慎重な姿勢は一向に変わらないため、今後も変わらない。,,
,,□,その他サービス業［建設機械リース］（支店長）,・新規の引き合いが低調なことから、回復基調にあるとは考えられない。天候不順による産業全体への影響も心配である。,,
,,□,その他サービス業［建設機械レンタル］（総務担当）,・今後２～３か月程度は今と同様の状況が続く。,,
,,▲,食料品製造業（従業員）,・台風により北海道の野菜が影響を受けており、原材料価格の高騰が見込まれるため、今後についてはやや悪くなる。,,
,,▲,建設業（経営者）,・公共工事の早期発注によって今後は秋枯れ状態になる。ただ、補正予算が10月には成立しそうなため、マインド的には良くなるが、年度内はほとんどが契約止まりで、実際の工事着手は来年の４月以降になる。予算規模は前年よりも増額されそうであるが、半分が農業土木工事に充てられるなど、相変わらず偏りがみられる。,,
,,▲,建設業（従業員）,・８月の台風による被害で交通網が寸断され、特に道東地域での建築工事の進ちょくに多大な影響が生じることが見込まれる。,,
,,▲,輸送業（営業担当）,・首都圏の猛暑により、北海道産品の供給が増え、物流も活発化すると見込んでいたが、８月に台風が３回も上陸したことで道産品自体が影響を受けたことに加えて、海路も陸路も停滞し、物流も大打撃を受けてしまっているため、今後についてはやや悪くなる。,,
,,▲,金融業（従業員）,・円高進行もあって観光のピークアウトが懸念される。８月の台風被害が農業だけにとどまらず、幅広い業種に悪影響を与えることが懸念される。大型経済対策による道内経済への好影響が見込めるものの、全体としてはマイナス要因が大きく、やや悪化が見込まれる。,,
,,▲,司法書士,・不動産情報誌による売買希望物件の掲載数が例年よりも減少してきているため、今後、建物の新築数は更に減少することになる。,,
,,▲,司法書士,・依然として景気回復の兆しがみえないため、景気回復に向けた対策が必要である。給与の増える見込みが薄いことで住宅着工が低迷している現状であるため、実際に消費者の収入が増加しなければ、消費が拡大する要素もない。,,
,,▲,その他サービス業［ソフトウェア開発］（経営者）,・受注先や同業他社で案件のキャンセルや縮小の動きがずい分と出てきているため、今後についてはやや悪くなる。,,
,,×,－,－,,
"雇用
関連

(北海道)",,◎,－,－,,
,,○,求人情報誌製作会社（編集者）,・小売業やファストフードなどの飲食店の求人が減少したものの、前月に求人数の減った宿泊業が８月に入って増加に転じたことから、今後についてはやや良くなる。ただ、全体としては、最近の傾向と同様に過去２年間の実績を下回って推移している。,,
,,○,求人情報誌製作会社（編集者）,・年末商戦に向けて採用意欲が高まる時期であるため、今後についてはやや良くなる。現政権の経済対策を背景にした力強い動きが出てくることを期待している。,,
,,○,職業安定所（職員）,・有効求人数の増加に伴い、有効求人倍率が1.11倍と14か月連続で1.0倍超えの高水準が続いていることから、今後についてはやや良くなる。,,
,,○,学校［大学］（就職担当）,・６月１日から大手企業の採用試験や内定出しが始まり、７月一杯で各企業の採用活動がほぼ終了するとみられていたが、８月に入っても一部の大手企業と中小企業の採用活動が活発である。まだ必要人数を採りきれていないためとみられ、10月一杯までは今の状況が続く。,,
,,□,人材派遣会社（社員）,・企業における営業活動は現状のままで推移すると見込まれるため、派遣や中途採用のニーズは高止まりのまま推移する。ただ、企業が求める人材のスキルは高いため、正社員の採用がスムーズに進まない状況が続くことになれば、派遣では代替できないコアな業務も多いため、企業業績に影響が出てくることが懸念される。,,
,,□,求人情報誌製作会社（編集者）,・今後については、なだらかな下降線をたどることになる。,,
,,□,職業安定所（職員）,・新規求人数が全体的に減少傾向にあるなか、前年と比べて減少幅が縮小してきているが、職業別にみると、医療技術者と社会福祉の専門職、販売の職業、サービスの職業など、一部の職業で新規求人数が増加しているものの、ほとんどの職業で減少しており、特に求職者の多い事務的職業では10％を超えるマイナス、軽作業では正社員以外がプラスとなっている一方で正社員が15％以上のマイナスとなるなど、職業間でのばらつきがあることから、今後も雇用環境は変わらないまま推移する。,,
,,□,職業安定所（職員）,・北海道新幹線の開業効果もあり、観光関連は好調を維持しているが、人口減少の影響などでスーパーの店舗閉鎖などもみられるため、全体的には今後も変わらないまま推移する。,,
,,▲,求人情報誌製作会社（編集者）,・若年労働力の不足と農産物の作況指数の悪化から、地域の生産性が落ちることが懸念される。,,
,,▲,新聞社［求人広告］（担当者）,・今年初めて求人広告件数が前年を上回ったものの、これまでのトレンドから今回の結果は一過性のものとみられ、今後についてはやや悪くなる。,,
,,▲,職業安定所（職員）,・当地の百貨店が９月一杯で閉店するため、今後、管内で大量の離職者が発生すると見込まれているが、希望職種などの求職条件に見合った求人の増加が見込めないことから、雇用状況の悪化が懸念される。,,
,,×,－,－,,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,
"家計
動向
関連

(東北)",,◎,旅行代理店（店長）,・秋口の国内団体旅行の問い合わせが増えており、そのまま受注にもつながっている。そのため、予約は好調である。,,
,,○,百貨店（営業担当）,・婦人服に回復の兆しがみえている。この先、秋冬物、特にコートの需要が伸びてくれば全体を押し上げる要因になる。,,
,,○,スーパー（店長）,・８月の売上は、曜日の配列の悪さから前年をやや下回っているが、５～６月は前年を上回っており、景気はやや上向き傾向にある。このことから、今後も微増の状態が続くのではないか。,,
,,○,衣料品専門店（店長）,・主力商品である、スーツ、礼服といった重衣料に対する客の購入意欲が、比較的前向きになっているように見受けられる。,,
,,○,乗用車販売店（経営者）,・新型車のイベント効果はしばらく続くと見込んでいる。,,
,,○,乗用車販売店（従業員）,・11月初頭に新型車が販売されるため、更に販売量が伸びるとみている。,,
,,○,その他専門店［白衣・ユニフォーム］（営業担当）,・秋口の商売では多少なりとも商品が動くが、起爆剤となるものが見当たらないため、ほどほどで推移するとみている。さらには、競争激化の可能性もあり、気の抜けない後半戦となりそうである。,,
,,○,一般レストラン（経営者）,・来客数の回復傾向がこのまま継続すれば、景気は良くなるとみている。,,
,,○,一般レストラン（経営者）,・来客数は２～３年前の同時期と比べれば下回るだろうが、今後は今月に比べれば増えるとみている。,,
,,○,その他サービス［自動車整備業］（経営者）,・特に先行きに対する不安材料はなく、このまま好調を維持するとみている。,,
,,○,住宅販売会社（経営者）,・相続税対策としての集合住宅の受注が増えている。,,
,,□,商店街（代表者）,・地理的条件の厳しさが、徐々に顕在化してきている。商業環境の充実整備が続いている駅周辺から最も遠い商店街であり、新規路線が開通した地下鉄の恩恵も薄い。これらに対する抜本的対策が喫緊の課題となっている。,,
,,□,商店街（代表者）,・好天が続き、客の動きも活発になっているため、夏物衣料品は品切れ状態である。また、飲食店の来客数も若干ではあるが増えつつある。しかし、客単価の落ち込みにより、これから秋口に向けての売上は現状とあまり変わらないとみている。,,
,,□,一般小売店［書籍］（経営者）,・国内では、お盆を含めて観光客が横ばいであり、全体的な消費マインドは低いままで推移するとみている。,,
,,□,一般小売店［寝具］（経営者）,・２～３か月前と変わらない状況が続いており、この先数か月も同様に推移するとみている。,,
,,□,百貨店（総務担当）,・客との会話では、収入がほとんど変わらず、この先も上がる見込みがないので、今は消費を少し控えているという声を多く聞く。実際の買物でも、複数の購入をしやすい催事においても、商品をかなり絞り込んで購入していることから、今後の消費動向が変化するとは考えにくい。,,
,,□,百貨店（企画担当）,・景気が上向くような要因が見当たらない。また、消費マインドについても、変化の兆しがみえない。,,
,,□,百貨店（営業担当）,・地方では個人所得の増加が期待できず、大きな消費喚起は見込めない。,,
,,□,百貨店（買付担当）,・客の購買意欲が、高い時と落ち着いている時が交互にきているため、平均すると変わっていない。この先も同様の状態が続くとみている。,,
,,□,百貨店（売場担当）,・秋物の動きは少しずつ良くなっていく見込みであるが、あまり大きく伸びることはないとみている。トレンドや景気に大きな回復が望めず、百貨店離れ、顧客離れもみられる現状では、しばらくの間は今以上に回復することはない。,,
,,□,百貨店（経営者）,・消費者を取り巻く経済環境に変化はなく、結果として高額商材の売行きの厳しさは続くとみている。また、インポート商品の円高による値下げの効果はほとんどみられていない。,,
,,□,スーパー（経営者）,・９月は大型の経済政策が執行される。また、10月より最低賃金の引上げがあるため、消費性向が良い方向に向くことを期待している。ただし、全体としては、消費喚起にそれほど大きな変動はないものとみている。,,
,,□,スーパー（店長）,・８月末より台風の発生回数が多く、生鮮食料品の相場に悪影響が見込まれる。そのため、現状のあまり良くない営業成績の状態が当面続くとみている。,,
,,□,スーパー（店長）,・商圏の環境に変化はなく、来客数、単価共に現状のまま推移するとみている。,,
,,□,スーパー（営業担当）,・景気を左右するような要因が少ない。,,
,,□,スーパー（営業担当）,・曜日の関係で７～８月は売上の変動が大きかったが、通しでみれば大きな変動もなく、既存店の売上はほぼ100％で推移している、この傾向は今後も変わらない。,,
,,□,コンビニ（経営者）,・客単価や買上点数に大きな変化はなく、景気が良くなるような材料にも乏しいため、低調なまま現状維持となるのではないか。また、地下鉄新規路線開通以降、立地が駅と駅の間なってしまったため、来客数が元に戻るという見込みは薄い。さらに、８月以降は例年一服状態が続くため、期待できない。,,
,,□,コンビニ（経営者）,・あまり変化のない状態が続いており、３か月先もこのまま横ばいで推移するとみている。,,
,,□,コンビニ（経営者）,・来客数が前年並みであり、この状況はしばらく続くとみている。,,
,,□,コンビニ（エリア担当）,・環境が大きく変化するような要因は見当たらない。,,
,,□,コンビニ（エリア担当）,・競争環境に変化はない。ただし、エリアによっては、出店や改装、条件改善による競争激化が影響し、来客数の減少が続くとみている。,,
,,□,コンビニ（エリア担当）,・来客数の増加につながる要因が見当たらない。,,
,,□,コンビニ（店長）,・売上の回復傾向は、この先２～３か月は続くのではないか。今は、すごく良くも悪くもない全くフラットな状態である。消費者のマインドが、安いものからちょっと良いものを購入しようという心理に傾きつつあるため、注意深くみていきたい。,,
,,□,衣料品専門店（経営者）,・秋冬物の作業服などの販売に向かっているが、価格競争が激しく苦戦している。,,
,,□,衣料品専門店（経営者）,・客から秋冬物の予約を受けているが、あまり期待はできない。,,
,,□,衣料品専門店（店長）,・景気が良くならない限り、衣料品の買い控えが続くとみている。,,
,,□,衣料品専門店（総務担当）,・売上などの前年比は、過去１年間と同じように推移しており、客に購買意欲がうかがえない。,,
,,□,家電量販店（店長）,・数か月前から景気回復の兆しを実感できない状況が続いており、今後も変わらないとみている。,,
,,□,家電量販店（店長）,・客の景気判断が全体的に慎重になってきている。財布のひもは固く、購買意欲が減少している様子である。,,
,,□,家電量販店（従業員）,・来客数が横ばいの状況が続いており、今後も同様に推移するとみている。,,
,,□,乗用車販売店（経営者）,・９月に発売する新車は引き合いが多いものの、他車については動きが良くない状況である。,,
,,□,乗用車販売店（従業員）,・ここ数か月、土日の客の動きに変化がない。このような状態が急に良くなるとは考えにくい。,,
,,□,その他専門店［酒］（経営者）,・地元では景気を左右するような大きな変動要因は見受けられない。農作物の作柄などの懸念材料はあるが、米が良ければ一安心できる。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・けん引役となるような需要の動きは見当たらない。そのため、今後も低調に推移するとみている。,,
,,□,高級レストラン（支配人）,・今月はぎりぎり前年並みを維持したが、販売量、客単価、売上の動きや、９～10月の予約状況からみて、先行きは楽観視できない。,,
,,□,高級レストラン（支配人）,・消費喚起につながるプラスの要因が見当たらない。,,
,,□,一般レストラン（経営者）,・客や同業者の様子からは、２～３か月先も状況は横ばいか、もしくはやや悪くなるのではないか。,,
,,□,スナック（経営者）,・お盆以降はかなり厳しい状況が続いている。これから秋に向けて、涼しくなれば少しは客の動きに変化が表れるとみているが、売上的にはあまり変わらないのではないか。,,
,,□,観光型ホテル（経営者）,・この先に集客につながるようなイベントがなく、予約状況からも景気が良い方向に向かっている様にはみえない。,,
,,□,観光型ホテル（スタッフ）,・現状維持が精一杯であり、この先も変わらないとみている。,,
,,□,観光型旅館（経営者）,・相変わらず良い時と悪い時がはっきりとした動きをしており、良くなる要因が見当たらないことから、このままの状態が続くとみている。,,
,,□,都市型ホテル（スタッフ）,・フリー客は下げ止まり感があるものの、予約受注などを含んだ全体の状況からは、好転するような要因が見当たらない。数か月前から変化のない状態が続いており、この先２～３か月で急激に好転するとは考えにくい。そのため、評価される商品やサービスを打ち出し、好転の要因を作りあげていかなければならない。,,
,,□,旅行代理店（店長）,・株価や為替は日々変動しており、先が見通しにくい。,,
,,□,旅行代理店（従業員）,・海外において、テロに対する不安要素が払しょくされていない。また、国内も台風や連休の並びの悪さ、円高株安の影響もあり、しばらくはこの状況が続くとみている。,,
,,□,タクシー運転手,・駅前に新しい商業施設がオープンしたが、その隣の駐車場では、休日には県外から来ている車も多くみられている。皆余裕があるので外に出ているのではないか。この時点でマイナスの要因は見当たらないため、このまま良い状態が続いていくとみている。,,
,,□,タクシー運転手,・年金は減額になり、近い将来には消費税の再増税も見込まれている。一般の客は消費税に対する不安が大きく、また、雇用も人々が望むような状況にはない。これでは景気が良くなるとは考えにくい。,,
,,□,通信会社（営業担当）,・2030年度には38道府県で生産力が不足するとの内閣府の報告書が発表されている。中央と地方の格差が進んで、地方の人手不足による生産性の低下が警戒されている。ここ２～３か月では変わらないものの、年末あたりから影響が表れるのではないか。この秋の作物などの収穫状況が鍵となるが、野菜の高騰がないことを祈っている。,,
,,□,通信会社（営業担当）,・直近で景気が上向くような材料は見当たらず、当面は現状維持で推移するとみている。,,
,,□,通信会社（営業担当）,・好転する材料に乏しく、変化はないとみている。,,
,,□,通信会社（営業担当）,・消費者はとにかく出費を抑える傾向にある。これまであまり気にしていなかった携帯利用料金についても、通信料の軽減に気を使う客が増えてきている。今後も、老若男女を問わず趣味し好への出費を抑える傾向が続くとみている。,,
,,□,通信会社（営業担当）,・新規売上が伸びない状態が続くとみている。,,
,,□,観光名所（職員）,・秋は、周辺の市町村などで収穫祭的イベントが目白押しのため、集客が難しい時期となる。,,
,,□,遊園地（経営者）,・今年の９月は５連休がなく、このところの異常気象に不安はあるが、季節イベントなどで下支えをしていく。,,
,,□,競艇場（職員）,・来客数、単価共にあまり変化がない。イベントなどがあれば変化の可能性もあるが、これから先、特に予定もないため、景気に変動はないとみている。,,
,,□,美容室（経営者）,・３か月前から、客の再来店率の前年比が落ちてきているが、その落ち幅はほぼ横ばいのため、今後も同様に推移するとみている。,,
,,▲,商店街（代表者）,・社用関係の接待がどんどん無くなっている。予約状況からは企業関係の動きが止まっている様子であり、年末までこのような傾向が続くとみている。,,
,,▲,商店街（代表者）,・駅周辺に新しい大型商業施設が相次いでオープンしている。その影響が、旧来の中心部商店街やその周辺に少しずつ表れてきている。特に若者離れの傾向が顕著であり、土日はそれが更に強くなっている。全体の人数としては10％に満たない数ではあるものの、ファッションビルのテナントが駅方面に移転したこともあり、今後は予断を許さない状況となるのではないか。そのため、品ぞろえなどの対策を講じなければならない。,,
,,▲,商店街（代表者）,・前年は７月にプレミアム付商品券が発売になり、地元商店街にもある程度の効果が表れたが、今年は販売がなく、先行きの景気回復に対する起爆剤がない。,,
,,▲,一般小売店［医薬品］（経営者）,・８月は天候も良く暑かったので、関連する商品が良く売れたが、９月以降は平年並みに戻るのではないか。ことさら景気が良いとは客の様子からもうかがえないし、店としても特別良くなる傾向にはないため、景気は少し落ち込むとみている。,,
,,▲,一般小売店［医薬品］（経営者）,・アベノミクス経済効果により、世の中のお金の動きが良くなるような方向に進んでいる様子であったが、ここのところ、円高など政策の効果発現に障害が多くなってきている。中国の景気低迷や世界的な経済環境から、日本単独での景気浮揚はできないのではないか。,,
,,▲,百貨店（売場主任）,・残暑の予報もあり、現在の慎重な購買動向からも、秋物商材の立ち上がりに関して期待は薄い。購買動向が安定している上位顧客に頼らざるを得ないものの、こちらも若干の慎重さがみられることから、更に厳しさが増すものと見込まれる。,,
,,▲,スーパー（経営者）,・消費に力強さがない。円高の影響もあり価格競争が激しくなりつつあるため、景気は少し下降傾向となるのではないか。,,
