,,□,高級レストラン（スタッフ）,販売量の動き,・２年前の５割ほどの売上となりそうで、景気はやや悪い。しかしながら、客は着実に戻ってきている。緊急事態宣言が解除され、まん延防止等重点措置も適用されていないことから、ランチの売上が例年の６～７割となる日もみられるようになってきた。ただ、夜の販売量はいまだ回復していない。コロナ禍以前に利用の多かった熟年層の客もかなり少ないままである。また、予約客が主流であり、振り客が少ない。これまでのマイナスも大きいため、従業員を簡単に増やすことはできないが、来客数の多い日は人手不足で料理提供に遅れが出るなど、客に迷惑を掛けていることから、来春以降はパートなどを増やすことも検討している。
,,□,高級レストラン（スタッフ）,来客数の動き,・緊急事態宣言期間中と解除後で客の動きに大きな変化はみられない。ワクチン接種の効果で新規感染者数が急激に減少したとはいえ、感染が再拡大することへの危機感も強く、様々な対策を講じてもすぐに景気が良くなるとは考えにくい。
,,□,観光型ホテル（経営者）,来客数の動き,・緊急事態宣言は解除されたものの、予約の伸びの鈍い状態が続いている。北海道による旅行代金割引制度が始まったものの、利用できる地域が限定されること、割引原資の割当枠が小さいことから、業績を回復させるほどの効果は感じられない。引き続き厳しい集客状態となっている。
,,□,旅行代理店（従業員）,販売量の動き,・景気は悪いまま変わっていない。衆議院選挙を控えて、経済が止まっている状態にあるため、販売量も増えてこない。
,,□,美容室（経営者）,販売量の動き,・売上は３か月前とほぼ変わっていない。
,,□,住宅販売会社（経営者）,お客様の様子,・新型コロナウイルスが徐々に終息してきているため、先行きについて明るい兆しがみられるようになってきているが、大きな影響を受けている業種と好調な業種がみられるなど、業種によって状況が異なるため、全体的な景気は変わっていない。
,,□,住宅販売会社（経営者）,お客様の様子,・現在、新型コロナウイルスの感染状況が落ち着いていることもあり、客が安心してモデルルームに来場するようになり、ようやく普通に商談ができるようになってきた。やはり不動産などの込み入った商談はリモートよりも対面が望ましい。
,,▲,商店街（代表者）,販売量の動き,・春からの天候不順の影響で果物の不作があちこちでみられることから、景気はやや悪い。また、原油価格の高騰に伴って、あらゆる原料の仕入価格が上がり始めていることもマイナスである。
,,▲,スーパー（企画担当）,販売量の動き,・９月末までの緊急事態宣言が解除され、自粛生活から解放されることで、経済活動が活発になり、それに伴って内食需要が落ち込むことを想定していたが、実際には販売量が増えている。ただ、来客数は前年をやや下回っており、客が自粛生活を継続しているためとみられる。
,,▲,スーパー（役員）,販売量の動き,・新型コロナウイルスの新規感染者数が激減していることで、人の動きが活発になってきた。外食をする人が増えていることで、内食需要が落ち込んできている。
,,▲,スーパー（従業員）,お客様の様子,・新型コロナウイルスの感染拡大に伴う来客数の減少や買上頻度の低下が前年から継続しており、底がみえない状況にある。
,,▲,コンビニ（エリア担当）,販売量の動き,・緊急事態宣言が解除されたが、客の動きはまだまだ鈍い。また、たばこなどの値上げもあったため、若干ではあるが販売量が落ち込んでいる。
,,▲,乗用車販売店（従業員）,販売量の動き,・新車の受注状況は３か月前と余り変わらないが、新型コロナウイルスの影響でメーカーの減産が続き、納車に遅れが生じていることから、売上が40％ほど減少している。
,,▲,その他専門店［医薬品］（経営者）,単価の動き,・コロナ疲れがあるのか、景気回復につながらない負の力が感じられる。厳しい状況にある。
,,▲,高級レストラン（経営者）,来客数の動き,・景気はやや上向きになってきている。新型コロナウイルスの新規感染者数が激減していることで段々と人の行動が活発になりつつあり、修学旅行客もみられるようになってきている。
,,▲,スナック（経営者）,来客数の動き,・10月から営業を再開しているが、元の状態に戻るような動きはみられない。営業しないよりは営業した方が良いことは確かなため、少しでも前向きに考えていきたい。
,,▲,タクシー運転手,販売量の動き,・緊急事態宣言が解除されたとはいえ、消費者の行動はかなり慎重であり、前年の緊急事態宣言解除直後のような消費急増がみられる状態にはなっていない。
,,▲,通信会社（企画担当）,競争相手の様子,・価格を武器にした競合相手への乗換えが北海道全体で進んでおり、通信端末の契約者数が大きく落ち込んでいる。
,,▲,美容室（経営者）,それ以外,・原油価格の高騰や最低賃金引上げの影響で、中小企業はどんどん追い詰められている。
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・新型コロナウイルスが終息してきていることの効果がほとんどみられない。例年と同様に観光シーズンのピークを過ぎたことで輸送量が落ち込んできている。
,,×,乗用車販売店（経営者）,販売量の動き,・基幹産業の水産業が赤潮の影響で甚大な被害を受けていることで、関連する事業者に影響が広がっており、景気の減速が止まらない。新車の納期遅れによる影響も引き続き大きく、売上の減少に歯止めが掛からない。
"企業
動向
関連

(北海道)",,◎,食料品製造業（従業員）,受注量や販売量の動き,・10月の販売量は前年比マイナス２％となっているが、３か月前の７月の販売量は前年比マイナス39％であったため、景気はやや良くなっている。
,,○,家具製造業（経営者）,受注量や販売量の動き,・緊急事態宣言の解除によって人流が活性化しているため、景気はやや良くなっている。
,,○,通信業（営業担当）,取引先の様子,・新型コロナウイルスの感染状況が一旦落ち着いたことで、これまで留保していた案件の再始動やコロナ禍後の環境変化に対応した新規案件など、足元の客の動きが活性化している。
,,○,金融業（従業員）,取引先の様子,・緊急事態宣言の解除によって、これまで制約の多かった接触型産業を中心に経済活動が活発化している。また、北海道の新型コロナウイルス新規感染者数が減少していることで、消費マインドが改善しており、サービス消費が回復する動きもみられる。道内景気は、コロナ禍の影響が大きかった３か月前と比べてやや良くなっている。
,,○,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・ここ数か月、若干ではあるが、見込みよりも実際の売上が上回る状況が続いている。いまだ不安視していることもあるが、市場に動きが出てきていることから、景気はやや良くなっている。
,,□,食料品製造業（従業員）,受注量や販売量の動き,・売上は３か月前と比較して特に変わっていない。
,,□,建設業（役員）,受注量や販売量の動き,・工事の追い込み期に入り、今年度の完工高が積み上がりつつあるが、コロナ禍のなか、思うように受注が伸びていない状況にある。完工高、利益のいずれも年度計画に届かない状況に変わりはみられない。
,,□,輸送業（支店長）,受注量や販売量の動き,・見込みほど受注量が落ち込んでいないことから、景気は変わらない。
,,□,司法書士,取引先の様子,・10月に入り、緊急事態宣言が解除され、新型コロナウイルスの新規感染者数も減少するなど、一安心できる状況になったが、１日で景気が回復することにはならないため、景気は変わらない。ガソリンや食料品の値上げが相次いでいること、暖房が必要になる季節を迎えて灯油が値上がりしていることが、家計への打撃となっている。我慢の状況がもう少し続くことになる。
,,□,司法書士,取引先の様子,・新規感染者数の減少に伴って緊急事態宣言が解除されたこと、ワクチン接種が幅広い年代にまで浸透していることなどから、以前と比べて観光地では多くの人を見掛けるようになってきた。それに伴い観光業が主要産業である当地において徐々に景気が良くなることが期待しているが、今のところそうした動きを実感できない。
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・北海道内の建設工事量は、公共工事やそれに準ずる関連工事が順調に執行されていることもあり、コロナ禍にあってもそれほど落ち込まずに推移している。今後も例年どおりの傾向で推移するとみられる。
,,□,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・売上はほぼ前年並みで推移している。今後についても当面大きな伸びは生じないとみられる。
,,▲,建設業（従業員）,受注価格や販売価格の動き,・仕事量の少ない状況は変わっておらず、景気はやや悪い。改善の兆しもみられない。また、新型コロナウイルスの影響で工場の生産遅れが生じ、製品を思うように入手できないことから、建設工事に遅れが出ている。工期が伸びても、管理費などは据置きのままであるため、人件費が余計に掛かることが追い打ちをかけている。
,,▲,輸送業（営業担当）,受注量や販売量の動き,・ここ３か月、本州向け生乳の輸送量が大幅に減っている。乳製品関連では、粉乳やバターの在庫も相変わらず積み上がっている。消費の伸び悩みもあり、今後も同様の傾向が続くとみられる。また、ここに来て古紙不足によって、紙パルプ関連の生産にも影響が出始めている。
,,×,－,－,－
"雇用
関連

(北海道)",,◎,－,－,－
,,○,人材派遣会社（社員）,求人数の動き,・求人の問合せが増えてきている。また、既存の取引企業においても新規求人数が少しずつ増えてきている。コロナ禍に落ち着きがみられることから、次の展開を見据えて企業が人材採用に動き出してきている。
,,○,求人情報誌製作会社（編集者）,求人数の動き,・新型コロナウイルスの影響を受けた業界の求人数が回復しつつある。飲食店、小売、宿泊などが様子見をしながらも募集を開始し始めた。ただ、人材の動きがやや鈍く、求職者が様子見している様子もうかがえる。
,,○,求人情報誌製作会社（編集者）,求人数の動き,・緊急事態宣言の解除により、業種を問わず、これまで抑制されていた経済活動が動き出している。新型コロナウイルス発生前の水準にはまだまだ及ばないが、少しだけ明るさが出てきている。
,,○,求人情報誌製作会社（編集者）,周辺企業の様子,・一次産業が基幹産業である当地において、例年秋は堅調に推移する傾向があり、今年も同様の動きがみられる。緊急事態宣言が解除されたことで、まだ弱い動きではあるが、飲食業界や観光業界に活気が戻りつつある。
,,○,学校［大学］（就職担当）,採用者数の動き,・当大学の10月１日時点における新卒予定者の内定承諾状況をみると、見込みよりも数値が良いことから、企業側の内定出しと新卒予定者の内諾率が向上していることがうかがえる。新型コロナウイルスの終息もあり、大学生を取り巻く環境は少しずつ改善する兆しがみられる。
,,□,求人情報誌製作会社（編集者）,求人数の動き,・緊急事態宣言が解除され、新規感染者数も急激に減少しているものの、求人件数の伸びは今一つである。求職者の動きも鈍い。
,,□,職業安定所（職員）,求職者数の動き,・最近の傾向として、有効求職者数の高止まりがしばらく続いていることが挙げられる。状況が変わっていないことから、失業が長期化していることを懸念している。
,,□,職業安定所（職員）,求人数の動き,・当地における９月の有効求人倍率は0.86倍となっており、３か月前の６月と比べると0.02ポイント上回っている。
,,□,職業安定所（職員）,求人数の動き,・９月の有効求人数は前年から15.9％の増加となったが、新規求人数は前年とほぼ同じ水準となっている。
,,▲,＊,＊,＊
,,×,－,－,－
,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明
"家計
動向
関連

(東北)",,◎,一般小売店［医薬品］（経営者）,販売量の動き,・新型コロナウイルスに関係した抗原キットが販売できるようになり、その分が上乗せされている。また、化粧品の新製品が好調に推移している。
,,◎,一般レストラン（経営者）,来客数の動き,・今月初めから緊急事態宣言が明けて、人の流れが良くなっている。後半にかけて来客数や予約数がどんどん増えており、良くなっている。
,,◎,観光型ホテル（スタッフ）,来客数の動き,・県や市の来客増加施策がある。
,,◎,観光型旅館（スタッフ）,来客数の動き,・圧倒的に来客数が伸びている。３か月前は週末だけ多かったが、今月は宿泊者数だけでみると３倍の違いがある。
,,○,一般小売店［酒］（経営者）,販売量の動き,・首都圏での制限が解除されたことにより、商品の発送が増えている。
,,○,一般小売店［医薬品］（経営者）,来客数の動き,・10月１日からあらゆる規制が解除になり飲食店街も時間短縮営業が解除になったので、少しずつ客が戻っている。そのような状況にあり、当店の来客数も増えている。
,,○,一般小売店［酒］（経営者）,販売量の動き,・新規感染者数の減少で様々な制限が解除されたことにより、首都圏からの旅行者が急増している。旅館、道の駅等の観光施設には大型観光バスの姿もみられるようになっている。それに伴い、旅館、観光施設などへの販売量が徐々に増加傾向にある。ただ全ての客先が上向きなのではなく、同じ飲食店でも業種業態による良否格差が大きくなっている。飲食店全体での底上げはまだまだ厳しい状況である。
,,○,一般小売店［寝具］（経営者）,販売量の動き,・利益の上がる仕立てがぼちぼち出てきている。
,,○,百貨店（買付担当）,お客様の様子,・ワクチン接種が進み、気温が下がったことで購買意欲が戻ってきている印象が強い。コロナ禍で減っていた家族連れやグループでの来店がこの１か月で増加している。
,,○,百貨店（経営者）,販売量の動き,・緊急事態宣言が明け、前半は前月までの流れから変化はなかったが、新規感染者数も継続的に減少してきた月半ばからは、１割ほど来客数も増え前年を超える日も出てきた。また、気温の低下もあいまって、衣料品の動きも活発になってきている。
,,○,コンビニ（経営者）,来客数の動き,・新型コロナウイルス感染症に関する規制解除に伴い、土日の動きが出てきている。土日に限れば来客数が前年比16％増加しているが、平日は動きが横ばい状態で前年比99％となっている。
,,○,コンビニ（エリア担当）,来客数の動き,・７月は高気温、８月中旬以降は悪天候であった本年の盛夏と比べ、来客数は前年比で安定的に伸長している。
,,○,衣料品専門店（経営者）,お客様の様子,・緊急事態宣言解除後、県外からの来客が多くなっており、高額品を中心に購買されている状況である。
,,○,衣料品専門店（店長）,来客数の動き,・10月初めは景気が動いていないという状況であったが、週を追うごとに新型コロナウイルスの新規感染者数が減って、出張のほか、表彰式や結婚式といったいろいろな行事が増加してきたので、少しずつ上向きになりつつある感じがある。
,,○,衣料品専門店（店長）,お客様の様子,・新型コロナウイルス新規感染者数の減少、時短営業の解除など、明るい話題が少しずつ出てくるにつれ、消費者のマインドも変わってきており、徐々に消費に向けて行動が戻りつつある。
,,○,家電量販店（店長）,単価の動き,・新型コロナウイルスの感染も一段落して客の購買意欲が増してきている。冷蔵庫や洗濯機などの白物家電の単価が上がっている。黒物家電といわれるテレビなどの単価も前年並みになっている。季節要因の暖房商品は今のところまだ出ていないが、こちらの単価も段々と上がってくると予想している。全体的には前年並みの数字になっている。
,,○,住関連専門店（経営者）,販売量の動き,・受注生産なので、受注量が増えたことによって生産量も増加している。
,,○,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・宣言が明けて少しずつではあるが動き出してきた感じがある。飲食店や観光業はまだまだ客足は戻っていないが、それでも多少なりとも活気が出ているようである。今後に向けての準備なのかもしれないが光が見えてきた。
,,○,その他小売［ショッピングセンター］（統括）,来客数の動き,・感染拡大が急速に収まってきて、客足がかなり戻ってきている印象を受ける。ただ、まだまだ購買にはつながっていないので、今後につながることを期待している。
,,○,高級レストラン（スタッフ）,来客数の動き,・レストランのランチ、ディナーの客が増えている。
,,○,一般レストラン（経営者）,来客数の動き,・全く予約が入らなかったディナータイムに、最近ほんの僅かだが予約が入り始めた。緊急事態宣言が解除されてからしばらく動きがなかったが、月末になり多少客が戻るような雰囲気が出てきている。
,,○,一般レストラン（経営者）,来客数の動き,・時短要請解除の影響があるようである。地方なので、東京都のような爆発的な戻りはないが、時短要請やまん延防止等重点措置、緊急事態宣言が出ていた頃よりは５割くらい戻ってきている。
,,○,観光型ホテル（スタッフ）,来客数の動き,・緊急事態宣言解除により関東圏からの客足が伸びている。
,,○,観光型旅館（経営者）,来客数の動き,・様々な規制が解除されたことや行楽シーズンということもあり回復基調ではあるが、客も慎重なようで回復は緩やかなようである。
,,○,旅行代理店（従業員）,お客様の様子,・新型コロナウイルス感染症新規感染者数の減少による緊急事態宣言及びまん延防止等重点措置の解除により、個人旅行と教育旅行を中心に感染状況をみながらではあるが、ようやく動き始めている状態である。今後の新規感染者数も現状の感染者数程度に収まれば、一般団体においても緩やかに回復する兆しがみえてくる。現段階では様子見の状況である。
,,○,旅行代理店（従業員）,販売量の動き,・各県で宿泊の県民割プランが復活していることや、緊急事態宣言が解除され新規感染者数が減ってきていることにより販売量が増えてきている。
,,○,旅行代理店（従業員）,販売量の動き,・前月までは人流が極端に抑制され極めて厳しい状況であったが、９月20日頃を皮切りに緊急事態宣言の解除、新規感染者数の大幅減等もあり一気に人流拡大が始まった。付随受注も極端な伸長をしている。前月までのマイナス分をリカバリーするには半年掛かるものの、やや上向き傾向である。
,,○,通信会社（営業担当）,お客様の様子,・巣籠り需要が定着してきたためか、首都圏の緊急事態宣言解除後も早く帰宅して自宅でテレビを見たり、インターネットを利用する人が増えている。新しいライフスタイルが幅広い年齢層に定着し、アルコールを伴う飲食等のための外出も思うようには回復していない。引き続き、巣籠りで自宅時間を楽しむためのインターネット利用者は増加傾向にある。
,,○,観光名所（職員）,来客数の動き,・個人のフリーの客の予約が日々増えている。毎日20～30名ずつ新規が入る状況である。また、一般団体も地域のコミュニティの会合、集会などの団体、若しくは旅行会社の募集団体も人数は少ないが徐々に増えている。
,,○,遊園地（経営者）,来客数の動き,・まん延防止等重点措置の終了と新規感染者数の減少により、客のマインドが好転し、県内中心ながら学校団体の入園もあり、ようやく前年同様の推移となっている。
,,□,商店街（代表者）,お客様の様子,・ワクチン接種が進み新規感染者数は大幅に減少したものの、冬にかけて再び第６波の感染拡大が懸念されることから、景気は横ばいとなっている。
,,□,一般小売店［書籍］（経営者）,販売量の動き,・新型コロナウイルスの影響で依然巣籠り状態が続いているとみられ、来客数が少ない。しかし、新型コロナウイルス感染者数ゼロの報告が続いているなかで、徐々に改善されてきている。
,,□,百貨店（売場主任）,来客数の動き,・８～９月の不調からは脱しつつあり来客数も戻ってきているが、前年、前々年の同月と比較すると、まだまだ回復しきれていない。
,,□,百貨店（営業担当）,来客数の動き,・まん延防止等重点措置の解除に伴い来客数は回復の兆しをみせ、３か月前と同程度になってきている。
,,□,スーパー（営業担当）,来客数の動き,・来客数は前年比100.0％で変化はなく売上の前年比も100.2％の状況である。緊急事態宣言が解除され、スーパー以外の人流は起きるとみられる。外食などは動きに少し変化が起き、今までの内食需要はマイナス傾向を予測しているため、更に厳しくなるとみている。
,,□,コンビニ（経営者）,来客数の動き,・新型コロナウイルスの影響がまだあり、多くの人が行動を自粛しているとみられる。
,,□,コンビニ（エリア担当）,来客数の動き,・ワクチン接種が進んで10月後半より順次客の動きが出てきているが、まだ警戒感が強く新型コロナウイルス発生前のような気軽に外出、外食する動きは見受けられない。様子を見ている状態である。
,,□,コンビニ（店長）,お客様の様子,・新型コロナウイルス新規感染者数は激減しているが、自粛傾向は続いているようである。
,,□,衣料品専門店（経営者）,お客様の様子,・飲食業関連は依然として売上が減少しているが、ホテル関係は多少戻りつつある。
,,□,衣料品専門店（経営者）,お客様の様子,・新型コロナウイルスも全国的に少し落ち着いてはきたものの、まだまだ県外への旅行などを控える傾向は変わらない。洋服を新調しても出掛ける予定がないからと、購買意欲が抑えられている。
,,□,衣料品専門店（総務担当）,販売量の動き,・来客数は増加していない。しかし、季節商材の買換え需要もあると考えられるが買上点数が増加しており、若干良い傾向にあるといえる。
,,□,家電量販店（従業員）,販売量の動き,・商品の購入点数が前月と比べて少しずつ増えてきている。
,,□,乗用車販売店（従業員）,販売量の動き,・半導体不足の影響で車の納期が不安定であるため、なかなか販売に結び付かない。
,,□,その他専門店［酒］（経営者）,来客数の動き,・ここしばらく、アルコール類の動きは飲食店、一般小売店共に停滞している。特に飲食店は壊滅的で先行きが見通せなくなっている。
,,□,その他専門店［靴］（従業員）,販売量の動き,・新型コロナウイルスの新規感染者数が減少し、ショッピングセンターの集客が戻りつつある。
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・新型コロナウイルス対策の緩和などに期待をしていたが、緩和と同時に原油コスト上昇、販売価格の高騰という環境となり、販売量は低調だった前年すら超えない状況である。
,,□,タクシー運転手,来客数の動き,・サラリーマンのタクシー利用は県外からの出張者が多く、市内勤務者は極少である。また、高齢者の利用頻度は今月も極端に少なくなっている。
,,□,通信会社（営業担当）,単価の動き,・前月同様変化はない。新型コロナウイルス新規感染者数が減少傾向にあり消費は若干上向きだが、10月から各商品の価格高騰が見受けられるので下げ止まり感がある。
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲に変化はみられない。
,,□,通信会社（営業担当）,お客様の様子,・新型コロナウイルス新規感染者数は減ってきているが、まだ活動を控えている。
,,□,競艇場（職員）,来客数の動き,・休業前までは無料ファンバスでの送迎を行っていた。しかし、再開後はファンバスをやめたため、客の移動手段がなくなり来客数及び売上減少につながっている。
,,□,美容室（経営者）,競争相手の様子,・近隣の同業者は値段を安くしているようである。
,,□,その他サービス［自動車整備業］（経営者）,販売量の動き,・緊急事態宣言が解除され警戒レベルが緩和されたが、依然として往来の自粛や飲食の自粛が続いている。客足が増えず、売上も伸びない状況は変わらない。
,,□,設計事務所（経営者）,お客様の様子,・新規引き合いが届いており、一定の需要はあるとみられるが、景気が改善するような全体的な話ではない。
,,□,住宅販売会社（経営者）,販売量の動き,・戸建て住宅受注は伸びないが、賃貸集合住宅の受注が順調である。
,,□,その他住宅［リフォーム］（従業員）,販売量の動き,・住宅設備機器については、暖房器具の販売、交換工事が増えている。給湯器の納品遅れに対しては代替メーカーの商品を紹介している。リフォームについては、増改築、塗装の大型工事が減っている。
,,▲,商店街（代表者）,来客数の動き,・新型コロナウイルスの感染が下火になっても余り景気が上がらない。いつの間にか価格が上がっていたり行事がなくなったりしている。
