,,□,百貨店（営業販促担当）,・１次産業の強い地域であり、今年は天候不順の影響で収穫に悪影響が生じる予測が出ている。関連企業にもマイナスの影響が出てくることで消費が落ち込むことを懸念している。,,,
,,□,スーパー（店長）,・客の節約志向は依然として強いため、今後も景気は変わらない。ただ、地元球団のリーグ戦の結果によっては景気が好転する可能性もある。,,,
,,□,スーパー（店長）,・特に変わるような要因がないため、今後も景気は変わらない。,,,
,,□,スーパー（店長）,・この先、当店のリニューアルなどができれば、ほかの競合店とも戦えるようになるが、今現在の状況が続くのであれば、どんどんジリ貧になる。,,,
,,□,スーパー（役員）,・今更のことでもないが、少子高齢化の環境下、実店舗では、スーパーマーケット、ドラッグストア、ホームセンターなど、業態を超えた競合が激しくなっており、顧客の取り合いにより、来客数の減少、客単価の低下などが続いている。そのため、小売業全体として景気が良くなることはない。,,,
,,□,コンビニ（店長）,・良くなる要因がないため、今後も景気は変わらない。,,,
,,□,家電量販店（経営者）,・特に景気が良くなるような要因もないことから、今後も変わらないまま推移する。,,,
,,□,家電量販店（店員）,・４Ｋ放送が12月に迫ってきていることで、少しずつ関心を持ってテレビコーナーを訪れる客が増えてきている。,,,
,,□,乗用車販売店（経営者）,・当社主力の新型高級車を中心に、堅調な新車販売が依然として続いているため、今後も景気は変わらない。,,,
,,□,乗用車販売店（経営者）,・市場動向が大きく変わるような要因が見当たらないことから、今後も景気は変わらない。,,,
,,□,乗用車販売店（従業員）,・この半年間、景気が上向くことを期待していたが、良くも悪くもない状況が続いていることから、今後も変わらないまま推移する。,,,
,,□,乗用車販売店（従業員）,・新聞報道などを通じて消費税増税について把握している客が少なく、エコカー減税の内容についても理解していない客が多いことから、今後の購買意欲の向上は見込めない。,,,
,,□,自動車備品販売店（店長）,・例年、冬季は冬タイヤの動きで景気が左右されることになる。今年は冬タイヤの販売量が落ち込んでいることから、今後については苦戦が見込まれる。,,,
,,□,その他専門店［医薬品］（経営者）,・年金不安、景気不安を気に掛ける客が増えてきたため、今後の景気が上向くことは期待できない。,,,
,,□,高級レストラン（スタッフ）,・天候不順の影響で農家が思ったような収穫をできていない状況にあるため、今後の生産地の景気に影響が生じることを懸念している。,,,
,,□,旅行代理店（従業員）,・今後の景気については、地元農業の秋の収穫状況に左右されることになる。ただ、現状からは一定程度の好調さは維持できる。,,,
,,□,旅行代理店（従業員）,・与党総裁選挙結果いかんでは少し動くかもしれないが、現状を考えると余り変わらないのではないか。,,,
,,□,タクシー運転手,・秋の観光シーズンを迎えて観光客の増える時期となるが、タクシーの利用は観光客の動向よりも天候に左右されることになる。また、乗務員不足で稼働が落ちているため、今後も会社としての売上増加は期待できない。,,,
,,□,タクシー運転手,・労働者不足が顕著であり、前年並みの実績までは見込めないが、総じて景気そのものは変わらない。,,,
,,□,観光名所（従業員）,・当地に寄港する客船の増加というプラス要因が見込めるが、修学旅行の少人数化と件数の減少による団体観光客の減少がマイナス要因となり、全体としては変わらないまま推移する。,,,
,,□,観光名所（職員）,・８月は不安定な天候の影響により観光客の出足が悪く、前年を下回る実績となった。今後については、紅葉シーズンとなり、例年多くの観光客が来場するが、天候次第の面がある。,,,
,,□,パチンコ店（役員）,・外国人観光客をターゲットとしている旅行関連の業種は依然として景気が良いものの、宿泊料金が値上がりしてきており、そのことが今後の景気にどのような影響を与えるのか分からない面がある。,,,
,,□,美容室（経営者）,・以前であれば、猛暑や台風などの悪影響があると、その分、売上の落ち込みがみられたが、最近はほかの日にばん回できている。同じような売上で安定していることから、今後も景気は変わらない。,,,
,,□,美容室（経営者）,・客の様子や売上の推移から、今後も景気に変化がないまま推移する。,,,
,,□,その他サービスの動向を把握できる者［フェリー］（従業員）,・ツアー客を含めて、前年と比較して予約状況が余り芳しくないことから、今後の苦戦が見込まれる。,,,
,,□,住宅販売会社（経営者）,・景況感は余り良くないが、低金利に加えて、消費税増税前ということもあり、分譲マンション市場全体としては一進一退の状況にある。消費税増税前のしゅん工を予定しているマンションが多く、今後の販売動向によっては完成在庫が増加してくる懸念がある。,,,
,,▲,スーパー（企画担当）,・自社のみならず他社の状況をみても、来客数の動向は以前ほど良くない。単なる買い控えなのか、インターネット販売の影響なのか原因は定まっていないが、各社共に来客数対策が急務となっている。,,,
,,▲,乗用車販売店（従業員）,・今後は冬の商戦を迎えることになる。北海道の場合、冬タイヤへの交換などで客が来店する機会が増えるため、タイミング的に乗換えにつながることもあるが、北海道特有の動きとして冬に財布のひもが固くなる傾向があるため、景気はやや悪くなる。,,,
,,▲,その他専門店［ガソリンスタンド］（経営者）,・イラン産の原油が10月から輸入停止されることで、需給がひっ迫し、原油価格が上昇することが懸念される。,,,
,,▲,その他専門店［造花］（店長）,・８月の販売量が前年よりもダウンしていることから、来月以降もこの傾向が続く。購買意欲を上向かせるような施策がないこともマイナスである。,,,
,,▲,高級レストラン（経営者）,・天候不順の影響で野菜などの高騰がみられるため、買い控えが起きることを懸念している。,,,
,,▲,高級レストラン（スタッフ）,・８月から地元空港にＬＣＣの新規路線が就航したが、余り効果を感じられなかったため、今後の動向についても不透明である。,,,
,,▲,旅行代理店（従業員）,・観光繁忙期のピークを過ぎ、航空機の供給座席数も減ることになるため、利用者も減ることになる。ただ、例年10～11月は修学旅行など、当地への旅行需要の高い時期であるため、団体客に動きが出てくることを期待している。,,,
,,▲,タクシー運転手,・事前の予約状況や問合せ状況がやや少ないため、今後についてはやや悪くなる。また、月１～２件と件数は少ないものの、平成30年７月豪雨の影響による取消しがみられることもマイナス要因である。,,,
,,▲,タクシー運転手,・８月の稼働率がやや良かったが、夏季の様々なイベントの効果によるものであり、今後に向けての期待感を持てない。また、地元客の動きも余りみられない現状であるため、景気回復の動きを感じることもできず、今後も厳しい状況が続く。,,,
,,▲,タクシー運転手,・乗務員不足、働き方改革、最低賃金の上昇などのマイナス要因があるため、今後についてはやや悪くなる。,,,
,,▲,美容室（経営者）,・消費税増税や人件費の増大、人手不足などがマイナス要因となっており、今後についてはやや悪くなる。,,,
,,▲,住宅販売会社（経営者）,・天候不順の影響で農作物の生育状況が今一つであること、イカの不漁が続いていることなどから、先行きについては余り良くない状況にある。,,,
,,×,商店街（代表者）,・オフシーズンに向かうため、今後の景気は悪くなる。,,,
,,×,観光型ホテル（経営者）,・国内旅行の動きが引き続き鈍く、秋の紅葉行楽シーズンにおける一層の悪化が懸念される。,,,
,,×,タクシー運転手,・地域の主力産業である農業において、天候不順の影響による生産高の不振が現実のものとなりつつあり、景気に影響を及ぼし始めたことから、今後の景気は悪くなる。,,,
"企業
動向
関連

(北海道)",,◎,－,－,,,
,,○,食料品製造業（従業員）,・数件の新規受注が決まりつつあるなど、秋以降に向けて景気がやや良くなる兆しが現れている。,,,
,,○,コピーサービス業（従業員）,・大きな設備投資計画の話が様々な顧客から聞こえてくるため、今後の景気はやや良くなる。,,,
,,○,その他非製造業［鋼材卸売］（従業員）,・先行受注量が徐々に増えているため、今後についてはやや良くなる。活況な市場ではまだまだ需要が高まる。,,,
,,□,家具製造業（経営者）,・観光地のホテル建設などに伴う家具需要が増加しているが、あくまでもスポット需要であり、今後も継続する保証はない。そのため、トレンドとしての景気低迷を払拭するまでには至らない。,,,
,,□,建設業（経営者）,・公共土木工事については災害復旧工事が一段落したことから、前年よりも１割程度のダウンが見込まれる。また、今後、工事の稼働が最盛期を迎えることになるが、例年のパターンだと作業員が不足することになる。,,,
,,□,建設業（役員）,・手持ち工事の進捗が良好なことから、出来高も順調に推移することが見込まれる。ただ、鉄材がひっ迫しており、今後の工期に影響が生じる懸念がある。,,,
,,□,輸送業（支店長）,・冬場までは現在の人員不足が解消しそうにないため、忙しいがもうからない環境は今後も変わらない。,,,
,,□,輸送業（営業担当）,・北海道内の天候不順の影響により、農作物の生育に品目ごとのばらつきが生じているが、農作物全体の輸送量は例年並みになるとみられる。ただし、９月以降、本格的に始まる本州向けの生乳の輸送量を確保できるか不安が残る。,,,
,,□,金融業（従業員）,・エネルギー価格の上昇が今春の賃上げ効果を相殺することになり、個人消費が勢いを欠く状況は変わらない。今後の道内景気を大きく押し上げる材料に乏しく、３か月後の道内景気は変わらないまま推移する。,,,
,,□,司法書士,・現在の状況から、今後も大きな変化はないまま推移する。将来的に景気が良くなるような判断材料も見当たらない。,,,
,,□,その他サービス業［ソフトウェア開発］（経営者）,・今後も仕事が途切れることはないとみられるが、人材がいないため、そのチャンスを生かすことのできない状況が今後も続く。,,,
,,□,その他サービス業［建設機械レンタル］（総務担当）,・公共工事の発注が上向いているとの情報があるが、全体としては微増とみられることから、今後しばらくは売上が前年並みで推移する。,,,
,,▲,食料品製造業（従業員）,・原料のキャベツとタマネギの価格が高止まりしているため、今後の景気はやや悪くなる。,,,
,,▲,建設業（従業員）,・大型建築工事が少なくなっていることから、下期に向かって工事量が減少していくことが見込まれる。,,,
,,▲,通信業（営業担当）,・今期も半年が過ぎ、上半期の総括とともに今期業績の見込みについて周囲の企業と話をする機会が増加しており、下期業績に対してこれまでより慎重な見方をする企業が増加している。このため、今後の景況感については、これまでよりも下振れすることになる。,,,
,,▲,司法書士,・例年、不動産の売買、建物の新増改築は秋口から受注が低迷してくるため、今後についてはやや悪くなる。,,,
,,▲,司法書士,・景気が良いのは東京方面のみで、地方では景気回復の兆しさえ見えないことから、このままでは景気が後退することになる。,,,
,,×,－,－,,,
"雇用
関連

(北海道)",,◎,－,－,,,
,,○,人材派遣会社（社員）,・今後も求人ニーズは底堅く推移する。良い人材が採用できないという求人企業の不満の声も聞こえてくるが、企業の業績拡大意欲が衰えているようにはみえない。人材確保に加えて、現従業員の質の向上を図るための従業員教育に対するニーズが増えており、増員と既存従業員の戦力化の両輪で業績拡大を目指している企業が増えている。,,,
,,○,新聞社［求人広告］（担当者）,・農作物の生育状況が堅調なことから、今年も農業産出額が高くなることが見込め、雇用情勢もやや良くなることが期待できる。,,,
,,□,求人情報誌製作会社（編集者）,・現状、企業の人手不足感が景気の良しあしと結び付いてはいないが、このまま人手不足が続くと景気そのものの足を引っ張りそうなことが気掛かりである。,,,
,,□,求人情報誌製作会社（編集者）,・思うように人材を採用できない企業が多いため、今後しばらくは大きな変化はないまま推移する。,,,
,,□,求人情報誌製作会社（編集者）,・これから地元自治体の庁舎の建設工事が始まる予定もあるが、公共工事が一巡していることから、地元企業が恩恵を受ける機会は少ないとみられ、今後も景気は変わらない。,,,
,,□,求人情報誌製作会社（編集者）,・2020年の東京オリンピック終了までは現在の状況が続く。ただし、企業の人材募集、採用については待ったなしの状況であり、待遇面や職場環境の改善、時代に合った人材の活用方法の工夫などを順次行っていかなければ、一層の採用難に陥ってしまうことになる。,,,
,,□,職業安定所（職員）,・月間有効求人数が前年を上回り、月間有効求職者が減少する傾向にあることから、今後しばらくは求人倍率が前年を上回る傾向が続く。,,,
,,□,職業安定所（職員）,・有効求人倍率が９か月連続で前年を上回り、業種によっては人手不足が深刻化していることから、今後も景気は変わらない。,,,
,,□,職業安定所（職員）,・７月の大雨による農業被害が、今後の雇用情勢に悪い影響を与えることを懸念している。,,,
,,□,職業安定所（職員）,・スルメイカについて漁解禁から低調な水揚げが続いていることから、イカを原料とする加工業者の今後の業況に不安がある。,,,
,,□,学校［大学］（就職担当）,・家電量販店や観光関連の新卒採用担当者からは、今後も消費者の消費意欲が期待できるため、秋以降も新卒採用を継続したいとの話を聞く。そのため、公務員希望から民間希望に転換する学生や部活が終了した学生の就職活動が本格的に動き出す２～３か月後以降の動きを期待している。ただ、物流関連や自動車ディーラーについては無理な採用計画を控えているようである。,,,
,,▲,＊,＊,,,
,,×,－,－,,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(東北)",,◎,衣料品専門店（経営者）,・この先は秋冬物が本番となるため、期待している。,,,
,,○,商店街（代表者）,・飲食店が新規出店するが、話題性があるため、ある程度の客寄せ効果を期待したい。,,,
,,○,商店街（代表者）,・今後は長袖などの初秋物の衣料品が売れていくとみている。また、天候が良く雨が少ないため、土日も平日も中心市街地に人が出ており来客数も若干増加している。そのため、今後の秋物商材の動きに大いに期待している。,,,
,,○,百貨店（営業担当）,・気温の変動が大きいため、秋物衣料品の立ち上がりが早くなる見込みである。,,,
,,○,スーパー（店長）,・厳しい競合環境の中、数字は少しずつ回復してきている。この先も同様に回復していくのではないかとみている。,,,
,,○,コンビニ（経営者）,・猛暑の影響を抜きにしても、ここ数か月の客の購買意欲は底堅く推移している。購入点数や客単価は安定しており、来客数も増加傾向となっている。,,,
,,○,衣料品専門店（店長）,・まだまだ暑いなか、オールシーズンあるいは秋物を購入する客が増えている。前年よりも客の動きが良く、これだけ暑かった夏の反動もあり、衣替えはスムーズに進むのではないかとみている。,,,
,,○,家電量販店（従業員）,・４Ｋ放送のスタート前のため、チューナー、テレビ、有機ＥＬテレビなどの売上が出てくるという期待をしている。,,,
,,○,乗用車販売店（経営者）,・ＳＵＶ車や軽自動車などの新型車の動きが良く、相乗効果で他の車も動き出してきている。,,,
,,○,住関連専門店（経営者）,・受注生産であるため、受注したものを２～３か月後に納品している。今月より受注量が多いため、この先はやや良くなる見込みである。,,,
,,○,その他専門店［白衣・ユニフォーム］（営業担当）,・夏物の動きが今一つであったため、早めに冬物に移行する可能性があり、秋口に向けて動きが活発になるのではないかと見込んでいる。また、ウォームビズ関連での新商品などもあるので期待している。,,,
,,○,その他小売［ショッピングセンター］（統括）,・台風などの不安要素はあるものの、全体的な来客数の動きに変化はなく、今後も安定的な集客が望める。また、秋以降のファッションの動きにも期待している。,,,
,,○,一般レストラン（経営者）,・夏が非常に低調であったため、夏に出てこなかった客が秋になって出てくることを期待している。今よりは良くなっていくとみている。,,,
,,○,観光型ホテル（経営者）,・この夏は暑さの影響もあり個人客の動きが良くない。ただし、秋口の予約状況からは、団体旅行に関しては今月よりも良くなるとみている。,,,
,,○,都市型ホテル（スタッフ）,・８月は地元高校野球部の思わぬ善戦によりにぎわった。また、観光面でも当県は人気があり、来県の動機となる案件も増えてきている。そのため、この先年度内の販売量としては前年並みに推移するものの、にぎわいは前年を上回るとみている。,,,
,,○,旅行代理店（店長）,・お盆過ぎから、国内、海外共に個人旅行の予約が増えてきており、特にハワイの予約数が伸びてきている。,,,
,,○,通信会社（営業担当）,・12月のＢＳ４Ｋ８Ｋ放送に向けての設備投資や、新規メニューの広告展開強化によって、新規客の獲得や既存客の売上増加が期待できる。また、家電メーカーや量販店との連携イベントも予定しており、商材は豊富である。,,,
,,○,その他サービス［自動車整備業］（経営者）,・今後も案件数の減少はないとみている。ただし、全体的な人手不足により注文をさばききれない傾向にあり、受注は高止まりしている。,,,
,,○,住宅販売会社（経営者）,・消費税の引上げまでに建て売りを考える同業者も多く、自社所有宅造地の販売に期待ができる。,,,
,,○,その他住宅［リフォーム］（従業員）,・屋根と外壁をセットにした塗装工事の受付が増えている。今後は、給湯器、コンロなどのガス器具の問合せも増えてくるとみている。,,,
,,□,商店街（代表者）,・文化行事が続く時期のため期待をしたいところであるが、異常気象による不安が残る。,,,
,,□,一般小売店［医薬品］（経営者）,・景気としては悪くないが、来客数の減少に歯止めが掛からない状態であるため、その分落ち込むのではないか。客単価は良いが、それだけでは全体の売上を押し上げることは難しい。,,,
,,□,一般小売店［寝具］（経営者）,・今年は天候の動きが全く読めず、ユーザーの欲しいものがみえない。このような厳しい状態がしばらく続くとみている。,,,
,,□,百貨店（売場主任）,・一部好調な商品はあるものの、地域経済や消費動向などを踏まえると、まだまだ景気回復の実感は乏しい。売上確保についても予断を許さない状況である。,,,
,,□,百貨店（営業担当）,・景気が変動するような大きな要因がないため、期待できない。,,,
,,□,百貨店（買付担当）,・今後も気温や天候に左右されるとみている。来店動機となる館の施策を集客につなげて、定価品の販売に努めたい。,,,
,,□,百貨店（経営者）,・衣料品が占める割合が高いため、高気温の状態が続くと厳しくなる。ただし、この夏の商況でも消費マインドは悪くないため、季節商材の動きは少しずつ良くなっていくとみている。,,,
,,□,スーパー（経営者）,・８月後半からの恵みの雨で農作物や畜産物に良い影響が出てくるとみている。サンマも豊漁との話を聞いており、生鮮品はお手頃価格で販売できることを期待している。ただし、全体的な消費の傾向は変わらないとみている。,,,
,,□,スーパー（店長）,・市内で数店舗展開している企業が、県内上位の企業に買収されている。飽和状態の小売業は生き残るために今後も様々な再編が考えられるが、競争はますます激しくなるとみている。,,,
,,□,スーパー（店長）,・販促強化によって収益が低下しており、価格の打ち出しが厳しくなってきている。今後も来客数の維持が精一杯である。,,,
,,□,スーパー（副店長）,・景気は悪くないものの、消費者は必要なものを必要な分しか購入しない。このような状況は今後も変わらないとみている。,,,
,,□,コンビニ（経営者）,・天候が良ければ、３か月後も今月と同様の良い状態になると期待している。,,,
,,□,コンビニ（経営者）,・当分の間、来客数の減少による売上の減少傾向が続くとみている。,,,
,,□,コンビニ（エリア担当）,・秋から冬になるため来客数は減少するが、引き続きワンブランド効果が続くとみているため、全体的には横ばいで進むとみている。,,,
,,□,コンビニ（エリア担当）,・東北全体でみても、東日本大震災の影響が残る地区の売上減少が続いている。また、流動人口の大幅な減少や、地域への導入資金の減少が顕著にみられている。,,,
,,□,コンビニ（店長）,・景気は特に良くも悪くもなく、小康状態である。２～３か月先も天候次第の状況が続くとみている。,,,
,,□,衣料品専門店（経営者）,・天候で左右されることはあるが、ファッション衣料というカテゴリーは厳しい状況が続くとみている。,,,
,,□,衣料品専門店（経営者）,・地元高校野球部の活躍により、当社で取り扱っている野球部のスポーツタオルに多くの予約がきている。ただし、この猛暑により秋冬物の販売が芳しくない。,,,
,,□,衣料品専門店（店長）,・ブライダル需要などの目的買いの要素が強いニーズについては期待ができるが、秋物商材の立ち上がりの兆しがみえてこない現状では、先が予測しづらい。,,,
,,□,衣料品専門店（店長）,・残暑により、秋物商材の立ち上がりが遅れ、購買モチベーションが低下したまま冬に入ってしまう可能性を危惧している。,,,
,,□,衣料品専門店（総務担当）,・前年を超えられない状態が続いているため、この先も景気が良くなるとは考えにくい。,,,
,,□,家電量販店（店長）,・季節要因に左右される傾向はあるものの、引き続き白物家電の買換え需要は堅調であり、単価も前年並みを維持している。映像商材は特に有機ＥＬテレビなどの新しい商品の売行きに期待をしているが、景気が大きく変動するような傾向はみられていない。,,,
,,□,乗用車販売店（従業員）,・これといって起爆剤となるような新型車もなく、このまま低迷が続くのではないかとみている。,,,
,,□,乗用車販売店（従業員）,・景気が悪くなっているわけではないが、ここ数か月客の動きに変化がない。この先も短いスパンでは変わらないとみている。,,,
,,□,住関連専門店（経営者）,・この先には彼岸もあるため期待はできるものの、３か月を平均すれば余り変わらないとみている。,,,
,,□,その他専門店［靴］（従業員）,・商品単価を下げなければ売れない状態が続いている。,,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・高温傾向が続くため消費の低迷も続くとみている。10月あたりまではこの状態が続く見込みである。,,,
,,□,高級レストラン（支配人）,・前年と比較しても同様の来客数で推移している。そのため、２～３か月先も同様に推移するとみている。,,,
,,□,一般レストラン（経営者）,・客単価の好調は今後も続くとみている。,,,
,,□,観光型ホテル（スタッフ）,・景気が良好なのは一部大企業若しくは震災関連企業のみであり、そこからの恩恵は期待できない。,,,
,,□,観光型旅館（経営者）,・良くなるような要因が見当たらないため、例年並みに推移するとみている。,,,
,,□,観光型旅館（スタッフ）,・客が何を求めているのかが分からなくなっている。料理、価格、部屋など多様な求めに対応できずに、今まできている。そのため、今は過去のデータなどから対策を検討している。,,,
,,□,都市型ホテル（スタッフ）,・宿泊、宴会は前年並みの見込みであるが、婚礼は今後ほぼ予定がない状況である。,,,
,,□,旅行代理店（経営者）,・旅行業界は周辺の景気が良くなってから２～３か月後に影響が出てくる傾向にある。ただし、今後２～３か月先の景気が良くなっているかといえば、余り期待はできない。,,,
,,□,旅行代理店（店長）,・景気が良くなる要素が見当たらない。,,,
,,□,旅行代理店（従業員）,・景気が好転する要素は今のところ見当たらない。,,,
,,□,通信会社（営業担当）,・特需の材料が見当たらないため、景気は現状維持で推移するとみている。,,,
,,□,通信会社（営業担当）,・景気が変化するような材料に乏しい。,,,
,,□,通信会社（営業担当）,・新製品が売れない。コスト削減の話ばかりである。このような状況に変化はないとみている。,,,
,,□,テーマパーク（職員）,・イベントなども含めて、景気が良くなるような要素がない。,,,
,,□,遊園地（経営者）,・ガソリン価格や物価の上昇が消費の足かせになることを心配しているが、イベント展開などにより来客数を確保していく見通しである。,,,
,,□,競艇場（職員）,・今が良い状態のため、今後は余り大きな上昇は見込めない。落ち込まないように現状維持の努力が必要である。,,,
,,□,美容室（経営者）,・客単価の前年比がここ半年間は横ばいで推移しているため、この先も急激な変化はないとみている。,,,
,,□,美容室（経営者）,・ボランティア精神で何か新しいことを始めない限り、この先はやっていけないのではないか。,,,
,,▲,商店街（代表者）,・商店街では７月に１店舗が閉店しており、11月にも売上減少による閉店予定の店舗がある。地元商店街を取り巻く環境は一段と厳しくなっていくとみている。,,,
,,▲,一般小売店［酒］（経営者）,・最近は天候による影響が大きく、そこに災害などが伴うことも少なくない。不安要素の方が圧倒的に多く、地方経済はまだまだ苦しい状況が続くとみている。,,,
,,▲,スーパー（営業担当）,・９月以降、エリア内に競合店の出店が予定されており、ますます厳しくなる。全体的な景気回復の材料は見当たらない。,,,
,,▲,スーパー（営業担当）,・今後も価格やクーポンの強化をする予定ではあるが、節約志向が強まっており、客は衝動的で無駄な買物を控える傾向にある。,,,
,,▲,コンビニ（エリア担当）,・10月のたばこ増税により、来客数の減少が見込まれている。,,,
,,▲,コンビニ（店長）,・夏に比べて来客数は減少し、天候や競合店の出店による影響も出てくる。また、祭りやイベントもないため、売上に大きな変動はないとみている。ただし、２か月後に観光地への新店舗出店を控えているため、外国人観光客の動きが気になるところである。,,,
,,▲,乗用車販売店（経営者）,・少子高齢化による市場の収縮、若年層の車離れ、保有客の高齢化による免許証返却などにより、先行きは不透明である。,,,
,,▲,乗用車販売店（本部）,・販売はしばらく我慢のときである。また、サービス部門の台数及び単価の減少が予想よりも大きく、更なる対策が必要である。,,,
,,▲,自動車備品販売店（経営者）,・景気が良くなるような材料が見当たらない。,,,
,,▲,住関連専門店（経営者）,・金額的に大きな引き合いがあるものの、受注に結び付かない。,,,
,,▲,その他専門店［酒］（経営者）,・地元の収穫期と重なるため、飲食店への来客数が減少することに加えて、家飲みも増えている。販売単価はやや上昇しているものの、一般客の収入が増えているわけではないため、財布のひもはどうしても固くなってしまう。,,,
,,▲,その他専門店［食品］（経営者）,・輸入規制による原油高で各家庭の光熱費も上昇気味である。そのため、特徴ある食品はますます厳しくなるとみている。,,,
,,▲,その他専門店［ガソリンスタンド］（営業担当）,・現在の高止まりした燃料油価格水準のまま推移するとみており、更なる販売量の減少が見込まれている。,,,
,,▲,高級レストラン（経営者）,・景気が良くなるような材料は余り見当たらない。日本経済も人口の大半を占める首都圏は良いのだろうが、地方経済はがたがたである。,,,
,,▲,一般レストラン（経営者）,・この先は芋煮会のシーズンとなるが、酒屋や材料を扱う店は静かである。現状が余り良くないため、２～３か月先も景気はやや悪いのではないかとみている。,,,
,,▲,一般レストラン（経営者）,・これだけの回数の台風がくると、夜に外出をすることはなかなか難しい。何かあったらと考えて外出が控えられてしまうため、個人消費が落ち込むとみている。,,,
,,▲,一般レストラン（経営者）,・首都圏と地方の経済格差により、地元の人が大手を振って楽しめる環境ではなくなっている。大きな仕事が首都圏からの流れによって左右されがちな環境を改善しない限り、今後も厳しい地方経済が続く見込みである。,,,
,,▲,都市型ホテル（スタッフ）,・猛暑の影響かレストランの来客数が減少している。また、宿泊数、法人関連の宴会数も前年を下回っており、予約状況も前年同時期に比べて減少している。,,,
