,,□,乗用車販売店（従業員）,・メーカーの生産台数が増えることになれば、新車登録が進み、当社の収益向上にもつながるが、現状そのような動きはみられないため、今後も景気は変わらない。,,,
,,□,乗用車販売店（従業員）,・受注が制限されている車種が多いこと、物価上昇の影響で客の気持ちが車の購入に向いていないことから、今後も景気は変わらない。物価高の影響を受けて、メーカーが新車の価格改定を頻繁に行っていることもマイナスである。,,,
,,□,乗用車販売店（従業員）,・今後に向けて、変化が出てくるような兆しもみられないことから、景気は変わらない。メーカーの生産量が不十分なこともマイナスである。,,,
,,□,自動車備品販売店（店長）,・国内の経済状況が変化しない限り、景気は変わらない。令和の米問題などで、ここに来て、客の生活費負担が増えていることから、購入意欲はあっても、購入できないのが実情である。,,,
,,□,その他専門店［医薬品］（経営者）,・今後も景気は変わらない。客に目を向けてもらえるように、店頭活動を継続することが重要である。,,,
,,□,その他専門店［ガソリンスタンド］（経営者）,・燃料油価格定額引下げ措置が始まったものの、今後も特に変化のないまま推移するとみられる。,,,
,,□,その他専門店［造花］（店長）,・物価上昇が続く限り、客の購買意欲が上向くとは考えにくいため、今後も景気は変わらない。,,,
,,□,高級レストラン（スタッフ）,・今後も景気は大きく変わらない。ただし、地元の常連客が少なくなっていることから、今後、円高に振れるなどして外国人観光客が減少した時には、相当なダメージを負うのではないかと心配している。また、米の低価格販売については、当店の仕入れには直接影響しないが、一時的には家計にプラスの影響を与えることになる。ただし、中長期的には、生産者が事業を続けることができるような価格帯での販売が望まれる。,,,
,,□,高級レストラン（スタッフ）,・前年は当地を舞台とした劇場アニメの効果で観光客の大幅な増加がみられたが、今年はそうした特需もないため、お盆までは現状のままで推移することになる。,,,
,,□,観光型ホテル（スタッフ）,・予約状況に大きな動きがみられないことから、今後も景気は変わらない。,,,
,,□,旅行代理店（従業員）,・円安、物価高が続いていることから、今後も海外旅行の増加は見込めない。参議院選挙の影響で人の動きが一時的に停滞することも見込まれる。また、全国と同様に、北海道においても宿泊施設の利用料金が高騰していることから、特にファミリー層の道内旅行が控えられることが懸念される。これらのことから、今後も現状と変わらないまま、景気のやや悪い状態が続くことになる。,,,
,,□,旅行代理店（従業員）,・生活必需品などの物価が上がっていることで、旅行などの余暇に回す費用が減っている客が多い。そのため、今後も現状と変わらないまま推移する。,,,
,,□,タクシー運転手,・観光客やイベント関係のタクシー利用について、今後、状況が変化するような動きが見当たらない。そのため、今後も景気は変わらない。,,,
,,□,タクシー運転手,・景気が良くなるような要素がなく、乗務員採用も思うように進んでいないことから、今後も景気は変わらない。,,,
,,□,観光名所（従業員）,・物価高に加えて、米国の関税の動きが不透明なことから、国内客の動きはしばらく停滞するとみられる。一方、外国人観光客は、海外直行便の新規就航や豪華クルーズ船の寄港により、活発な動きが見込まれる。このため、全体としては大きな変化のないまま推移する。,,,
,,□,美容室（経営者）,・ここに来て、物価高騰に対する客の動きが落ち着き始めたことから、今後の景気は、良くはならないにしても、悪くもならずに推移すると見込まれる。,,,
,,□,住宅販売会社（従業員）,・賃上げが物価上昇に追い付かない状況が続いていることから、今後も景気は変わらない。,,,
,,▲,商店街（代表者）,・今の国内の経済状況から、国が緊縮財政の方針を転換し、減税などを進めない限り、消費がますます冷え込むことになる。国民の貧困化が進むことで、景気が悪化することを懸念している。,,,
,,▲,商店街（代表者）,・客の反応は、日を追うごとに悪くなっている。明るい話が１つも聞こえない状況にあることから、今後の景気はやや悪くなる。,,,
,,▲,商店街（代表者）,・前回の万博開催時もそうだったが、大阪・関西万博の影響で、今後、北海道を訪れる観光客が減少するとみられる。外国人観光客については、入込の少ない時期ということもあって、今のところ大きな減少はみられないものの、これから観光シーズンを迎えて、影響が出てくるのではないかと心配している。,,,
,,▲,一般小売店［土産］（経営者）,・今年は大阪・関西万博が開催されているため、これから夏休みにかけて、客が関西方面に流れることが考えられる。前年は北海道を旅行する客が割と多かったが、今年は関西方面に客の足が向くことになり、その分、売上が減少することになる。,,,
,,▲,百貨店（売場主任）,・今後については、インバウンドの来客数が減少することが見込まれる。,,,
,,▲,スーパー（店長）,・物価高や人手不足が改善されないため、景気はますます悪くなる。,,,
,,▲,スーパー（店長）,・米国の関税の動きが不透明なことから、今後の景気はやや悪くなる。,,,
,,▲,スーパー（企画担当）,・物価高騰が続いていること、米国の関税の動きが不透明なこと、ウクライナ情勢などの国際情勢の先行きが見通せないことから、先行きへの不安感が強く、今後、消費者の財布のひもがますます固くなるとみられる。,,,
,,▲,スーパー（役員）,・食品の値上がりが長期にわたって続いていることから、客の節約意識が強くなる一方である。今後については、客の買い控えがますます進むことになる。,,,
,,▲,スーパー（従業員）,・人件費が増加していることから、今後の景気はやや悪くなる。,,,
,,▲,コンビニ（エリア担当）,・観光客やインバウンドの利用が大きく増加しない限り、今後も厳しい状況は続くことになる。,,,
,,▲,コンビニ（エリア担当）,・値上げの影響で今後も消費は落ち込むことになる。消費の落ち込み分を値上げでカバーすることもそろそろできなくなるのではないかと懸念している。,,,
,,▲,乗用車販売店（経営者）,・新商品の投入予定がないため、下半期までは苦戦が見込まれる。経営面では、賃上げに加えて、公共料金やガソリン価格の高止まりにより、経費負担が増えていることがマイナスとなっている。,,,
,,▲,住関連専門店（役員）,・食料品を中心に値上げが続いていることから、客の節約志向がますます強くなる。,,,
,,▲,高級レストラン（スタッフ）,・当地の人口減少に歯止めがかからないこと、物価上昇が続いていること、地元企業の社内ムードが落ち込んでいることから、売上が増えるような動きが見当たらない。,,,
,,▲,観光型ホテル（経営者）,・物価高の影響で、国内客の予約状況が悪い。海外客については、７月５日に日本で大地震が起こるとの風説が流れていることで、アジア方面からの予約が大きく減少している。また、米を始めとした食料品の価格が上昇していることで、仕入額が大きく増加しており、経費を押し上げている。これらのことから、今後数か月の景気は大きく落ち込むことが懸念される。ＧＤＰが前期比マイナスとなったことで、大型の経済対策などが行われることを期待したい。,,,
,,▲,通信会社（企画担当）,・高齢者を中心に、機種変更や新端末・新サービス移行にかかる費用がかさむとみられることから、当面は収支が悪化することになる。ただし、秋以降は収支が改善すると期待している。,,,
,,▲,美容室（経営者）,・物価高が収まらない限り、景気が良くなることはない。,,,
,,▲,住宅販売会社（経営者）,・地方では、所得の伸びよりも物価の上昇率が明らかに上回っていることから、客の日々の生活にゆとりがなくなっている。そのため、住宅市場が好転し、成長するという展望は見通しにくい。,,,
,,×,一般小売店（経営者）,・今夏には参議院選挙が行われることもあって、景気の回復はしばらく先のことになる。,,,
,,×,スーパー（店長）,・物価がますます上がり、商材の値段も高くなっていることから、客の買い方もどんどん渋くなっている。また、電気や水道、ガスの料金も上がっているため、客の給与が今よりも増えない限り、商品の売行きが良くなることはない。,,,
,,×,衣料品専門店（店長）,・品質よりも価格に対する客の要求が強まっているなか、衣料品業界では、既に次期シーズンの発注、生産を行っており、どうしても対応が後手に回ってしまっている。そのため、今後の景気は悪くなる。こうした状況を報道で取り上げてもらうなどして、客の理解を得られないと、今後の経営が成り立たなくなることも懸念される。,,,
,,×,タクシー運転手,・令和の米騒動が、当面沈静化しないとみられることから、今後も消費者の節約志向が続くことになる。そのため、今後の景気は悪くなる。,,,
"企業
動向
関連

(北海道)",,◎,－,－,,,
,,○,農林水産業（経営者）,・今後、果物の収穫期を迎えるなか、米の価格が安定することで、景気が上向くことを期待している。,,,
,,○,食料品製造業（従業員）,・夏を迎えて、観光客の動きが活発になることで、景気が上向くと期待している。,,,
,,○,建設業（経営者）,・今後、受注が進み、工事の稼働率や稼働量が最盛期を迎えることになる。９月頃までは災害などが起こらない限り、順調な進捗が期待できる。ただし、米国の関税の動きが景気や施工面にどのような影響を及ぼすか見通せないことが気掛かりである。,,,
,,○,金融業（従業員）,・賃上げ改定後の賃金の支給が進むこと、燃料油価格定額引下げ措置の効果が生じること、米の価格対策により消費者物価の上昇が抑制されることなどから、今後、実質賃金が増加に転じ、消費者マインドが改善することを期待している。ただし、米国の関税の動きは懸念材料である。,,,
,,□,食料品製造業（従業員）,・今後についても、現状と同等の売上が見込まれる。,,,
,,□,食料品製造業（従業員）,・４月に価格改定を行ったにもかかわらず、販売量が増加している。これまで価格改定後は販売量が減少する傾向にあったことから、今後の景気を判断しづらい状況にある。,,,
,,□,建設業（従業員）,・建設費の高騰や人手不足はすぐには解消しない問題であるため、今後も現状維持のまま推移する。,,,
,,□,建設業（役員）,・技術職員の現場配置がフル稼働状態で続く見通しに変わりはない。一方、夏の参議院選挙の行方が、景気と投資マインドの動向を左右しかねないため、今後、影響が生じることを懸念している。,,,
,,□,輸送業（支店長）,・トラック不足や人手不足の状況はすぐには変わらない。そのため、貨物はあっても、順調に業務をこなすことができず、もうからない状況が続くことになる。,,,
,,□,広告代理店（従業員）,・米国の動きに見通しが立ちづらいこともあって、景気が上向くことを想像しにくい状況にある。今後、米国との関税交渉が、日本にとって有利な内容でまとまることになれば、プラスの効果が出てくることが期待できる。,,,
,,□,その他サービス業［ソフトウェア開発］（経営者）,・今後、米国の関税の影響が出てくることも考えられるものの、現在の受注状況から、この先数か月は大きな変化のないまま推移する。,,,
,,□,その他サービス業［建設機械リース］（営業担当）,・労働者不足問題や米国の関税を巡る世界的な不安感があるなか、当面は景気の良しあしの見極めについて、判断の難しい状況が続くことになる。,,,
,,□,その他非製造業［鋼材卸売］（従業員）,・客先の仕事量が少ないことから、商材の購入意欲が低下している。仕事量はこれから少しずつ増えてくるとみられるが、客先への入金は数か月先となるため、秋口くらいまでは現状維持での推移となる。,,,
,,▲,金属製品製造業（従業員）,・改正建築物省エネ法の影響で、新築住宅について駆け込み受注が生じており、今後、反動で落ち込むことが見込まれる。,,,
,,▲,通信業（営業担当）,・ここしばらく景況感はやや上向きで推移していたが、米国の関税の動きが不透明なこと、原材料の値上げが続いていることから、この先の景況感はやや停滞すると見込まれる。,,,
,,▲,司法書士,・ここ数年、インボイス制度の導入や社会保険料率の引上げなどにより、企業や国民の負担が増加しており、今後もこうした傾向は続くとみられる。参議院選挙を控えて、一時的な負担軽減策が行われる可能性はあるものの、将来的には企業や国民の負担がますます増えると見込まれるため、景気が回復するとは考えにくい。,,,
,,▲,司法書士,・不動産相続登記の義務化に伴う過去の掘り起こし案件が一段落し始めている。また、土地代金や建築費用が高いため、個人の不動産取引は中古物件が増えており、若い世代が住宅を新築しにくい状態が続いている。これらのことから、今後の景気はやや悪くなる。,,,
,,×,－,－,,,
"雇用
関連

(北海道)",,◎,－,－,,,
,,○,求人情報誌製作会社（編集者）,・米国の関税の動き、米を始めとする物価高騰の影響で景気が悪くなっており、それが求人数の減少に現れている。米の価格対策など、効果的な対策が行われることで、今後の景気が上向くことを期待している。,,,
,,□,人材派遣会社（社員）,・米国の関税の先行きに不安は感じるものの、今のところ、北海道では景気が下振れする様子はみられないことから、今後も現状のままで推移する。企業において、人材確保の優先度の高い状況はしばらく続くことになる。,,,
,,□,求人情報誌製作会社（編集者）,・経済活動が活発になったとしても、物価高騰を上回る賃上げは見込めないため、物価高によるマイナスの影響が大きい状況は変わらない。そのため、今後の景気は横ばい又は下向くことになる。,,,
,,□,求人情報誌製作会社（編集者）,・当地で開催されている大規模イベントが、地域経済を刺激する良い材料となっている。周辺の飲食店や宿泊施設も対応を強化し始めており、今後の経済波及効果を期待できる。また、参議院選挙に向けた準備が本格化しており、関係業務を中心に求人申込みが出始めていることもプラスである。,,,
,,□,職業安定所（職員）,・新規求人数は減少が続いているものの、特殊要因によるものであり、求人数の減少が景気の悪化に直結しているとはいえない状況にある。,,,
,,□,職業安定所（職員）,・当地の新規求人数は、前月に８か月ぶりの増加に転じたものの、４月は前年比マイナス4.9％となり、再び減少に転じた。また、月間有効求人数は25か月連続で前年を下回っている。産業や業種によってその度合いは異なっているものの、今後の物価上昇の状況によっては、経済活動、消費行動の状況が先を見通せない状態となることが懸念される。,,,
,,□,職業安定所（職員）,・物価高騰が続くなか、消費者が物価高に慣れてきたこともあって、動きが多少落ち着いている。そのため、今後の景気は横ばいでの推移となる。,,,
,,□,学校［大学］（就職担当）,・景気が上向くような要因は見当たらない。雇用条件が良くなっている業界はあるものの、一部の動きにとどまっている。,,,
,,▲,職業安定所（職員）,・この先、数か月で経済動向に大きな変化が生じるとは考えにくい。また、米国の関税の動きが不透明なこともあって、景気が上向くような要因が見当たらない。,,,
,,×,－,－,,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(東北)",,◎,－,－,,,
,,○,商店街（代表者）,・夏祭りなどイベントが増えるため、観光需要が増加する。,,,
,,○,一般小売店［医薬品］（経営者）,・来客数の減少は続いているが、暑くなると身体が不調になる人が多くなるため、販売量は増えるとみている。,,,
,,○,スーパー（店長）,・備蓄米の放出により米の価格が下がれば、可処分所得は増えるとみている。,,,
,,○,コンビニ（経営者）,・客は商品の値上げは織り込み済みで抵抗はないようである。客単価、買上点数、来客数共に伸びている。気温が上昇すれば、一層アップしそうな状況である。前月は米も動いていたが、今は落ち着きほとんど動いていない。,,,
,,○,コンビニ（経営者）,・来客数に変化がなく、前年と同じように暑くなれば、景気はやや良くなるとみている。,,,
,,○,コンビニ（経営者）,・気温が上昇することと夏祭りがあるため、売上は上がる。後は廃棄と人件費をどれだけ抑えられるかに懸かっている。この時期に稼げないと冬は借金経営になる。また、最低賃金が大幅に上がるようなことがあれば、経営継続は困難になる。,,,
,,○,コンビニ（エリア担当）,・夏のイベント開催に加え、天候も例年より暑くなるとの予報で、来客数は増加するとみている。,,,
,,○,コンビニ（店長）,・米の価格が安定することで、経済的にも心理的にも上向くとみている。,,,
,,○,家電量販店（従業員）,・６～７月はエアコンの最需要期だが、前年、前々年と売上、販売数共に前年を下回った。梅雨入り、梅雨明けのタイミングや気温上昇が鈍いことも要因の１つとして捉えている。今年こそ早めの梅雨明けと気温の上昇により、エアコン需要が回復することを期待している。,,,
,,○,乗用車販売店（従業員）,・７月頃からオーダーを再開できる車が２車種ほど増えるため、少し上向くとみている。,,,
,,○,乗用車販売店（店長）,・来客数は徐々に増えており、顧客の消費マインドも上向いている。特に必要な修理部品には金を惜しまずかけているため、サービス部門の売上が前年比120％と大きく改善している。,,,
,,○,住関連専門店（経営者）,・受注残があるため、販売量は増加する。,,,
,,○,その他小売［ショッピングセンター］（統括）,・ゴールデンウィーク商戦では人流増もみられ、期間全体で来客数は前年比106.5％と好調であり、７～８月の夏休み商戦も期待できる。,,,
,,○,一般レストラン（経営者）,・予約の入り具合がコロナ禍の前に近くなっている。客の動きが良いため、やや良くなるとみている。,,,
,,○,都市型ホテル（支配人）,・インバウンド及び夏休みの国内旅行の先行予約が好調である。,,,
,,○,旅行代理店（従業員）,・先行予約の状況も悪くないため、夏のボーナス支給後の旅行消費額はやや良くなるとみている。,,,
,,○,通信会社（営業担当）,・ガソリン価格や光熱費に対する補助、米価高騰対策により、多少は良くなるとみている。,,,
,,○,テーマパーク（職員）,・１番の繁忙期になるため、来客数、買上率、客単価はアップするとみている。,,,
,,○,美容室（経営者）,・公務員と上場企業は賃上げなどにより夏のボーナス支給額が増加する。また、参議院選挙における景気対策も出そろう。消費にはプラスに働くとみている。,,,
,,○,その他住宅［リフォーム］（従業員）,・住宅設備機器は、気温上昇に伴い、エアコンの交換に関する問合せが増えるとみている。リフォームは、補助金対象の工事の問合せが増えるとみている。,,,
,,□,商店街（代表者）,・米の価格が２倍以上になり、飲食店や家計に大打撃を与えている。米などの物価上昇を抑えない限り、景気は変わらない。,,,
,,□,一般小売店［酒］（経営者）,・この先、物価高や米国の関税政策に伴うマイナスの影響がどれだけ消費マインドに影響するのかという不安がある。プラスの影響は当面ないとみている。,,,
,,□,一般小売店［寝具］（経営者）,・商品の動きが鈍い状況は変わらない。,,,
,,□,一般小売店［書籍］（営業担当）,・社会情勢や業界において、プラスの材料が見当たらない。,,,
,,□,百貨店（企画担当）,・物価高の影響もあり、引き続き高額品を中心に景況感は厳しさを増すとみている。,,,
,,□,百貨店（営業担当）,・気温の上昇によって衣料品の売上がどこまで回復するか、見通しが立たない。,,,
,,□,百貨店（経営者）,・年金や物価高の話題が連日ニュースで取り上げられているため、消費マインドは更に低下していく。お中元は送り先の絞り込みやギフト自体の取りやめなどが予想され、百貨店のメインターゲットであるシルバー層の消費は更に鈍くなるとみている。,,,
,,□,百貨店（催事担当）,・全館リニューアルオープンの効果が売上に現れている。しかし、依然として生活防衛意識は高く、生鮮品を中心に食料品が不調である。今後も予断を許さない状況は続く。,,,
,,□,百貨店（従業員）,・物価高がいつまで続くかなど先行きが見えないなか、生活防衛意識は高いままで変わらず、購買行動に変化はないとみている。,,,
,,□,スーパー（経営者）,・備蓄米の需要の高まりからみても、消費者の低価格志向は続くとみている。,,,
,,□,スーパー（店長）,・ゴールデンウィークを過ぎた頃から売上は一定の水準で落ち込んでいる。その傾向は今後も変わらないとみている。,,,
,,□,スーパー（店長）,・物価高が続くため変わらない。,,,
,,□,スーパー（店長）,・良くなる要因は見当たらない。このままの状態が続くとみている。,,,
,,□,スーパー（企画担当）,・政府による米の需給対策やガソリン価格の状況によっては上向きに転じる。ただし、米国の関税政策の影響への懸念もある。,,,
,,□,スーパー（企画担当）,・物価高になれば客が購入数量を減らすのは当然である。小売業においては、価格上昇分を売価に転嫁できない限り経営は苦しくなる。,,,
,,□,スーパー（商品担当）,・米の価格が低下し相場が安定すれば、節約志向は和らいでいくと考えるが、米の平均価格が下がるかは現時点で確定していない。３か月後の状況は変わらないか、若干良くなるとみている。,,,
,,□,スーパー（業務担当）,・現状から大きく変わる兆候はない。,,,
,,□,スーパー（店舗運営）,・販売環境に大きな変化はない。,,,
,,□,コンビニ（経営者）,・当面は現状のまま変わらないとみている。,,,
,,□,コンビニ（経営者）,・人の動きは変わっておらず、物価も上がっているため、全体的に横ばいが続くとみている。,,,
,,□,コンビニ（エリア担当）,・外的要因による変化はなく、好調は変わらないとみている。,,,
,,□,コンビニ（エリア担当）,・来客数が増加しないなか売上が上がっているのは、単純に値上げの効果である。景気が回復したとは考えていない。,,,
,,□,コンビニ（店長）,・景気は徐々に悪化している。税金等の払込みにおいて１年分をまとめて払う人が多いことも、確実に払わなければならないところから払うという意識が働いているためとみている。,,,
,,□,衣料品専門店（経営者）,・仕入価格の上昇で今後の見通しが立てにくく、お中元商戦の売価設定に苦慮している。,,,
,,□,衣料品専門店（店長）,・天候に大きな変化がない限りは変わらない。しかし、軽装化が進み、スーツを着ない人が更に増えることを懸念している。,,,
,,□,衣料品専門店（店長）,・物価高に連動した賃上げが進まない限り、個人消費の不安定な動きは変わらない。,,,
,,□,衣料品専門店（総務担当）,・2025年のベースアップ実施企業は僅かながらも増加しているが、物価上昇分をカバーするには至らない。この状況は今後も変わらないとみている。,,,
,,□,家電量販店（従業員）,・良くなる材料が見当たらない。,,,
,,□,乗用車販売店（従業員）,・モデルチェンジ後、生産オーダーを開始しても、納期に時間が掛かれば、景気はすぐには良くならない。,,,
,,□,乗用車販売店（従業員）,・配車量が極端に増えない限りは変わらない。,,,
,,□,乗用車販売店（従業員）,・決算期を迎える。,,,
,,□,住関連専門店（インテリアコーディネーター）,・物価は高くなる一方で、短期的に景気が良くなることはないとみている。,,,
,,□,その他専門店［白衣・ユニフォーム］（経営者）,・購入チャンネルの多様化の影響か、注文数の減少が続いている。地元企業の顧客離れもあり、ばん回は厳しい。非常に厳しい状況が続くとみている。,,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・世界情勢に振り回されていることに加え、燃料油価格の補助事業の変更により、販売価格の変動が激しくなることが予想される。それに対し、補助額は定額となったため見通しが立たない。,,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・配達灯油は閑散期になるため、販売量の伸びは見込めない。,,,
,,□,一般レストラン（経営者）,・外食の頻度が減っているため変わらない。,,,
,,□,一般レストラン（経営者）,・消費者が物価高は当たり前と考えるようになるまでは、景気は良くならない。,,,
,,□,一般レストラン（スタッフ）,・ランチタイムの来客数は高齢の常連客で維持しているが、ディナータイムは今後も増加は見込めない。,,,
,,□,観光型ホテル（スタッフ）,・好転要因が見当たらない。,,,
,,□,観光型旅館（経営者）,・好転要因が見当たらないため、物価高に慣れるまでは、手控え感が強い状況は変わらないとみている。,,,
,,□,観光型旅館（スタッフ）,・夏休み期間に入るため、例年であれば景気は良くなるところだが、物価高が続く限り良くなることはない。,,,
,,□,都市型ホテル（スタッフ）,・インバウンドは梅雨の時期や暑い時期は減る。一方で、国内需要はあるため、余り変わらないとみている。,,,
,,□,旅行代理店（従業員）,・物価高騰、国際情勢などの不安要素がある。,,,
,,□,旅行代理店（従業員）,・当社契約宿泊施設のこの先３か月の先行販売額は、前年とほぼ変わらない。,,,
,,□,タクシー運転手,・７月はコンサートなどのイベント、８月は夏祭りや墓参りなどで利用者があるため、今月並みの利用者数が見込める。,,,
,,□,通信会社（経営者）,・インターネットサービスは、競合他社との価格競争がますます激しくなるため、大きい伸びは期待できない。今後は放送、通信加入者向けに激安携帯電話サービスとのセット加入を売り込んでいく予定である。大幅な増収は見込めないが、解約は防止できるものと期待している。,,,
,,□,通信会社（営業担当）,・好転する材料に乏しく、改善は難しい。,,,
,,□,通信会社（営業担当）,・経費の増加以上に収入が増加しない限り、社員の給与は上がらない。,,,
,,□,美容室（経営者）,・常連客のみで新規客が増えないため変わらない。,,,
,,□,住宅販売会社（経営者）,・新築住宅の受注見通しは良くないが、再生可能エネルギー施設関連用地の不動産仲介依頼が増えている。,,,
,,▲,商店街（代表者）,・物価上昇が止まらない。,,,
,,▲,商店街（代表者）,・円高と米国の関税政策の影響で、インバウンドの売上が急降下している。,,,
,,▲,コンビニ（経営者）,・気温の上昇で人の動きが良くなると思ったが、来客数は伸びていない。６月から商品も値上がりするため、景気が上向くことはない。,,,
,,▲,コンビニ（経営者）,・物価の上昇に収入が追い付いていない。現状が改善する要素が見当たらない。,,,
,,▲,衣料品専門店（経営者）,・洋服は季節を先取りして販売するため、夏本番の時期に夏物商材を充実させることは難しく、購入は止まる。秋物はまだ動かないことが予想される。,,,
,,▲,衣料品専門店（経営者）,・物価高騰の継続により、節約ムードが更に高まるとみている。,,,
,,▲,衣料品専門店（店長）,・物価上昇が続き、特に食品関連の影響が大きいため、消費者は買物にますます慎重になる。,,,
,,▲,乗用車販売店（従業員）,・新車の商談数や販売量が例年より少なく、中古車の動きは良くなっていることから、景気はやや悪くなるとみている。,,,
,,▲,自動車備品販売店（経営者）,・実質収入が落ち、米の価格が高止まりしているため、食費以外の支出は絞られるとみている。,,,
,,▲,その他専門店［靴］（経営者）,・近隣のショッピングセンターの新規オープンやリニューアルにより、来客数に影響があるとみている。,,,
,,▲,高級レストラン（支配人）,・例年、夏から秋にかけては低い水準で横ばいが続くため、現状よりやや悪くなるとみている。,,,
,,▲,観光型ホテル（スタッフ）,・来客数が改善しなければ、景気が上向くことは期待できない。,,,
,,▲,旅行代理店（従業員）,・宿泊券販売額は、東北エリア内だけでなく、東京・北海道・大阪・九州各方面いずれも前年比マイナスである。,,,
,,▲,タクシー運転手,・利用者数の減少が続くとみている。,,,
,,▲,観光名所（職員）,・客単価の上昇により売上は何とか維持している。しかし、ゴールデンウィークの客入りをみても、消費が少し控えられているようであり、景気は若干落ち込むとみている。,,,
,,▲,遊園地（経営者）,・物価上昇が家計の負担になっている。米国の関税政策による輸出への影響も含めて、消費の勢いが戻る見通しが立たない。,,,
,,▲,競艇場（職員）,・今月は大口客の利用が多かったが、それが続くことはない。続いたとしても売上が今月を上回ることはないとみている。,,,
,,▲,その他サービス［自動車整備業］（経営者）,・米国の関税政策による先行きの不透明感や金利の引上げにより、買い控えがみられる。,,,
,,▲,その他サービス［寮管理］（管理人）,・東北では人口の減少に加え、企業の倒産件数も増加している。政治が不安定なこともあり、景気はやや悪くなるとみている。,,,
,,×,商店街（代表者）,・来月以降の予約が全く入っていない。この先、景気はかなり悪くなると予想している。,,,
