,,□,通信会社（企画担当）,競争相手の様子,・競合他社が月額無料をうたったサービスを終了するとの報道発表があった後、想定以上に自社への乗換えが発生したものの、その数も次第に落ち着くとともに、別の競合への乗換えが徐々に増えている。現状は３か月前とほぼ同水準となっていることから、景気は変わらない。,
,,□,美容室（経営者）,お客様の様子,・当地の新型コロナウイルスの感染状況は依然として高い水準で推移しているが、この３か月、客がそれほど委縮した様子もなく来店している。,
,,□,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームに来訪する客について、契約率の高い状態が続いている。,
,,▲,商店街（代表者）,お客様の様子,・客の反応をみても、景気は決して良い方向に進んでいない。むしろ、段々と悪い方向へ進んでいる。,
,,▲,スーパー（企画担当）,販売量の動き,・新型コロナウイルスの感染状況が大きく好転しているわけではないが、日常生活が取り戻されつつあり、行楽なども回復している。そのため、食品スーパーへの来客数にはマイナスの影響が出ている。さらに、物価上昇の影響で客の買上点数が伸び悩んでいることもマイナスである。,
,,▲,スーパー（企画担当）,来客数の動き,・来客数の前年比が３か月前よりも低下している。客単価は上昇しているが、商材の値上がりによって単価が上がっていることが要因であり、景気はやや悪くなっている。,
,,▲,スーパー（従業員）,単価の動き,・食品スーパーにおいては商材の値上がりが続いているため、客単価の上昇と買上点数の減少が顕著となっている。今後もこうした動きは継続するとみられる。,
,,▲,乗用車販売店（従業員）,販売量の動き,・海外のロックダウンの影響で車が入ってこなくなっているため、売上を立てるのが厳しくなっており、３か月前と比べると景気は余り良くない。販売台数が伸びないというのが一番大きな問題となっている。,
,,▲,その他専門店［医薬品］（経営者）,販売量の動き,・過去２年と比較しても明らかに景気が悪い。これまでは新型コロナウイルスへの警戒から健康管理に対する客の緊張感が感じられたが、そうした緊張感が徐々に薄れている。,
,,▲,その他専門店［造花］（店長）,お客様の様子,・まん延防止等重点措置が解除されたことで、ゴールデンウィーク期間中の帰省や旅行が増えたこともあり、Ｗｅｂ注文がかなり落ち込んだ。繁忙期となる母の日も、今年はゴールデンウィークと重なることで落ち込みが予想されていたが、予想以上であった。,
,,▲,タクシー運転手,販売量の動き,・まん延防止等重点措置が解除されたことで、昼間の人流が増え、タクシー利用も増えたが、夜間の人出は全く回復していない。まん延防止等重点措置期間中のライフスタイルが定着しつつあることがうかがえる。,
,,▲,美容室（経営者）,それ以外,・ありとあらゆる物が値上がりしていることで、消費することへの抵抗感が大きくなっている。,
,,×,商店街（代表者）,販売量の動き,・資材や原料の値上げと前年の農産物不作の影響がダブルパンチで襲っている。,
,,×,一般小売店［土産］（経営者）,販売量の動き,・売上は前年比366.4％、前々年比1281％と増加しているが、新型コロナウイルス発生前の2019年との比較では43.2％にとどまっている。人出は増加しているが、外国人観光客が皆無なことから、売上は新型コロナウイルス発生前の半分以下となっている。一刻も早い外国人観光客の受入再開を望んでいる。,
,,×,乗用車販売店（経営者）,販売量の動き,・半導体不足や海外の新型コロナウイルス感染拡大に伴う部品供給停止の影響で、メーカーにおいて度重なる工場休止が行われるなど、新車の供給計画が次々と崩れている。増販施策も取りやめとなったほか、新車販売の減少に伴って中古車販売にも商材不足という影響が生じている。非常に厳しい状態が続いている。,
"企業
動向
関連

(北海道)",,◎,＊,＊,＊,
,,○,輸送業（営業担当）,受注量や販売量の動き,・本州向け生乳の輸送はまずまずで推移している。飲料関連、農産製品にも動きが出ている。一般雑貨の物流量も増えており、一般消費行動が旺盛になってくる兆しと捉えている。,
,,○,通信業（営業担当）,受注価格や販売価格の動き,・通信料及びＩＴサービス料金は長らく低廉化傾向が続いていたが、明らかな下げ止まり感が出てきている。受注件数や案件数が増加傾向にあることもプラスである。,
,,○,金融業（従業員）,取引先の様子,・まん延防止等重点措置の解除に加えて、５月はゴールデンウィークがあったこともあり、人の動きが活発化し、個人消費は持ち直しの動きがみられる。ただ、物価上昇により節約志向が高まっている。こうしたことから、道内景気は力強さに欠けるものの、コロナ禍の影響が大きかった３か月前と比べてやや良くなっている。,
,,○,司法書士,取引先の様子,・小型建売住宅を扱う取引先は、季節需要も影響し、取引量が増えている。一方、注文住宅を扱う建築会社では、坪当たりの単価が上がっていることで厳しい状況にある。コロナ禍やウクライナ情勢に伴う資材不足の影響などもあって、資材をいつ調達するかによって業績が大きく変わってくる不安定さもみられるが、平均的にみれば景気はやや上向いている。,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・５月の売上も３か月前とほぼ変わらない状況にあることから、景気は変わらない。,
,,□,建設業（役員）,受注量や販売量の動き,・公共土木工事は新年度受注分の着工期を迎えており、順調な状況に変わりない。まん延防止等重点措置の解除後は民間建築の引き合いも増えており、技術職員全員の現場配置が完了するなど、順調な状況にある。,
,,□,輸送業（支店長）,取引先の様子,・取引先の様子から大きな変化はみられない。,
,,□,司法書士,取引先の様子,・まん延防止等重点措置が解除され、ゴールデンウィーク期間中の外出が増えたが、その後も新型コロナウイルスの爆発的な感染拡大がみられないことから、街中には何となく安心感が広まっている。ただ、これまでの自粛モードが一夜にして変わることもないため、景気回復はまだまだ程遠いとみられる。,
,,□,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・４月に続き５月も前年並みの売上となっている。都心部の再開発を中心に民間設備工事の需要は引き続きみられるものの、公共工事は微増での推移となっている。,
,,□,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・受注量が予測よりも若干増えているが、安心できる状態ではなく、まだ注意が必要な状況にある。,
,,▲,家具製造業（経営者）,受注価格や販売価格の動き,・ウクライナ情勢、円安の影響で景気はやや悪くなっている。,
,,▲,建設業（従業員）,取引先の様子,・金属の価格上昇に加えて、原油高の影響、職人不足による労務単価の上昇などが影響し、建設費の上昇が問題となっている。今までは福利厚生面の影響で年間に１割程度の単価上昇であったものが、今では10割程度の上昇となることもある。,
,,×,－,－,－,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,人材派遣会社（社員）,求人数の動き,・求人数が増加傾向にある。販売の求人数は現状維持だが、営業の求人数が増えており、売上拡大に向けて人材確保を急いでいるようにみえる。また、コロナ禍が落ち着きをみせていることで、飲食店などのサービス業界の求人も増えている。,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・ほぼ全ての業界で前年と比べて求人件数が伸びている。飲食店やホテルなど、新型コロナウイルスの影響を受けてきた業界も徐々に増加している。求職者の動きが若干鈍く、思ったような採用状況とはなっていないようだが、採用活動に明るい兆しが出ている。,
,,○,職業安定所（職員）,求人数の動き,・新規求人数が前年と比べて上向きとなっている。,
,,○,職業安定所（職員）,求人数の動き,・当地における４月の有効求人倍率は0.89倍であり、３か月前と比べると0.03ポイント上回っている。,
,,○,学校［大学］（就職担当）,求人数の動き,・新型コロナウイルスで苦しんでいた業種にも光が差し込んでおり、新型コロナウイルス発生前ほどではないが、採用活動が活発化している。旅行業など、新卒採用にいまだ慎重な業種もあるが、平均的にどの業種も採用意欲が高くなっている。,
,,□,求人情報誌製作会社（編集者）,それ以外,・求人件数は前年とほぼ同じである。当地では新型コロナウイルス新規感染者数がいまだに多いことから、住民の意識に不安が残っており、回復が遅れている。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・まん延防止等重点措置など、行政による制限もないため、経済活動の動きが活発になっている。ただ、原油高や資材価格高騰などの影響もあって、経済が好転している印象まではない。やや足踏み状態での推移となっている。,
,,□,求人情報誌製作会社（編集者）,周辺企業の様子,・当地の基幹産業である建設業、医療介護が引き続き堅調に推移している。,
,,□,職業安定所（職員）,求職者数の動き,・４月の新規求職者数が前年から5.5％増加している。新規求人数も前年から4.4％増加している。懸念材料はあるものの、業況が堅調な企業を中心に求人が増えている。,
,,▲,＊,＊,＊,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,衣料品専門店（経営者）,お客様の様子,・２～３年ぶりに来店した客の購買が、日々の売上に貢献している。,
,,◎,その他専門店［靴］（従業員）,販売量の動き,・学校行事や祭り等が再開されており、外出する機会が増えたためか需要が増えている。しかし、ガソリン価格の高騰や各種値上げで、遠出よりは近場で済ませている感じがある。,
,,◎,一般レストラン（経営者）,来客数の動き,・コロナ禍で客がなかなか戻らなかったが、ゴールデンウィークを中心に客が多少回復している。2019年実績にはたどり着いておらずまだまだ少ないが、方向性としては徐々に客が戻ってきている状況である。,
,,○,一般小売店［医薬品］（経営者）,単価の動き,・平日の売上の動きが大変良く、客単価も前年と比べて上向きになっている。2019年と比べれば少し落ちるが、元に戻りつつある。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・行動制限のないゴールデンウィークとなり、帰省客を含めた県外からの観光客が多く訪れた。祭りが３年ぶりに開催されたことも影響し、久しぶりに客先の宿泊施設も満室になった。客先への販売量も増加となっている。,
,,○,百貨店（経営者）,販売量の動き,・特にゴールデンウィーク期間中は県外からの客が増え、久しぶりにファッション領域の商品も活発に動いた。また、資産価値の高い高額商品の動きは引き続き良く、全体的にリベンジ消費とも読み取れる動きがみられた。,
,,○,百貨店（売場担当）,お客様の様子,・新型コロナウイルス新規感染者数は高止まりしているが、しばらく不調だったビジネス関連が稼働したほか、カジュアル系のまとめ買いもみられる等、購買意欲が高まっている様子が見られる。,
,,○,百貨店（催事担当）,来客数の動き,・新型コロナウイルス３回目のワクチン接種が進むとともに、ウィズコロナの生活様式が浸透し、高齢層の来客数も増えてきている。,
,,○,百貨店（計画担当）,単価の動き,・新型コロナウイルスの感染が若干の落ち着きを見せるなかで来客数の上昇が見て取れる。また、依然旅行等の動きはみえないため、近隣での高付加価値消費が加速度的に増している。,
,,○,コンビニ（経営者）,来客数の動き,・今月はゴールデンウィークもあり、県外からの来客を期待していたが、まだ動きは弱い状況であった。しかし、土日の人の動きは少しずつ増えてきており、夜間の人出も若干増加している。,
,,○,コンビニ（経営者）,来客数の動き,・少しずつ来客数が戻ってきている。,
,,○,コンビニ（経営者）,来客数の動き,・新型コロナウイルスの影響は依然あるが、人は動き始めているようである。ゴールデンウィークも３年前には戻らないが、ある程度近い売上まで戻りつつある。特に週末の来客数が上がってきているので、やっと今後の経営に光が差してきた。,
,,○,コンビニ（経営者）,販売量の動き,・来客数は横ばいだが販売量は増加傾向にある。結果として新型コロナウイルス発生前の販売額に戻りつつある。,
,,○,コンビニ（経営者）,来客数の動き,・新型コロナウイルスの新規感染者数の減少傾向に伴い人の動きが良くなってきている。,
,,○,コンビニ（エリア担当）,来客数の動き,・県民割により売上増加があったことに加え天候も良く、好転している。,
,,○,コンビニ（エリア担当）,来客数の動き,・ゴールデンウィーク以降、行楽客、帰省客の動きが出てきており、来客数の増加につながっている。,
,,○,衣料品専門店（経営者）,来客数の動き,・今月前半はゴールデンウィークもあって家族で過ごす日が多く、洋服を買う自分だけの時間は作れないようであった。コロナ禍にも少しずつ慣れ、気温も上昇して天候の良い日には来客数も増えてきている。,
,,○,衣料品専門店（店長）,来客数の動き,・３月は卒業、入学、入社といったことがあり大変良かった。そのまま４月も一般のビジネスマンの動きが良かったが、ゴールデンウィーク以降は多少落ち着いてきた。婚礼やお悔やみ事に出席する人が多くみられ景気はそれほど悪くないが、一服状況にあるようである。景気が悪い方にいっているという実感はない。,
,,○,衣料品専門店（店長）,お客様の様子,・旅行、仕事、ふだん着と、用途やモチベーションに準じた需要が戻りつつあるが、物価高に準じた賃金の上昇がない企業が多いことから、消費に慎重な姿勢を見せている消費者が多いようである。,
,,○,衣料品専門店（店長）,来客数の動き,・ウィズコロナが定着し、冠婚葬祭の需要が活発になってきている。また、会議、出張が回復したことで、ビジネス衣料の需要も増えてきている。,
,,○,衣料品専門店（総務担当）,来客数の動き,・ゴールデンウィーク後も大幅な感染拡大はなかったため、来客数も微増ではあるが上昇傾向にある。,
,,○,乗用車販売店（店長）,販売量の動き,・車両生産にある程度の回復が感じられる。それに伴って登録台数も伸びてきたため、単月で新車部門は前年超えの実績になっている。,
,,○,住関連専門店（経営者）,販売量の動き,・受注量が増加している。,
,,○,住関連専門店（経営者）,来客数の動き,・新型コロナウイルスの行動規制が解除され、人々の経済活動も新型コロナウイルス発生前にやや近づいてきている。そのため、我々も多少は安定した商売ができるようになっている。,
,,○,その他専門店［食品］（経営者）,来客数の動き,・少しずつだが人が動き出している。,
,,○,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・感染症対策の緩和により、連休中の出荷は大幅に回復した。しかし、価格の高止まりにより販売数量は中旬以降伸びず、後半は従来の感染対策強化時と変わらない推移となっている。,
,,○,その他小売［ショッピングセンター］（統括）,来客数の動き,・ゴールデンウィーク以降、新幹線を含む旅客流動がかなり順調に伸びてきている。それに伴い、来客数も上向きになっている。,
,,○,高級レストラン（スタッフ）,来客数の動き,・来客数が倍増している。,
,,○,一般レストラン（経営者）,お客様の様子,・新型コロナウイルス感染症対策のための会食の人数制限が解除されたことと、マスクの規制がやや緩くなったことで、会社関係の４～５人か７～８人の団体が若干戻りつつある。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・３年ぶりの規制のないゴールデンウィークで、来客数が非常に多かった。,
,,○,観光型旅館（経営者）,来客数の動き,・行動制限がなくなったこともあり、少しずつではあるが活動再開の兆しがみえてきている。,
,,○,観光型旅館（スタッフ）,来客数の動き,・ゴールデンウィーク中の来館数は、新型コロナウイルス発生前の2019年並みであった。通常、ゴールデンウィーク後の平日は来館数が下がるが、今年に限っては40％を月末まで維持している。新型コロナウイルス発生前よりも高い水準を維持している。,
,,○,旅行代理店（従業員）,お客様の様子,・個人旅行は国内近場よりも遠方を希望する客の方が増加傾向にある。海外は様子見の状況である。団体旅行は月に数件程度ではあるものの動き出している。,
,,○,旅行代理店（従業員）,販売量の動き,・県民割が６月30日まで延長となったことで、ややではあるが販売が伸びている。,
,,○,旅行代理店（従業員）,販売量の動き,・ゴールデンウィーク商戦終了後も県民割の好影響で５月末までの休前日を中心に販売が進んだ。また、６月末まで延長となった県民割の受付と同時に６月の需要も活発化している。,
,,○,タクシー運転手,お客様の様子,・新型コロナウイルスの新規感染者数がいまだ多いなか、個人旅行やコンサート、学会、修学旅行が開催されており、１日当たりの乗車回数も増加している。ゴールデンウィークから人の移動が多くなり、中距離の利用者の割合がゴールデンウィーク前と比べ３割増しとなっている。,
,,○,観光名所（職員）,販売量の動き,・来客数、乗船予約等はさほど増えていないが、来店客の買物頻度が増えている。レジの登録客数と乗船人数を比較すると、単価は高くないが、より多くの客が何かを購入しているという数字が出ている。回復に向かっているという感じがある。,
,,○,遊園地（経営者）,来客数の動き,・３月から新型コロナウイルスへの警戒心理が収まりつつあり、ゴールデンウィーク後半の好天にも恵まれて、新型コロナウイルス発生前に近い水準に戻ってきている。,
,,○,美容室（経営者）,来客数の動き,・気候も良くなってきたので、２月頃と比べると景気は良くなっている。,
,,○,その他サービス［自動車整備業］（経営者）,来客数の動き,・来店客を含めて人の動きが戻ってきているため、販売件数、販売額共に３か月前よりも増加している。,
,,○,その他住宅［リフォーム］（従業員）,販売量の動き,・住宅設備機器はビルトインコンロ、給湯器の交換工事が増えている。リフォームは資材、商品の納品遅れにより工事が減っている。,
,,□,商店街（代表者）,お客様の様子,・夏に向けて祭りやイベントの開催等、日常生活が少しずつ戻りつつあるが、電気・ガスの料金値上げや、原材料の価格高騰による食料品の値上げ等により消費意欲が減退している。,
,,□,商店街（代表者）,販売量の動き,・価格が上昇したが落ち着いてきている。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・連休が終わり来客数が減っている。,
,,□,一般小売店［寝具］（経営者）,販売量の動き,・もはや新型コロナウイルスとは関係ないが、相変わらず低迷している。,
,,□,スーパー（企画担当）,販売量の動き,・新型コロナウイルスも一応の落ち着きを見せ始めて、購買意欲も高まってきた。しかし、価格競争が激しくなっており、安い値段を出せば売れるが、出さなければ売れないという厳しい状況になっている。,
,,□,スーパー（営業担当）,来客数の動き,・１品単価の上昇分で客単価が上がり、売上前年比は101.3％になっている。しかし、来客数はゴールデンウィークが不振で、その後も伸びがないことから前年比98.6％と不振である。,
,,□,コンビニ（経営者）,来客数の動き,・まん延防止等重点措置も解除になり、行動制限はなくなったものの、余りにも天候が悪すぎてなかなか伸び悩んでいるところである。,
,,□,衣料品専門店（経営者）,お客様の様子,・中学・高校の夏制服の売上で何とか予算が達成できそうである。,
,,□,家電量販店（店長）,来客数の動き,・故障のための買換え需要は顕著にあるが、新しいものや話題の商品は売れていない。エアコンなどの白物家電は前年並みである。,
,,□,家電量販店（従業員）,販売量の動き,・新型コロナウイルスの感染拡大に伴い来客数が減少している。さらに、商品の入荷状況まで悪化している。,
,,□,乗用車販売店（従業員）,販売量の動き,・半導体不足の影響で、受注に対し車の生産が追い付いていない。,
,,□,乗用車販売店（従業員）,販売量の動き,・受注は例年どおりに推移しているものの、メーカーの生産状況は部品の供給不足により数か月変化がない。新車入庫台数が減少しており、売上は遅れている。,
,,□,乗用車販売店（従業員）,来客数の動き,・来客数は微増、受注はそれなりにある。将来の販売につながるものではあるが、現在の収益になるとは言い難い。３か月前とほぼ変わらない。,
,,□,乗用車販売店（従業員）,販売量の動き,・新規来客数はほぼ変動がない。土日の展示会で０人のときもある。,
,,□,その他専門店［酒］（経営者）,来客数の動き,・売上は変わらず低迷しているが、少し動きが出てきている感じはある。しかし、実際に大きな数字の動きに結び付いてはおらず、飲食店も売場店頭も厳しい状況には変わりがない。,
,,□,高級レストラン（経営者）,お客様の様子,・新型コロナウイルスの影響もなくなりつつあり、少し明るさがみえてきている。しかし、不安要因も多く、地震の影響等もあることから、まだ完全に明るさがみえたとはいえない。,
,,□,一般レストラン（経営者）,お客様の様子,・当店は企業の客が多いが、大人数での会食を余り推奨していない会社も多く、１人では来店するが、５～６人だと止められているのが現状である。県知事も会食を呼び掛けてはいるが、県庁内では会食は余り良くないとされているという話を聞いている。パフォーマンスばかりではなく、実際にきちんと行われるように促してもらいたい。,
,,□,観光型ホテル（スタッフ）,来客数の動き,・地震で受けた被害が集客に影響している。,
,,□,通信会社（経営者）,お客様の様子,・ゴールデンウィーク後から新規契約者数の増加にブレーキが掛かっている。特にインターネット関連の通信契約が伸び悩んでいる。競合他社が進めている格安プランやキャッシュバックなどによるキャンペーンに押されて、解約や他社への移行も増えている。,
,,□,通信会社（営業担当）,お客様の様子,・前月と同様に物価が上昇している。実質賃金は目減り傾向にあるため、景況感は悪い状況にある。消費税などの間接税の負担が徐々に増している。,
,,□,通信会社（営業担当）,お客様の様子,・コロナ禍やウクライナ情勢などにより、客の設備投資意欲に変化はみられない。,
,,□,通信会社（営業担当）,お客様の様子,・コロナ禍の警戒自粛意識が緩んできており、外食・旅行が増えつつあるものの、物価高の影響も出始めており、景気が上向きとはいえない。,
,,□,住宅販売会社（経営者）,販売量の動き,・様々な要因のなか、ほぼ全ての部材価格が高騰している。併せて火災保険等の諸費用も上がり、前年から計画していた客の受注にブレーキを掛けている。,
,,□,その他住宅［住宅展示場運営会社］（従業員）,来客数の動き,・前年同月よりは来場組数が増加しているが、新型コロナウイルスの影響で混雑を招く大型イベントの実施が困難で、１日での大きな集客が見込めない状況である。,
,,▲,一般小売店［医薬品］（経営者）,来客数の動き,・ゴールデンウィーク期間中は旅行客も非常に多く繁華街も久々ににぎわったが、５月の第２週からは全く静かになってしまい、３か月前の悪い数値に戻っている。,
,,▲,一般小売店［医薬品］（経営者）,販売量の動き,・客層に高齢者が多い関係で、年金給付後の４月の後半から売上が良くなるのが普通である。しかし、前月後半から売上の悪化が顕著になり、５月もその流れのままになっている。,
,,▲,スーパー（経営者）,単価の動き,・５月は平均１品単価が前年比３％を超えてきた。買上点数も悪く、前年比５％強落としている。来客数も前月より減少している。食品の需要にも悪い影響が広がってきた印象を受ける。全体として消費は予想以上に良くなかった。,
