,,□,タクシー運転手,来客数の動き,・全国旅行支援のお陰で人の流れが回復しつつあり、タクシーの売上も３か月前と比べて伸びている。この動きが今後も続いてほしいと願っている。,
,,□,美容室（経営者）,販売量の動き,・10月の売上は、前月、前年同月より僅かに良いが、この３か月でみると、５％ほど減っている。,
,,□,美容室（経営者）,お客様の様子,・物価上昇に伴って客の使う金額が減っている。,
,,□,住宅販売会社（経営者）,お客様の様子,・現在、分譲マンションのモデルルームに来訪する客は比較的金に余裕がある人が多く、購入意欲も高いことから、景気は変わっていない。,
,,▲,一般小売店［酒］（経営者）,販売量の動き,・当地における新型コロナウイルスの新規感染者数が以前と比べて増えていることもあり、人流に影響が出ている。また、前月はビールなどの値上げを控えて駆け込み需要がみられたため、10月の売上に影響が出ている。,
,,▲,百貨店（売場主任）,販売量の動き,・物価高の影響で食品、特に生鮮関連の販売量が落ち込んでいる。,
,,▲,百貨店（営業販促担当）,それ以外,・物産催事、キャラクター催事などの期間限定企画における動員、販売は好調に推移しているが、既存の衣料品、食品関連の動きが10月以降鈍化している。値上げの影響で客の財布のひもが固くなっている。,
,,▲,スーパー（企画担当）,販売量の動き,・商品価格が一段と値上がりしていることで、販売量が減少している。必要な物以外は買わない傾向が強く表れている。特売品は売れているが、定番商品の販売量が減少している。,
,,▲,スーパー（役員）,お客様の様子,・あらゆる物が値上がりしていることで、客の節約志向がますます強くなっている。,
,,▲,スーパー（従業員）,来客数の動き,・10月に当社の主力商品である食料品を含めた様々な商材で値上げがあったことで、客単価は微増したものの、来客数及び買上点数の減少が顕著にみられる。この傾向はしばらく続くことになる。,
,,▲,衣料品専門店（店長）,お客様の様子,・景気は若干の上向き傾向にあったが、来店予約をしていた客が家族の体調不良でキャンセルするケースが増えており、困っている。衣替えの動きがストップし、客足が鈍っている上、客が価格に対してシビアな反応を示すようになっている。,
,,▲,その他専門店［造花］（店長）,お客様の様子,・新型コロナウイルスの新規感染者数が徐々に増加しているなかでも、行動制限がないため、何かしらの行動を起こす予定の客が増えているものの、不安定な状況を考慮して、仕入れを抑える傾向がみられる。,
,,▲,高級レストラン（スタッフ）,それ以外,・新型コロナウイルスの感染状況が収まりつつあるが、市場の変化に加えて、様々な物の値上げが収まらないことから、利益の減少に歯止めが掛からない状態が続いている。,
,,▲,タクシー運転手,来客数の動き,・10月のタクシーの売上は前年並みであったが、新型コロナウイルス感染症発生前の2019年比ではマイナス30％と大きく減少している。タクシーの稼働状況は新型コロナウイルス感染症発生前の水準に戻ってきたが、３年前と比べて乗務員が30％減っているため、乗務員不足で稼働するタクシーが減っている。,
,,▲,通信会社（企画担当）,来客数の動き,・毎年秋に発売される人気の通信端末に対する引き合いが、予約の時点で前年を大きく下回っている。また、競合他社への流出も止まらないことから、景気はやや悪くなっている。,
,,▲,通信会社（エリア担当）,販売量の動き,・業界特有の問題があり、景気はやや悪くなっている。,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・コロナ禍による影響が引き続きみられるなか、観光閑散期に向かっているため、例年どおり、春までは輸送量の増加を望めない。,
,,▲,住宅販売会社（経営者）,販売量の動き,・円安、資材高の影響で物価が上がっており、それに伴って住宅着工数も減っている。,
,,×,スナック（経営者）,来客数の動き,・北海道においても景気が少しは良くなる傾向がうかがえたが、最近になって、再び新型コロナウイルスの新規感染者数が増えていることで、来客数が激減している。今年一杯は厳しい状態が続くとみられる。,
,,×,タクシー運転手,販売量の動き,・新型コロナウイルス感染症発生前と運送収入を比較すると、８割を超えることのできない状況が続いている。行動制限の解除、全国旅行支援の開始などの好材料がそろっているにもかかわらず厳しい状況が続いている。,
,,×,美容室（経営者）,お客様の様子,・客の来店間隔が長くなっている。客との会話でも節約などのワードが多く聞かれる。,
"企業
動向
関連

(北海道)",,◎,＊,＊,＊,
,,○,建設業（役員）,受注量や販売量の動き,・工事の追い込み期に入り、完工高は順調に積み上がりつつある。年度またぎの建築案件の新規受注もできている。新型コロナウイルス感染症の流行が常態化したなかで、様々な制限の緩和が進んでいることで、業務や受発注における特段のマイナス要素はみられなくなっている。,
,,○,輸送業（営業担当）,受注量や販売量の動き,・10月から11月にかけての各種商品価格の値上げに対応するため、飲料関連を先送りする動きがみられた。ただ、新型コロナウイルス感染症に対する様々な制限が緩和されている一方で、思うような消費活動につながっていない状況もみられる。値上げ以降の買い控えも不安要因である。北海道産生乳については、下期の減産が計画されており、今後の本州向け物量に影響が出ることが心配される。,
,,○,司法書士,受注量や販売量の動き,・建設業などの業績によって受注量が増減するため、資材高騰の影響が大きく出るとみていたが、意外にも少しずつ上向いている。これから冬期間に入るという季節要因もあって、今後に向けての不確定要素は多いが、今のところ低空飛行ではあるものの、景気は少しずつ上向いている。,
,,○,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・引き続き前年比５％程度の伸びで推移している。年内はこうした状況が続くと予測される。,
,,□,農林水産業（経営者）,受注量や販売量の動き,・果物の収穫状況は良いものの、原材料費の高騰が続いていることから、景気は変わっていない。また、野菜の価格が下がらないため、当社製品の販売量は横ばいが続いている。,
,,□,輸送業（従業員）,取引先の様子,・取引先を訪問するなか、特に忙しい雰囲気もなく、前年並みで推移している取引先が多くみられるため、景気は変わっていない。,
,,□,輸送業（支店長）,受注量や販売量の動き,・当社にとって、円安やウクライナ情勢などの影響が今のところ少ないことから、景気も変わっていない。,
,,□,金融業（従業員）,取引先の様子,・諸物価上昇の悪影響が幅広い業種でみられる一方、全国旅行支援や外国人観光客の入国制限緩和などから、観光関連の回復が進むなど、業種による明暗がはっきりしている。総じてみれば、道内景気は３か月前と変わらない状況にある。,
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・民間工事、公共工事共に建設工事の着工予定がおおむねみえてきた。,
,,▲,家具製造業（経営者）,受注量や販売量の動き,・客の購買動向が慎重になっている。,
,,▲,建設業（従業員）,受注量や販売量の動き,・前年と比べて業務量が半減している。また、大型案件が少なく、小型案件が多くなっていることから、受注量の落ち込み以上に受注金額が減っている。,
,,▲,司法書士,取引先の様子,・新型コロナウイルス感染症に対する行動制限が緩和されたことで、景気も回復すると見込んでいたが、円安の進行に伴う諸物価の上昇がマイナス要因となっている。生活にゆとりが感じられず、先行きに不安があることから、住宅の新築などの高額な買物にちゅうちょする傾向がみられるようになっている。,
,,▲,その他サービス業［ソフトウェア開発］（経営者）,受注量や販売量の動き,・継続案件の契約が遅れたり、発注額が減額になったり、取引先が様子見している状況がうかがえる。,
,,▲,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・先行きの販売予測が少しずつ低下している。納期遅れや製品欠品などの影響は余り感じられないことから、エンドユーザーの購入意欲が低下しているとみられる。,
,,×,食料品製造業（従業員）,それ以外,・第１弾の値上げを何とか実施できたことで、売上は前年よりも増加しているが、それ以上に、原材料価格、人件費、電力料金、燃料価格、運賃などが高騰しており、利益の出づらい構造となってしまっている。,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,求人情報誌製作会社（編集者）,採用者数の動き,・全国旅行支援の後押しもあって、国内観光客が戻っており、ホテル、飲食、レンタカーなどの観光関連業種の求人数も増加している。ただ、人材採用が順調に進まないこと、飲食店に客が戻ってこないことから、様子見しながらの採用活動になっている。,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・飲食、観光、清掃業界で好調との声をよく聞く。ただ、主力の建設業界の低調が続いていることは懸念材料である。,
,,○,職業安定所（職員）,求職者数の動き,・９月の新規求職者数が前年から12.0％減少している一方、新規求人数は前年から5.3％増加している。今後への懸念材料はあるものの、業況堅調な企業を中心に求人が出されている状況にある。,
,,○,職業安定所（職員）,求人数の動き,・当地における９月の有効求人倍率は1.00倍であり、３か月前との比較では0.10ポイント上回った。,
,,□,人材派遣会社（社員）,求人数の動き,・ここ数か月と同様に、求人数は堅調に推移している。特に最近は管理職の求人が目立っていることから、営業の拡大に合わせてチームをまとめる管理職の需要が高まっている。一方、求職者数については、ここ数か月、業界全体的に減少しており、12月のボーナスを前に、就職活動を手控えている様子がうかがえる。,
,,□,求人情報誌製作会社（編集者）,周辺企業の様子,・飲食及びサービス業において、求人広告に対する応募者の減少が著しい。また、ホテルでは、現有スタッフでやりくりできるように一部の部屋を休ませているとの話を聞いている。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・物流業界や小売店など、３か月前よりも求人数が増えている業界もみられるが、全体的な傾向は大きく変わっていない。,
,,□,学校［大学］（就職担当）,求人数の動き,・例年10月１日に新卒者を対象とした内定式が一斉に開催され、同時に多くの内定辞退者が発生するが、今年は内定辞退者が少ないのか、企業の追加採用募集の規模が小さい。各企業が採用枠を十分に満たしているとは考えにくいことから、円安や物価高騰の影響を様子見している状況がうかがえる。企業の採用動向からは、景気の変動がみえづらくなっている。,
,,▲,職業安定所（職員）,それ以外,・円安の影響に加えて、ありとあらゆる物が値上がりしていること、賃金を引き上げるような動きもみられないから、雇用環境はやや悪くなっている。ウクライナ情勢の長期化もマイナスである。,
,,×,＊,＊,＊,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,その他小売［ショッピングセンター］（統括）,来客数の動き,・全国旅行支援の効果もあり、鉄道を利用した旅行客を始め、流動客が増えてきており、それが来客数の増加につながっている。,
,,◎,観光型旅館（経営者）,来客数の動き,・季節要因に加え全国旅行支援もあり、予約状況は順調である。,
,,◎,遊園地（経営者）,来客数の動き,・新型コロナウイルス感染症の影響が落ち着き、客の気持ちも上向いている。さらに、学校団体が時期をずらして来園していることもあり、新型コロナウイルス感染症発生前と同様の推移となっている。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・県発行のクーポンを使う客が増えている。,
,,○,一般小売店［医薬品］（経営者）,お客様の様子,・全国旅行支援のおかげで、多くの旅行客が街に入っている。客に尋ねると、ほとんどの人から旅行中との答えが返ってくる。,
,,○,百貨店（売場担当）,お客様の様子,・ウィズコロナが定着し、ビジネス中心に需要が高まっている。コーディネートや単品セットアップ等、複数買いが目立ち、客単価も前年を上回っている。全国旅行支援が活発になればトラベル需要も活発になる。,
,,○,コンビニ（経営者）,来客数の動き,・新型コロナウイルス感染防止対策の緩和とともに夜間の来客数が増加している。また、日曜日の人の動きが良くなっている。観光客も増加しているとみられ、全国旅行支援のクーポンを利用する客が増えている。,
,,○,コンビニ（経営者）,販売量の動き,・販売量と単価の増加が来客数の減少をカバーする状況が継続している。,
,,○,コンビニ（エリア担当）,来客数の動き,・人流は回復基調にあり、立地によっては新型コロナウイルス感染症発生前の来客数に戻りつつある。,
,,○,コンビニ（エリア担当）,来客数の動き,・各県で実施している観光支援事業で人の動きが活発化しており、前年と比べると来客数が増加している。このまま人の動きが活発化すれば新型コロナウイルス感染症発生前までの売上まで戻ることも期待できる。,
,,○,衣料品専門店（店長）,来客数の動き,・結婚式や七五三、出張といった用事で礼服やスーツを準備する人が多くなってきたので、平常に戻りつつあるとみている。景気は少し良くなってきているようである。,
,,○,衣料品専門店（総務担当）,単価の動き,・来客数と客単価が若干上昇している。,
,,○,その他専門店［白衣・ユニフォーム］（経営者）,お客様の様子,・いよいよ観光業が活発になってきている。鉄道や飛行機の乗車率も上がってきており、各地の観光客も増えてきている。飲食店にも客が戻り始めている。ようやく街に活気が戻ってきた。少しずつだが制服の注文がきている。,
,,○,その他専門店［靴］（従業員）,販売量の動き,・地域のプレミアム付商品券の使用が始まり、購買意欲が高まっている。,
,,○,一般レストラン（経営者）,来客数の動き,・例年イベント等の開催で当店を利用していた客が若干戻ってきており、少し景気が戻ってきている。,
,,○,一般レストラン（経営者）,お客様の様子,・新型コロナウイルスの感染状況が幾らか落ち着いてきたようで、会社関係の団体客の予約が少しずつ入るようになっている。それでも、まだまだ新型コロナウイルス感染症発生前には戻っていない。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・全国旅行支援の影響がかなり出ている。12月まで予約は一杯の状況である。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・全国旅行支援が開始され、客が増えている。,
,,○,旅行代理店（従業員）,販売量の動き,・11日から全国旅行支援が始まり、団体は依然として小グループが大半であるものの、団体、個人共に動きが出ている。観光・旅行業界全体として景気は上向きに転じているものの、旅行会社だけでみると割引額の旅行会社予算枠が増加されない県もあり、景気は上向いていない。,
,,○,旅行代理店（従業員）,販売量の動き,・県民割の延長とその後の全国旅行支援により、国内旅行の売上は良くなっている。しかし、販売停止の県が出たり、旅行会社枠が一杯となったりしており、伸びは悪くなってきている。海外旅行は円安により販売が伸びていない。,
,,○,旅行代理店（従業員）,販売量の動き,・全国旅行支援の開始により、急激にマーケットが活発化している。しかし、県ごとに割引の予算に差があり、上限に達した県の販売の伸びには懸念がある。全国旅行支援終了後の需要動向に危機感を持っている施設が多数ある。,
,,○,タクシー運転手,来客数の動き,・買物帰りのタクシー利用者の手荷物の量が増えている。高級ブランドの紙袋を持った乗客も３か月前より多くなっている。また、今月に入り、友人知人と日帰り温泉へ出掛けるという利用客を６回ほど送迎していることから、景気が上向きになっているとみている。さらに、街中の交通量も増加している。,
,,○,観光名所（職員）,販売量の動き,・中旬以降、団体の予約状況、振りの客共に増えている。クーポン利用の客が増えており、販売量が増え単価も上がっている。景気は良くなっている。,
,,○,その他住宅［住宅展示場運営会社］（従業員）,来客数の動き,・来場者数は前年比及び前月比でみると同等だが、半年前と比べると増加傾向にある。,
,,□,商店街（代表者）,お客様の様子,・近隣にバスターミナルが開業し商店街来街者は増加したが、物価高で消費者の購買意欲は向上せず売上は横ばいである。県によるキャッシュレスポイント還元キャンペーンの実施により、キャッシュレス決済を利用する客が増加している。,
,,□,一般小売店［書籍］（経営者）,販売量の動き,・当店が扱っている書籍、楽器はどちらかというと客のニーズや付加価値がないと動きにくい。このところ当業界ではベストセラーがないため、厳しい状況が続いている。,
,,□,一般小売店［医薬品］（経営者）,来客数の動き,・現在、市や商工会でいろいろなキャンペーンを実施しており、今まで来店していない客が立ち寄っているため、その分がプラスになっている。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・紅葉シーズンで県外からの観光客需要により、宿泊施設や道の駅等への販売量は今月中旬より増加傾向にある。ただし、地元の消費者をターゲットとする飲食店への販売量はほぼ横ばいのままである。来客数が減少する週末に関してはまだ休んでいる飲食店も多いのが現状である。良くなっている実感は余りない。,
,,□,一般小売店［医薬品］（経営者）,販売量の動き,・客単価の高い客の売上に支えられて売上額は横ばいだが、来客数は減っている。,
,,□,百貨店（経営者）,販売量の動き,・懸念された相次ぐ値上げによる生活防衛の動きは、食料品の一部でみられた。しかし、県内外からの旅行者の土産需要や、外出自粛の緩和による外出アイテムの動きがそれ以上に目立っている。,
,,□,百貨店（催事担当）,来客数の動き,・ここ数か月は前年まで中止していた催事、イベント等が再開できており、来客数、売上共に前年比でプラスを維持している。,
,,□,スーパー（営業担当）,販売量の動き,・県のキャッシュレスポイント還元キャンペーンの影響もあり、売上は前年比104.9％と好調に推移したが、来客数は101.9％と微増で買上点数も平均12.1と前年を割り込んでいる。値上げが続くなか、客の購買は慎重になっている。,
,,□,コンビニ（経営者）,販売量の動き,・売上は前年比100％を超えているが、物価上昇に起因しているとみている。,
,,□,コンビニ（経営者）,来客数の動き,・新型コロナウイルスの感染拡大の影響で人の動きが悪いため、来客数は変わらない。,
,,□,衣料品専門店（経営者）,単価の動き,・10月からの更なる仕入価格の上昇により、販売価格を上げざるを得ない状況になっている。それにより売上が減少し苦戦している。,
,,□,衣料品専門店（店長）,お客様の様子,・秋物の立ち上がりは正価商品が動いて順調に推移したが、今月中旬以降はセール品中心の動きとなり、商品と価格を照らし合わせて吟味して購入する傾向がかなり強くなっている。,
,,□,家電量販店（従業員）,販売量の動き,・新型コロナウイルス感染症の状況が余り変わっていないことと、商品の値上げの動きがかなり活発になってきていることにより、販売量が鈍化している。,
,,□,乗用車販売店（従業員）,販売量の動き,・法人客への販売台数はそれなりに伸びているが、個人客への販売台数が少なくなっている。さらに、販売停止の車も増えてきている。,
,,□,乗用車販売店（従業員）,それ以外,・新車の納期は変わらず、客の動きにも大きな変化はない。半導体次第だが、急激に納期が早まる予定もない。,
,,□,乗用車販売店（従業員）,販売量の動き,・来客数は増えつつあり受注もあるが、納期が不安定である。配車予定が出ても延期になることが多く、登録準備に支障を来している。,
,,□,乗用車販売店（店長）,販売量の動き,・直近の新車販売台数は前年並みまで回復し、ある程度納期も落ち着いてきている。しかし、前々年との比較では70％弱と状況は余り芳しくない。板金入庫や一般整備等のサービス部門で何とか収益を確保している。,
,,□,自動車備品販売店（経営者）,それ以外,・３年ぶりの食のイベントがあり、今までの抑圧から解放されたように結構な人出があった。しかし、主催者や出店側も人出を様子見し、数量を用意していなかったようで、残念なことに３日間のいずれも昼には販売終了する店が目立っていた。,
,,□,住関連専門店（経営者）,販売量の動き,・受注生産をしている。受注量があっても受注の内容や個数はいろいろであり、さほど回復していない。,
,,□,その他専門店［食品］（経営者）,来客数の動き,・全国旅行支援が始まった。県外客の数は増加傾向にあるが、高価格帯の商品の売上には結び付いていない。客も小グループが多く、衝動買いもほとんどない。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・各種施策により、観光地などの人の動きは大きくなっているようである。しかし、当社の販売量は前年を若干割り込んでおり、新型コロナウイルス感染症による落ち込みからの回復感はない。,
,,□,一般レストラン（経営者）,来客数の動き,・来客数は良いときと悪いときがはっきりしていて、景気の良しあしは何ともいえない状況である。ただし、客の話を聞く限りでは余り良い話はない。,
,,□,タクシー運転手,競争相手の様子,・新型コロナウイルスの感染状況が落ち着いており、客が戻ってきている。前年の同業他社の倒産と廃業により競合相手が少なくなっているため、景気が好転したわけではないが実質的に売上が良くなっている。,
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲に変化はみられない。,
,,□,テーマパーク（職員）,販売量の動き,・買物は全国旅行支援のクーポン金額分のみの客が多い。販売数量や単価なども悪化するのではないかとみている。,
,,□,その他サービス［自動車整備業］（経営者）,お客様の様子,・新型コロナウイルスの新規感染者数が落ち着いてきて、催事などでの集客も増えてきており、景気は良くなってきている。しかし、原材料の価格高騰や、急激な円安により、売れても粗利益が出ない状態である。,
,,□,住宅販売会社（経営者）,競争相手の様子,・若年客においてローコスト大手建売会社に競り負ける件数が多くなっており、受注が落ちている。,
,,□,その他住宅［リフォーム］（従業員）,販売量の動き,・住宅設備機器は給湯器の交換工事と石油暖房器具の注文が増えている。リフォームは資材入荷待ちにより塗装工事に遅れが出たが、室内の増改築工事は増えている。,
,,▲,商店街（代表者）,来客数の動き,・周辺は建設ラッシュだが、商店街からは人や店がなくなっており様変わりしている。,
,,▲,スーパー（経営者）,単価の動き,・10月は平均１品単価の前年比は４％強まで上がってきた。来客数は依然前年を割っており横ばいである。買上点数の前年比は５％強の減少となっている。引き続き、食品消費にも生活防衛的行動が見て取れる。消費状況は良くない。,
,,▲,スーパー（店長）,来客数の動き,・前月以降、来客数の減少傾向が続いている。,
,,▲,スーパー（店長）,販売量の動き,・客が飲食店に流れている傾向が強く出ている。,
,,▲,スーパー（営業担当）,お客様の様子,・１品単価は前年比106.4％、買上点数は95.9％となっており、客単価は前年を上回るものの、来客数は93％で来客数の減少が顕著になっている。価格に対して敏感な流動客が減少しているため、固定客をつなぎ止めるためのサービス向上が必要であると考えている。,
,,▲,コンビニ（店長）,来客数の動き,・10月は前年比で悪くなっている。客単価は価格高騰分が上がり、売上は微増しているが、来客数は若干苦戦している。この先寒い時期になり、灯油を使うようになればどれくらい影響が出てくるか、予断を許さない状況である。,
,,▲,衣料品専門店（経営者）,来客数の動き,・期待したよりも秋冬物を見に来店する客が少ない。,
