,,□,コンビニ（エリア担当）,・今後の景気は新型コロナウイルスの感染状況次第となる。感染状況が落ち着くことになれば、観光客の回復が期待できる。そうでなければ観光客の減少が懸念される。,
,,□,コンビニ（エリア担当）,・週単位で世界情勢や国の動向が変化するため、判断できないのが実情である。良い部分もあれば、悪い部分もあるため、今後も景気は平行線をたどることになる。,
,,□,コンビニ（エリア担当）,・人の動きが良くなったかと思えば、新型コロナウイルスの新規感染者数が増えて、再び人の動きが抑制されるという状況が繰り返されている。このため、今後も基本的な景気動向は変化しない。,
,,□,コンビニ（エリア担当）,・新型コロナウイルス新規感染者数が増えていることから、今後も景気は変わらない。,
,,□,家電量販店（経営者）,・新型コロナウイルスの感染拡大の影響に加えて、商材の仕入価格の上昇と品不足、入荷遅れなどにより売上が落ちることが懸念される。,
,,□,家電量販店（店員）,・新型コロナウイルス新規感染者数次第で客足が変わってくるとみられるため、今後も景気は変わらない。,
,,□,乗用車販売店（経営者）,・半導体不足に伴う生産遅れからの回復が見込めないため、今後も景気は変わらない。,
,,□,乗用車販売店（従業員）,・新車、中古車共に現状よりも動きが良くなるとは考え難い。物価上昇が今後も続くと、景気が悪くなる方向に向かうことも懸念される。,
,,□,乗用車販売店（従業員）,・秋には新型車が登場する予定だが、車の納期が相変わらず不安定なことから、どの程度の売上を上げることができるか不透明である。,
,,□,自動車備品販売店（店長）,・新型コロナウイルスが感染拡大していることから、今後も景気は変わらない。,
,,□,その他専門店［造花］（店長）,・仕入価格の高騰による利益の減少が懸念される。来店者が目的の商材以外を衝動買いするような動きもみられないため、プラスαの収益も見込めない。,
,,□,高級レストラン（スタッフ）,・徐々に新型コロナウイルス感染症発生前の来客数に近づいていることから、今後、繁忙期を迎えて来客数が増加することに期待したいが、新型コロナウイルス新規感染者数が増加傾向にあるため、現在と変わらない状況で推移する。,
,,□,タクシー運転手,・新型コロナウイルス新規感染者の数字に人出が左右されやすく、その影響をタクシーは最も受けやすい。新型コロナウイルス感染症の第７波の影響で今後の新規感染者数が増えることになれば、夜の人出が減ることになり、タクシー利用も減少傾向になる。,
,,□,観光名所（職員）,・来場者は回復傾向にあるものの、新型コロナウイルスの新規感染者数が増加していることから、今後に不安がある。本格的な回復にはインバウンドの受入れが欠かせないため、感染対策に加えて、新型コロナウイルスと共存できる社会の体制作りが求められる。,
,,□,美容室（経営者）,・今後については、新型コロナウイルス新規感染者数による影響を大きく受けない雰囲気があることから、大幅な売上の変動は考え難い。,
,,□,美容室（経営者）,・季節要因や新型コロナウイルス感染症による影響のどちらを考慮しても、今後の景気に大きな変化はないとみられる。,
,,▲,百貨店（売場主任）,・今後の世情の不透明感に加えて、物価高、新型コロナウイルスの感染拡大とマイナス要因がみえ始めており、今後の景気が良くなる気配が感じられない。,
,,▲,百貨店（マネージャー）,・新型コロナウイルス新規感染者数の増加と物価高の影響で来客数及び買上客数の減少が見込まれることから、今後の売上動向は厳しくなる。,
,,▲,スーパー（店長）,・新型コロナウイルス感染症、ウクライナ情勢、物価上昇の影響が強まるとみられる。,
,,▲,スーパー（企画担当）,・店頭での販売価格が上昇し続けており、この状況は秋口以降一段と進むとみられる。既に来客数と買上点数が低下傾向にあることから、この先の消費環境はますます厳しくなる。,
,,▲,高級レストラン（スタッフ）,・新型コロナウイルス感染症の第７波の影響で今後の景気はやや悪くなる。飲食店においては、第３者認証店を対象としたクーポンの発売が明るい話題としてある一方で、新規感染者数の増大による不安で客離れが進む懸念もある。高級店は当分、厳しい状況が続きそうだ。ただ、大衆店は弱年層の利用が多いため、売上を落としづらいとみられる。,
,,▲,旅行代理店（従業員）,・新型コロナウイルスオミクロン株の別系統への置き換わりが全国的に進んでいることで、新規感染者数が増加に転じている。旅行のキャンセルこそ少ないものの、新規予約の問合せが減少していることから、今後の景気はやや悪くなる。,
,,▲,タクシー運転手,・新型コロナウイルス新規感染者数の増加により、観光客の予約キャンセルが見込まれ、今後、利用客が減ってしまうことが懸念される。,
,,▲,タクシー運転手,・ここに来て日に日に新型コロナウイルス新規感染者数が増加しており、当地においても連日のように過去最高の新規感染者数が更新されている。このような状況においては、観光客や地元客などの動きも鈍くなると見込まれる。まだまだ先の見えない状況であり、今後の景気はやや悪くなる。,
,,▲,タクシー運転手,・今後も新型コロナウイルス新規感染者数が増えるとみられることから、今後の景気はやや悪くなる。,
,,▲,美容室（経営者）,・物価高のなか、新型コロナウイルスの感染対策で何らかの動きが出てくることになれば、客が出費を抑えるようになる。,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,・今後も新型コロナウイルスの感染拡大が収まらずに推移するとみられるため、景気はやや悪くなる。,
,,▲,住宅販売会社（経営者）,・引き続き資材高、為替安が続くことが見込まれる。コストが下がる要素が余りないため、需要がますます落ち込む状況が懸念され、先行きの景気は厳しくなる。,
,,▲,住宅販売会社（経営者）,・金利の先高観と物価高から、今後の住宅需要が縮小する心配がある。また、商談に要する時間が長くなっていくことも懸念される。,
,,×,商店街（代表者）,・期待していたＧｏ　Ｔｏ　Ｔｒａｖｅｌキャンペーンのような全国旅行支援が延期となり、当地では落胆を隠せない状況にある。事業開始が秋以降となれば、北海道は冬のオフシーズンとなるため、他地域に客が流れ、恩恵が受けられないことになる。北海道向けの救済策を本気で考えていただきたい。こうした状況は前年から続いており、北海道の季節性を考えない施策には疑問がある。落ち着いていた春から事業をスタートし、新型コロナウイルスの新規感染者数が増加した際に事業を止めれば良かったのではないか。,
,,×,一般小売店［土産］（経営者）,・新型コロナウイルス感染症の第７波での異常なほどの感染拡大によって、国民の行動を大きく制限しなければならなくなることが懸念されるため、今後の景気は悪くなる。,
,,×,スーパー（従業員）,・今後については、売上の減少に加えて、人件費、電気代の上昇により、収益が減少することが懸念される。,
,,×,衣料品専門店（店長）,・ビジネスパーソン相手の商売は時事情勢に大きく影響される。プラス要因がなく、マイナス要因ばかりが大きく報道されている現状から、今後の経済活動が停滞し、消費が一気に冷え込むことが懸念される。,
,,×,スナック（経営者）,・景気が段々と悪くなっているなか、今後、新型コロナウイルスの感染状況が拡大し、以前のような行動制限が出てくることになれば、景気はますます悪くなる。,
,,×,観光型ホテル（経営者）,・指定感染症における新型コロナウイルスの分類変更の見直しが進まないなか、感染拡大が続いていることで、再び行動制限が課されることが懸念される。観光事業を復活させるためのロードマップが存在しておらず、全国旅行支援が開始される見込みもないため、今後数か月は観光関連の景気が悪化することになる。また、コスト高による収益圧迫が見込まれることもマイナスである。,
,,×,観光型ホテル（スタッフ）,・新型コロナウイルスの感染拡大が報道されるようになるとともに、感染や濃厚接触といった理由でのキャンセル連絡が増えている。予約の勢いが落ちており、全国旅行支援も延期となったため、先々の予約が上向く要因もない。また、インバウンドの受入れが再開されたものの、目立った恩恵もみられない。,
,,×,タクシー運転手,・新型コロナウイルス感染症の影響で、行動制限の有無にかかわらず人出が減ると見込まれる。第７波の感染力の強さは行動自粛を誘発する要因となり得るため、今後の景気は悪くなる。,
"企業
動向
関連

(北海道)",,◎,－,－,
,,○,家具製造業（経営者）,・新型コロナウイルスの感染拡大の状況次第ではあるが、今よりは状況が収まっているとみられるため、今後の景気はやや良くなる。,
,,○,建設業（経営者）,・秋になって工事がフル稼働の状態になることから景気はやや良くなる。ただ、人手不足や資材の納入遅れが懸念される。また、油や生コン、鉄などの資材価格の上昇がどの程度原価に影響を及ぼすか見通しが立たないことも不安材料である。,
,,○,建設業（役員）,・上半期はフル稼働状態が続くため、好調に推移することが見込まれる。ただ、円安や物価高による燃料、資材の価格高騰と品不足が工事原価や工期に影響を与えることが懸念される。,
,,○,通信業（営業担当）,・原材料の価格高騰というリスク要因はあるが、経済活動の維持に伴って今後も需要が底堅く推移するとみられること、アフターコロナに向けた本格的なＩＣＴ関連の投資が着実に浸透し、進展していることなどから、この先の景況感は現状よりもやや上向くことになる。,
,,○,司法書士,・新型コロナウイルスの感染拡大に伴う工場閉鎖、ウクライナ情勢によって資材の輸入や流通に影響が出ていることなどから、建築関連の業種においては販売できる量が制限されているが、しばらくは緩やかな上昇が続くことになる。,
,,○,その他サービス業［建設機械レンタル］（総務担当）,・新型コロナウイルスオミクロン株の別系統による第７波が生じているものの、経済活動の抑制は限定的である。世界的な見地からも我が国の経済活動の活性化が遅れるわけにはいかないため、感染対策を強化しつつ、景気回復に向けた経済活動が維持されることになる。,
,,□,食料品製造業（従業員）,・前回の価格改定の影響で販売量は減っているが、価格改定自体は客に受け入れられている。ただ、原材料費や光熱費などの値上げが続くなか、再度、価格改定を行うことを検討しており、その影響がどうなるかが不明である。,
,,□,金融業（従業員）,・個人消費は新型コロナウイルスの感染拡大や消費者物価の上昇が重荷となり、持ち直しの動きが減速する。住宅投資や公共投資も資材価格の高騰などに伴って、減少が続くことが見込まれる。金利引上げにより世界経済の景気後退懸念が高まっていることもマイナスであり、３か月後の道内景気は横ばいにとどまる。,
,,□,司法書士,・円安が解消され、ウクライナ情勢が解決しない限り、景気は現状のまま変わらない。,
,,□,その他サービス業［ソフトウェア開発］（経営者）,・人手不足が常態化しており、新たな人材確保も困難を極めている。売上を拡大することが困難な状況となっていることから、今後も景気は変わらない。,
,,□,その他非製造業［鋼材卸売］（従業員）,・多品種の商材で値上げや更なる値上げの話などがあり、今後、客の購入がシビアになることが懸念される。,
,,▲,建設業（従業員）,・案件が減りつつあるなか、価格上昇の影響で案件がますます減ることが見込まれる。改善される兆しもないため、今後の景気はやや悪くなる。,
,,▲,輸送業（支店長）,・新型コロナウイルス感染症の第７波によって、今後の一層の感染拡大が懸念されるため、景気は下向くことになる。,
,,×,食料品製造業（従業員）,・売上が上がらないなか、原料やエネルギーなどのコストが異常な勢いで上がっているため、利益が減っている。状況は悪くなる一方であることから、今後の景気は悪くなる。,
,,×,金属製品製造業（従業員）,・エネルギー価格や原材料価格の高騰、ウクライナ情勢の長期化、半導体不足の影響がみられるほか、新築住宅確認申請も前年比で20％程度落ち込んでいる。景気が良くなるような要素が見当たらないことから、今後の景気は悪くなる。,
,,×,その他サービス業［建設機械リース］（支店長）,・新型コロナウイルス感染症対策の融資を受けた企業において、融資の返済ができず、倒産寸前の会社が増えることが懸念される。,
"雇用
関連

(北海道)",,◎,－,－,
,,○,求人情報誌製作会社（編集者）,・当地域の基幹産業である農業が収穫繁忙期となり、関連業種である運送、加工、小売業も景気が良くなると見込める。ただ、新型コロナウイルスの新規感染者数の増加による影響が心配される。,
,,○,職業安定所（職員）,・当地における月間有効求人数が１年３か月連続で前年を上回っているなど、全体としては回復の兆しがみられる。ただし、産業、業種によってその度合いが異なっており、今後の新型コロナウイルスの感染状況と経済活動、消費行動の状況によっては先が見通せない状態となることも懸念される。,
,,○,学校［大学］（就職担当）,・今後の景気回復を妨げるような大きな要因が見当たらないことから、新型コロナウイルスの感染状況が深刻な状況とならない限り、景気の安定が図られることになる。,
,,□,人材派遣会社（社員）,・新型コロナウイルス感染症の影響が心配だが、景気が大きく下振れする要因も見当たらないことから、夏場は景気の持ち直しが期待できる。そのため、９月末の上半期終了までは現状のままで推移する。,
,,□,求人情報誌製作会社（編集者）,・新型コロナウイルス感染症の第７波の影響がどこまで長引くかにもよるが、基本的に採用意欲は旺盛なまま推移する。,
,,□,求人情報誌製作会社（編集者）,・新型コロナウイルス感染症の影響を受けやすい業界において、第７波の影響を懸念する声が強くなっていることから、今後も景気は変わらない。,
,,□,職業安定所（職員）,・原油価格や原材料価格の高騰など、経営環境の悪化を招く要因は多いものの、今のところ業況が堅調な事業所からの求人もあり、新規求人数は維持できている。新規求職者数が前年から減少していることも持ち直しにつながっている。新型コロナウイルス感染症の第７波による経済への影響は懸念されるものの、今後も景気は変わらないまま推移する。,
,,▲,求人情報誌製作会社（編集者）,・円安や物価高に加えて、新型コロナウイルスの感染拡大の影響もあり、今後の経済活動がやや滞ることが懸念される。,
,,▲,職業安定所（職員）,・新型コロナウイルスの感染拡大、ウクライナ情勢の長期化など、今後の景気が良くなる要素がない。,
,,×,－,－,
,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(東北)",,◎,旅行代理店（従業員）,・新型コロナウイルス新規感染者数が落ち着き、全国旅行支援が開始されるタイミングで大きく潮目が変わり、マーケット全体が勢いづくと推測している。,
,,○,商店街（代表者）,・祭りが開催されるため、観光客の増加が見込まれる。,
,,○,スーパー（店長）,・帰省を希望しない人が増え、外出も控えていることから、スーパーへの来店が増える見通しである。,
,,○,スーパー（企画担当）,・新型コロナウイルスの感染が拡大して、内食需要は高まっている。食品小売業に関しては、値上げがかなりあったため買い控えがみられたが、客もかなり慣れてきているとみられる。２～３か月後には内食需要と値上げへの客の慣れにより、少しずつ景気は回復していくとみている。,
,,○,スーパー（営業担当）,・新型コロナウイルスの感染状況にもよるが、行動規制のない夏は３年ぶりで行楽、帰省などの人流はある。来月はお盆を控えていることもあり、特に帰省する人が増加すれば食品の販売伸長には大きなチャンスがある。,
,,○,コンビニ（経営者）,・人流も活発であり、販売量の微増は当面は続くと推測される。,
,,○,衣料品専門店（経営者）,・次シーズンの新商品入荷に当たり、高品質な高額品を求める声が多く、更なる客単価アップが期待できる。,
,,○,その他専門店［白衣・ユニフォーム］（経営者）,・新規感染者数はいずれピークアウトするが、それが２～３か月先なのか、いつになるのか分からない。しかし、ここまで抑制してきた反動もあるのではないかとみている。,
,,○,その他専門店［靴］（従業員）,・ウィズコロナが加速していくとみている。,
,,○,その他小売［ショッピングセンター］（統括）,・新型コロナウイルスの感染の抑え込みが大前提であるものの、消費傾向は今までの反動で少し上向くとみている。,
,,□,一般小売店［書籍］（経営者）,・新型コロナウイルス感染症の第７波が収束するという条件がないと、我々の業界は上昇機運にはならない。,
,,□,一般小売店［医薬品］（経営者）,・３年ぶりに例年規模で花火大会や祭りの開催が予定されており、たくさんの人出が見込まれている。しかし、新型コロナウイルス感染症が収束しない限り、繁華街に人が戻ることはなく、景気は今と変わらないとみている。,
,,□,一般小売店［医薬品］（経営者）,・いろいろなものが値上がりしている状況のなかで、どれだけの来客数になるのか分からない。,
,,□,一般小売店［酒］（経営者）,・政府は行動制限を掛けていないが、ここまで急激に新型コロナウイルス新規感染者数が増加すると、消費者自身が自ら行動を制限する傾向が顕著にみられる。来月のお盆の旅行をキャンセルした話などを耳にすることもあり、景気の回復は難しいとみている。,
,,□,一般小売店［寝具］（経営者）,・状況が変わらないため、現状のまま推移するとみている。,
,,□,百貨店（経営者）,・夏休み期間終了後の新型コロナウイルス新規感染者数次第だが、客の声を聞いても消費活動のポテンシャルは高いことから、行動規制が行われない限り、今のまま堅調に推移すると期待している。,
,,□,百貨店（売場担当）,・まだまだ新型コロナウイルス感染症の影響は大きいことを実感している。やはり今後も感染状況に左右されることになるとみている。,
,,□,百貨店（催事担当）,・経済活動が活発化すれば新型コロナウイルス新規感染者数が増加するの繰り返しで、先行きが不透明である。食品や生活必需品等の値上がりにより生活防衛意識が広がることも予測される。,
,,□,スーパー（経営者）,・新型コロナウイルスの感染拡大による買物頻度の減少と、値上げによる買い控えがみられる。この傾向はしばらく続くとみている。,
,,□,スーパー（店長）,・ウクライナ情勢や物価高などにより、消費環境の改善が見込めない。,
,,□,コンビニ（経営者）,・最近も新型コロナウイルス新規感染者数が増加しており、ある程度の規制を掛けながら進んでいくとみられるが、従業員の欠員が心配である。なかなか先が読めない。,
,,□,コンビニ（経営者）,・客の動きは良くなってきているが、新型コロナウイルスの新規感染者数が多くなってきているため、今後どうなるか分からない。,
,,□,コンビニ（エリア担当）,・新型コロナウイルスの感染状況次第だが、行動制限がないままであっても消費マインドは上がらないとみている。,
,,□,コンビニ（エリア担当）,・新型コロナウイルス感染症の第７波がどうなるか分からない。,
,,□,コンビニ（店長）,・景気は小康状態が続いているため、更なる値上げがなければ現状が維持されるとみている。,
,,□,衣料品専門店（経営者）,・依然として飲食業の売上は低調である。夜の人出が少なく四苦八苦しており、ビールの売上は芳しくない。法人のお中元は例年より若干落ち込んでいる。,
,,□,衣料品専門店（経営者）,・秋物が動き出す頃で売上は期待できるが、円安や輸送費用の値上がりなどのため、インポート物が値上がりする。価格が上がることが購買意欲のブレーキになる不安がある。,
,,□,衣料品専門店（店長）,・新型コロナウイルスの新規感染者数が増加しつつあるが、全ての経済活動が止まるわけではない。今のまずまずの勢いが継続するのではないかとみている。,
,,□,衣料品専門店（総務担当）,・新型コロナウイルスの感染力が高いため、来客数の減少が続いていくとみている。,
,,□,家電量販店（店長）,・先行きを見通せない。,
,,□,乗用車販売店（従業員）,・今後また新型車が出ても販売量が伸びず、景気はなかなか良くなっていかないとみている。,
,,□,乗用車販売店（従業員）,・新型コロナウイルスの感染状況次第である。感染拡大によるロックダウン等の影響で、新車の生産状況は不安定のまましばらくは変わらないとみている。,
,,□,乗用車販売店（従業員）,・現在はやや上向きになってきているが、コロナ禍でのロックダウン等で大きく変動するため先が読めない。,
,,□,乗用車販売店（店長）,・市場における中古車の在庫不足はかなり深刻で、しばらくは我慢が必要とみている。在庫不足・市場価格の高騰・買手が付きにくい・中古車収益減少の構造がしばらく続くとみられる。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・補助金の適用により販売価格の上昇が抑えられており、今後原油コストが下がることがあっても現在の高値は変わらないことから、販売量が増える見通しが立たない。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,・単価の高騰からか店頭ガソリンの販売量が伸びない。夏休み行楽シーズンだが、新型コロナウイルス感染症の影響もあり伸び悩みが心配される。,
,,□,高級レストラン（スタッフ）,・物価も上昇しており、客が支出を控える動きが出ている。,
,,□,一般レストラン（経営者）,・第７波がいつ終わるのか。その後またすぐに新型コロナウイルスオミクロン株の別系統が出て第８波が来るともいわれている。新型コロナウイルスの感染が収束しない限り、悪い状況が続くとみている。,
,,□,観光型旅館（経営者）,・来客数は回復傾向になってきていたが、新型コロナウイルス新規感染者数の増加により鈍化するとみている。,
,,□,通信会社（経営者）,・新型コロナウイルスの感染拡大に合わせて半導体不足の問題も加わり、年末にかけて通信関係の機器が品不足になっている。このため客に提供する端末の数に調整が必要となり、契約者数の増加に対応できなくなる可能性がある。秋にかけてサービスエリアを拡大した無線インターネットの加入も見込んでいたが、機器不足で大きな増加は見込めない。,
,,□,通信会社（営業担当）,・好転するような材料に乏しい。,
,,□,テーマパーク（職員）,・新型コロナウイルス感染症の影響で宿泊客が減少している。日帰り客はさほど影響を受けていないが、新規感染者数が増え続けているため、今後は新規感染者数に左右されるとみている。,
,,□,観光名所（職員）,・全国の新型コロナウイルスの感染状況は拡大の一途をたどっているが、今までのように感染拡大とともにキャンセルが増えるということは今のところない。客は行動制限が掛からない限りキャンセルするという気持ちにはならないようである。このまま感染状況が悪くても、今の状況はキープできるのではないかとみている。,
,,□,その他サービス［自動車整備業］（経営者）,・８月以降の新型コロナウイルスの感染状況が懸念材料であるが、急激な悪化はないとみている。,
,,□,設計事務所（経営者）,・低調な景気状況が今後も継続するとみている。,
,,□,住宅販売会社（経営者）,・依然、客単価が低い。,
,,□,その他住宅［リフォーム］（従業員）,・住宅設備機器はエアコンの問合せが急増しており、工事が遅れる状況になっている。リフォームは資材、商品の納品遅れの状況が続く。,
,,▲,商店街（代表者）,・秋にかけて新型コロナウイルスの感染状況の収束は見込めず、電気・ガス・原材料等の価格高騰による物価高もあることから、景気回復には時間を要する。,
,,▲,商店街（代表者）,・新型コロナウイルスの新規感染者数が増え、不安感が募っている。,
,,▲,商店街（代表者）,・新型コロナウイルス感染症の第７波と円安の状況による。日本銀行は利上げするのではないか。,
,,▲,一般小売店［医薬品］（経営者）,・ここ３か月くらい売上が悪い状態が続いている。ウクライナ情勢の影響でエネルギー価格が上がれば全ての物価が上がるとみており、更なる景気悪化が予想される。,
,,▲,スーパー（経営者）,・資源、エネルギー、原材料の価格上昇は更に続き、製造コストも更に上がり、価格転嫁を進めなければならない。新型コロナウイルスの感染拡大のピークが過ぎても影響はまだ続き、行動制限はなくても自粛傾向は続くとみている。他方、行政の支援制度や補助金等で経営・営業を続けていたところは正念場となり、事業継続が厳しくなるところも多々出てくることを危惧している。消費環境の厳しさは今しばらく続くとみている。,
,,▲,スーパー（店長）,・いまだに商品の値上げ対応が続いており、買いにくい単価の商品が増加している。この値上げの影響で、より低単価、価格優先の志向が強くなってくると推測されるため、ディスカウント系の小売店へ客が流れていく恐れがあるとみている。,
,,▲,スーパー（営業担当）,・新型コロナウイルス新規感染者数の増加が懸念されており、お盆の帰省がどうなるか分からない。また、値上げ、地場産品の天候による不作などにより、経済環境に影響が出ることも心配している。,
,,▲,コンビニ（経営者）,・７月中旬までは順調に回復傾向にあったものの、中旬から月末にかけての新型コロナウイルス新規感染者数の急増で、また人の流れが抑えられている。今後も現在の勢いで新規感染者数が増えそうであり、景気は頭を抑えられると予想している。,
,,▲,コンビニ（経営者）,・新型コロナウイルスの新規感染者数が爆発的に増えているため先を見通せず、かなり落ち込んでいくとみている。,
,,▲,コンビニ（経営者）,・このまま新型コロナウイルスの新規感染者数が増え続けると何かしらの制限が掛かり、人の動きも鈍るとみている。全てが新型コロナウイルス感染症次第だが、周りからも先行き不安の話しか出てこない。人手不足も始まってきている。人がいない、利益が出ない、休みがないコンビニの経営は今後どうなるのか見通せない。,
,,▲,コンビニ（エリア担当）,・１度落ち着いた新型コロナウイルス新規感染者数が急増して、社会生活にも影響が出るほどになっている。このまま何の対策もない状態であれば、今後の売上は落ち込むことが予想される。,
,,▲,衣料品専門店（店長）,・新型コロナウイルス感染症の第７波の影響で自粛ムードが出てきており、徐々に来客数に影響が出始めている。,
,,▲,家電量販店（店長）,・ガソリン価格や物価の上昇が影響して、客の買い控えが進むとみている。,
,,▲,家電量販店（従業員）,・新型コロナウイルスの感染拡大が止まらない状況のなか、客も自粛生活を強いられることが予想される。,
,,▲,乗用車販売店（従業員）,・もろもろの物価が上昇しているため、現状維持か若干悪くなるとみている。,
,,▲,住関連専門店（経営者）,・新型コロナウイルスの新規感染者数が拡大し始めてきている。行動に制限はないが、今後は感染者を増やさないため自粛せざるを得ないため、事業が成り立たなくなる。,
,,▲,住関連専門店（経営者）,・ある程度の売上は見込めるものの、身の回りの人や客との会話から、今月を上回ることは期待できない。,
,,▲,一般レストラン（経営者）,・新型コロナウイルスの感染状況が見通せないことと、物価高が更に進むとみられることから、全体的に今よりも更に厳しい状況になるのではないかとみている。体力がなくなってきている。,
,,▲,観光型ホテル（スタッフ）,・新型コロナウイルス感染症の状況次第では、来客数は減少するとみている。,
,,▲,観光型ホテル（スタッフ）,・新型コロナウイルス新規感染者数が増加傾向であるため、新規の予約が余り増えず、キャンセルが多くなるとみている。,
,,▲,観光型旅館（スタッフ）,・新型コロナウイルス感染症の第７波に加え、紅葉シーズンが終了した11月は当地では集客は悪くなる。ただし、県民割等の施策が継続すれば悪くはならず、現状維持かやや良くなるということも期待したい。,
,,▲,旅行代理店（従業員）,・新型コロナウイルス新規感染者数の増加の影響により、キャンセルが出始めている。,
,,▲,タクシー運転手,・新型コロナウイルス感染症の第７波拡大の影響で悪くなる。,
,,▲,通信会社（営業担当）,・ＧＤＰの成長率は当初の3.2％の見通しから大幅に引き下げられ２％になるとの試算が示されたとのことから、中小企業への影響は大きいとみている。夏休み、お盆の移動需要に新型コロナウイルスの感染拡大が影響し、観光産業、飲食業は大きな打撃を受けることが予想される。物価上昇にもかかわらず販売価格は据置きせざるを得ず利益が出ない。よって、やや悪くなるとみている。,
,,▲,通信会社（営業担当）,・身の回りのほぼ全てが値上がりし、今後景気は急速に悪化するとみている。,
,,▲,通信会社（営業担当）,・新型コロナウイルスの感染拡大が止まりそうにない。,
,,▲,遊園地（経営者）,・新型コロナウイルス感染症の第７波の動向が不透明で、物価上昇による家計への影響とあわせて、弱含みの見通しである。,
