,,▲,スーパー（企画担当）,販売量の動き,・総買上点数が減少している。商材を始め、様々な物が値上がりしていることから、客は購買品を必要な商材だけに絞っており、余分な物を買わない傾向が強く出てきている。,
,,▲,スーパー（役員）,お客様の様子,・食料品の値上げが相次ぎ、客の節約意識がますます高まっている。,
,,▲,スーパー（従業員）,単価の動き,・燃料、人件費などの経費や仕入価格が増加する傾向が一層強まっており、景気はやや悪くなっている。,
,,▲,コンビニ（エリア担当）,販売量の動き,・様々な商材の値上げにより客の節約志向が強まっており、そのことが来客数の減少につながっている。,
,,▲,衣料品専門店（店長）,来客数の動き,・来客数はイベント開催の効果もあって安定しているが、振り客が少なく、例年稼働するスーツ群の動きが非常に悪い。,
,,▲,衣料品専門店（エリア担当）,来客数の動き,・コロナ禍は前年と同様だが、人流抑制対策が行われていないことから、夏休みなどで行楽地に出向く人が増えており、その分だけ、買物に行く場面が減っている。そのため、来客数と買上点数の減少が顕著であった。,
,,▲,乗用車販売店（従業員）,来客数の動き,・新車受注は前年とほぼ同じ水準で注文が入っているが、生産体制の問題から納車までに１年近く掛かることから、新型車両が出ても爆発的に売れる状況ではない。,
,,▲,その他専門店［造花］（店長）,お客様の様子,・一部の客については変化を余り感じないが、輸入品の取扱をしている業種については購買動向が悪化している。,
,,▲,高級レストラン（スタッフ）,来客数の動き,・新型コロナウイルスの新規感染者数は減少しているものの、様々な物の値上がりが収まらず、国、地方共に有効な対策が行われていないままである。当地への入込数が減少する季節となってきたこともあり、景気はやや悪くなっている。,
,,▲,旅行代理店（従業員）,来客数の動き,・８月のお盆明けから航空機の予約数の伸びが鈍化傾向となっている。久しぶりとなった帰省などの生活需要が一段落していることに加えて、物価高による消費マインドの低下が国内観光需要を抑制している。,
,,▲,旅行代理店（従業員）,販売量の動き,・３か月前は旅行需要が回復傾向にあったが、新型コロナウイルスの新規感染者数の増加に伴って、旅行需要が減少している。最近になって新規感染者数が減少していることで問合せ自体は増えているが、新規予約はまだ増加に転じていない。,
,,▲,タクシー運転手,来客数の動き,・前年は行動制限があったことで大幅なマイナスとなったが、今年は行動制限が緩和されたため、人出が増えている。９月のタクシーの売上は前年比プラス30％であった。ただ、８月頃から新型コロナウイルスの新規感染者数が増えていることで、若干客が出控えている雰囲気もみられる。新型コロナウイルス感染症発生前の2019年比では売上がマイナス30％であり、苦戦している。また、乗務員が2019年比で30％減り、タクシーの稼働台数が大きく減少していることも、売上が大きく減少した要因となっている。,
,,▲,通信会社（企画担当）,販売量の動き,・大型商業施設での集客が新型コロナウイルス感染症発生前の水準に戻っているにもかかわらず、９月に発売された毎年話題になる通信端末の販売状況をみると、北海道全体の販売量、予約状況共に前年の３分の２程度に落ち込んでいる。関連事業のカード決済サービスの申込件数も、想定の８割程度にとどまっている。,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・新型コロナウイルスの感染拡大の影響が秋になっても続いており、輸送量が思ったほど伸びていない。,
,,▲,住宅販売会社（経営者）,販売量の動き,・円安や資源価格の高騰、ウッドショックなどの影響で単価が上がっているため、販売量は減っている。単価が上がっていることで売上は維持できているが、全体的な住宅着工数は減っている。,
,,×,スナック（経営者）,来客数の動き,・新型コロナウイルス感染症の影響がいまだに残っており、客が繁華街に出てきて金を使うということが余りない。,
,,×,タクシー運転手,販売量の動き,・当エリア唯一の老舗デパートの閉店が発表され、富裕層の消費が一気に減速した。また、日用食料品の度重なる値上げの影響で世帯の可処分所得が目減りする一方であり、景気に悪影響を及ぼしている。,
,,×,通信会社（エリア担当）,単価の動き,・販売価格も上昇しているが、その影響よりも、代理店手数料の動きによって悪化している面が大きい。,
"企業
動向
関連

(北海道)",,◎,－,－,－,
,,○,建設業（役員）,受注量や販売量の動き,・台風の直撃もなかったため、全ての現場の工事が順調に進んでいる。また、民間建築の新規受注や設計変更に伴う追加工事も決まっている。新型コロナウイルス感染症の第７波を経て、本格的に感染対策と経済活動を両立する段階に移行している。,
,,○,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・売上が前年から６％程度の伸びで推移する状況が継続している。年内はこうした状況が続くとみられる。,
,,□,農林水産業（経営者）,受注価格や販売価格の動き,・青果物の収穫が段階的に始まっているが、気象の変動が激しく、この先の動きが読めない。また、原材料の価格が高騰しており、影響がまだまだ続くとみられる。,
,,□,建設業（従業員）,受注量や販売量の動き,・全国と比べると、北海道のみ案件数が極端に少ない。道内建設業界の営業担当との情報共有でも数が少ないと認識している。景気悪化の影響を受けて、民間からの発注はここぞという案件に絞られており、官庁から発注は修繕、メンテナンスといった小粒の仕事に限られている。,
,,□,輸送業（従業員）,取引先の様子,・売上の推移を前年比でみると、ほぼ前年並みで推移している。メーカーによる多少の増減はあるが、全体的には変わらない状況にある。ただ、若干ではあるが、増加傾向になり始めている雰囲気はある。,
,,□,輸送業（営業担当）,受注量や販売量の動き,・本州向けの雑貨関連トレーラーの荷動きは堅調である。ただ、新物発生前の農産製品が今一つ伸びてこない。また、本州向けの生乳も８月以降気温が落ち着いたためか、前年実績に届いていない。,
,,□,輸送業（支店長）,取引先の様子,・特に大きな変化がみられない。,
,,□,通信業（営業担当）,受注価格や販売価格の動き,・社会全般のインフレ傾向と同じく、当社の受注価格も緩やかな上昇傾向にある。,
,,□,金融業（従業員）,取引先の様子,・製造業では企業物価上昇の影響が大きいことから、景況感の持ち直しに一服感がみられる。一方、人の動きが活発になっていることを背景に、非製造業の景況感は持ち直している。業種や業態によって景況感の濃淡がみられるものの、総じてみれば、道内景気は３か月前と変わっていない。,
,,□,司法書士,取引先の様子,・新型コロナウイルス感染症の感染状況が下火になりつつあるが、物価の上昇が止まらない。収入が目減りしている状況では、先行きも不透明であり、不動産などを購入できる者も限られてくる。当分の間、不動産取引は減少又は良くて横ばいでの推移となる。,
,,□,司法書士,取引先の様子,・現状の景気は良くはないが悪くもない状態が続いている。受注量は割と多いが、販売できる量に限りがあるため、建築資材や半導体を使用する住宅設備の供給量が増えなければ、景気は上向いてこない。,
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・資材高騰、人件費アップなどの影響で工事量が見込みほど伸びていない。また、レンタル料金の値上げも進んでいない。,
,,▲,家具製造業（経営者）,受注量や販売量の動き,・物価高に伴って買い控えの傾向がみられるようになっており、景気はやや悪くなっている。,
,,×,食料品製造業（従業員）,それ以外,・売上は余り変わらないものの、原材料やエネルギーなどの経費の高騰、人件費の上昇、人手不足などによって利益が全く出ていない状況にある。,
,,×,食料品製造業（従業員）,受注量や販売量の動き,・９月の販売量は前年比マイナス22％であったのに対して、３か月前の６月の販売量が前年比マイナス２％であったため、景気は悪くなっている。,
,,×,金属製品製造業（従業員）,受注量や販売量の動き,・新築住宅着工棟数が前年比80％程度で推移するなど、落ち込みが続いており、受注量にも影響が出てきた。ハウスメーカーにおいても下半期の見積り件数が減少している。,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,人材派遣会社（社員）,求人数の動き,・求人数は堅調に増加している。最近は飲食系の求人が目立っている。繁華街にも客が多く出歩いており、店員を確保できないため、営業時間を短縮せざるを得ないという声も聞く。営業系も求人数が増加している。スキルの高い人材を求める動きがみられ、企業の営業拡大の様子がうかがえる。,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・インバウンドの受入れ、県民割などの影響で引き続き宿泊業の求人募集が増加している。今後も外国人観光客の受入拡大に伴って、観光業全体で求人が増えるとみられる。小売業や生活関連サービス業も堅調に推移しているが、物価高、最低賃金引上げの影響で採用を手控えることが懸念される。,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・求人数は業種を問わず同等又は微増傾向で推移している。,
,,○,職業安定所（職員）,求職者数の動き,・８月の新規求職者数が前年から4.5％減少している一方、新規求人数は前年から12.4％増加している。今後への懸念材料はあるものの、業況が堅調な企業を中心に求人が出されていることから、景気はやや良くなっている。,
,,○,職業安定所（職員）,求人数の動き,・当地における８月の有効求人倍率は0.95倍であり、３か月前との比較では0.07ポイント上回っている。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・新型コロナウイルスの新規感染者数が減少していること、地域の基幹産業である農業が収穫期を迎えていることから、景気の先行きに明るさを感じていたものの、求人数の伸びに減速傾向がみられる。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・コロナ禍にあっても影響の少なかった建設業界からの掲載申込みが激減しているものの、飲食、観光業界からの掲載申込みが回復してきたことから、全体的には景気は変わらない。,
,,□,学校［大学］（就職担当）,求人数の動き,・前年、前々年と比べて、企業の新卒採用の動きが鈍くなっている。10月１日の内定式を控えて、内定辞退する学生が少ないこと、又は企業が無理して採用予定枠一杯まで採る必要はないと考えていることが理由とみられる。学生の就職決定率に前年と大きな差がないことから、未内定学生の今後の就職活動に不安を感じるとともに、企業が慎重に先行きを見定めている状況がうかがえる。,
,,▲,職業安定所（職員）,それ以外,・値上げが相次ぐ一方で、賃金上昇がそれに追い付いていないことから、雇用環境が悪化している。,
,,×,＊,＊,＊,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,衣料品専門店（店長）,来客数の動き,・前年と大きく異なるのは冠婚葬祭についてである。結婚式の予定などが増えてきているため、スーツなどを扱う業界は景気が上向いてきている。,
,,○,一般小売店［酒］（経営者）,販売量の動き,・県民割のクーポンを使う人の来店が多くなっている。,
,,○,一般小売店［医薬品］（経営者）,販売量の動き,・相変わらず新型コロナウイルス感染症関連商品の動きが顕著である。常連ではない客も来店しているため、来客数も伸びている。また、季節の変わり目であることから、今月は化粧品の動きも顕著である。前年比115.3％と良くなっている。,
,,○,百貨店（売場担当）,単価の動き,・上客を中心に秋物の動きが活発になっている。ショップ単位の定価販売施策の効果も大きい。ビジネスや各種行事等も動きがあり、セット販売により客単価も上がってきている。,
,,○,百貨店（催事担当）,来客数の動き,・物産展や期間限定ショップ等の各種催事がにぎわい、来客数が増えている。前年は大型催事が軒並み中止となったこともあり、売上も前年同月比で３割近く伸長している。,
,,○,コンビニ（経営者）,来客数の動き,・今月は近隣で土日のイベントが２回開催され、人の動きが良くなっている。制限はありながらも開催されれば人出が見込める状況にある。夜間の人の動きも徐々に良くなっている。,
,,○,コンビニ（経営者）,お客様の様子,・来客数、客単価が前年を超えてきている。,
,,○,コンビニ（経営者）,販売量の動き,・来客数は横ばいだが、販売量と単価の増加により、新型コロナウイルス感染症発生前の水準まで戻りつつある。人の動きが自粛からかなり活発になっているのが要因とみている。,
,,○,コンビニ（エリア担当）,来客数の動き,・初夏と比べ若干ながら人流が回復しつつある。,
,,○,コンビニ（エリア担当）,単価の動き,・８月に祭りが実施されたことや気温の上昇などで、客の動きが活発化している。来客数は前年と変わらないが、購買意欲の上昇か買上点数が増加している。,
,,○,衣料品専門店（経営者）,お客様の様子,・新型コロナウイルス感染症の第７波もピークアウトし、来客数は少しずつ増加している。,
,,○,衣料品専門店（店長）,お客様の様子,・行動制限の解除に伴い、旅行、出張などの用途に応じて必要商品を購入する人が増えている。少しずつではあるが消費が戻ってきているようである。,
,,○,一般レストラン（経営者）,来客数の動き,・新型コロナウイルスの新規感染者数の減少や行動制限の解除などがあり、土日祝日を中心に一定数の客が戻ってきている。３か月前と比べると、少しずつ来客数が増えてきている。,
,,○,一般レストラン（経営者）,来客数の動き,・新型コロナウイルス感染症に対して客に諦めムードがみられ、外に出てもいいだろうという雰囲気が少し出てきている。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・新型コロナウイルスの新規感染者数も減少傾向にあり、県民割などの延長もあることから、来客数は増えている。,
,,○,観光型ホテル（スタッフ）,来客数の動き,・新型コロナウイルスの新規感染者数の減少に伴い、客が増えてきている。,
,,○,観光型旅館（経営者）,来客数の動き,・夏休みも終わり、閑散期であるものの、多くはないが来客が途切れていない。,
,,○,旅行代理店（従業員）,販売量の動き,・団体旅行の延期や中止は出ているものの、３か月前と比べれば伸びはある。また、学生の旅行が堅調である。個人旅行が低調のままである点は３か月前と変わらない。,
,,○,旅行代理店（従業員）,販売量の動き,・お盆以降販売が伸びており、９月の連休の販売も好調に推移した。今後、全国旅行支援が開始されることから、更なる販売拡大に期待をしている。,
,,○,タクシー運転手,来客数の動き,・季節が秋に変わり、多くの観光客が来ている。また、イベントやコンサート等の開催により、人の移動が増加している。営業収入は前年同時期と比べ約50％増加している。,
,,○,テーマパーク（職員）,来客数の動き,・出掛けることに抵抗がなくなっており、団体客、個人客共に戻ってきている傾向にある。買上点数は伸び悩んでいるが、高単価商品を自分用に購入する人がおり、客単価が上昇することもある。,
,,○,観光名所（職員）,単価の動き,・連休中は天候に恵まれなかったため伸びは今一つだったが、客単価は上がっている。景気はやや上向きになっているようである。,
,,○,遊園地（経営者）,来客数の動き,・新型コロナウイルス感染症の第７波が次第に収まり、客の心理が好転している。３連休が２回もあって、新型コロナウイルス感染症発生前に近い水準になっている。,
,,○,設計事務所（経営者）,お客様の様子,・大型案件の公共工事の設計発注が多かったため、地元設計事務所は契約による売上が大きく伸びている。,
,,○,その他住宅［住宅展示場運営会社］（従業員）,来客数の動き,・９月の来場組数が前年と同等で、単月でも今年度で２番目に高い来場組数となっている。祝日が多いだけではなく、住宅購入を考える客の動きが少し活発になった印象を受ける。,
,,□,商店街（代表者）,お客様の様子,・新型コロナウイルス感染症の第７波が収束傾向にあり、商店街の人出が戻りつつある。しかし、原材料価格の値上がり等により食料品を中心に値上げ傾向にあり、消費動向は横ばいである。,
,,□,商店街（代表者）,来客数の動き,・コロナ禍、世界情勢と不安材料はあるが、街は穏やかで人出は意外と減っていない。,
,,□,一般小売店［書籍］（経営者）,販売量の動き,・大型の集客施設の店舗は売上が元に戻ってきているが、路面店は相変わらず厳しい。取り扱っている商品は再販商品のため販売価格が決まっており、コストの上昇分を販売価格に転嫁できないため、厳しい状況が続いている。,
,,□,一般小売店［酒］（経営者）,販売量の動き,・全国的には様々な規制が緩和されているが、地方に至ってはまだその状況に追い付いていない。拡大家族が多い地方では、まだ出控えの雰囲気が強く、宴会等を行う企業も少ないため、特に飲食店への販売量は全く伸びていない。,
,,□,一般小売店［寝具］（経営者）,販売量の動き,・夏物販売の最終戦であったが、商品の動きはほとんどなかった。,
,,□,百貨店（経営者）,販売量の動き,・全般的に商品価格が上がり、多少なりとも割安感を求めるためか、割引、ポイントなどの販売促進施策の実施期間での購買に増加の傾向がみられる。,
,,□,スーパー（営業担当）,来客数の動き,・来客数の前年割れが続いている。１品単価が少し上がり売上は前年を維持している。値上げラッシュが続くなか客の購買は慎重で、買上点数が前年を割り込んでいる。,
,,□,コンビニ（経営者）,来客数の動き,・季節が変わりつつあるが、客の動きにも来客数にも変化はない。,
,,□,衣料品専門店（経営者）,単価の動き,・全ての仕入先から値上げの話がきているため、客先への値上げの交渉をしており、売上がなかなか作れない。,
,,□,衣料品専門店（経営者）,販売量の動き,・気温が下がらず、秋物の出だしが鈍い。インポート物の値上がりなどはマイナス要因である。,
,,□,衣料品専門店（店長）,来客数の動き,・ビジネスの客は減少傾向にあるが、冠婚葬祭の需要は大幅に回復している。,
,,□,衣料品専門店（総務担当）,単価の動き,・来客数、買上点数は前年比でほぼ100％であるが、客単価が減少している。売れた商品の構成も処分品の割合が高く、定価品が低い。生活必需品の値上げが行われているなかで、値下げしている商品を購入しているようである。,
,,□,乗用車販売店（従業員）,販売量の動き,・法人からの注文は増えているが個人客からの注文はなかなか増えず、景気は良くなっていない。,
,,□,乗用車販売店（従業員）,販売量の動き,・新車の生産台数は増えず、納期の長期化は変わっていないが、受注台数は前年並みで推移している。,
,,□,乗用車販売店（従業員）,販売量の動き,・受注はあるが、販売するものがない。直近の収益になりようがない。,
,,□,自動車備品販売店（経営者）,お客様の様子,・客の入庫数などに変化がない。１台当たり単価もほぼ変化はない。,
,,□,住関連専門店（経営者）,販売量の動き,・お彼岸までは必要な小物類の売上が堅調であったが、それ以降は下降の一途で、月の売上は例年並みの状況である。,
,,□,その他専門店［白衣・ユニフォーム］（経営者）,販売量の動き,・観光地へ客が戻ってきている感じがあり、少しずつではあるが活気が出ている様子がうかがえる。しかし、偏りがあり全般的に良いわけではない。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・人の動きは多くなっているとみられるが、販売量については変わらない。販売価格が高止まりしていることが要因とみている。,
,,□,その他小売［ショッピングセンター］（統括）,お客様の様子,・新型コロナウイルスの感染状況が多少落ち着いてきて人の流れは出てきているものの、客の様子を見るとそれが購買行動にはつながっていないようである。,
,,□,一般レストラン（経営者）,お客様の様子,・エリア限定のプレミアム付商品券が月初めから販売となり、前年と同様に使用者が押し寄せるとみていた。しかし、一連の値上げが財布のひもを締め上げている様子で、日常の食品や洗剤等の消耗品購入のため、スーパーでの使用が多く、特に夜の部の飲食店には潤いがない。値上げに所得が追い付かず、景気回復からはますます離れていっている。,
,,□,タクシー運転手,お客様の様子,・タクシー業界だけでなく、タクシーを利用する客の様々な業種でも非常に動きが出てきている。連休なども含めて動きが良くなっている。,
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲に変化はみられない。,
,,□,通信会社（営業担当）,お客様の様子,・ガソリン価格も落ち着いてきている。,
,,□,通信会社（営業担当）,お客様の様子,・生活必需品の値上げが頻繁に行われており、景気が上向きとは言い難い。,
,,□,競艇場（職員）,単価の動き,・来場客は固定客のみで客単価もほぼ変わらないため、売上は変わらない。,
,,□,美容室（経営者）,来客数の動き,・再来店率は前年比94から95％という流れがずっと続いている。また、新規客がなかなか増えない状況が続いている。安心感があるいつも行っている美容室を選んでいるとみている。,
,,□,美容室（経営者）,お客様の様子,・客との会話中、まだ新型コロナウイルス感染症に対する不安を口にする人も多い。,
,,□,美容室（経営者）,お客様の様子,・今はブライダルも簡素化しており、花嫁の着付けといった仕事がなくなっている。,
,,□,その他サービス［自動車整備業］（経営者）,お客様の様子,・依然、新型コロナウイルスの新規感染者数が減らず、販促イベントや懇談会などでの集客が見込めないため、来客数も売上も低迷している。,
,,□,住宅販売会社（経営者）,お客様の様子,・注文建築よりも、確実に入居できる建売希望の客が多い。,
,,□,その他住宅［リフォーム］（従業員）,販売量の動き,・住宅設備機器はガス給湯器とエアコン、浴室乾燥機の交換工事が増えている。リフォームは資材入荷遅れにより塗装工事が減っている。,
,,▲,商店街（代表者）,競争相手の様子,・身の回りで、閉店する店がどんどん増えてきている。,
,,▲,一般小売店［医薬品］（経営者）,来客数の動き,・新型コロナウイルス感染症の第７波が収束に向かうにつれて、来客数がはっきりと少なくなってきた。感染が広がっているときは感染への備えに、医薬品類に対する需要が一時的に高まったが、鎮まるにつれ本来の景気の状況があらわになってきたとみている。,
,,▲,スーパー（店長）,来客数の動き,・客単価は前年を超過しているが、９月に入り来客数の減少が顕著になっている。,
,,▲,スーパー（営業担当）,販売量の動き,・９月に入り新型コロナウイルスの新規感染者数は減少傾向になり、県外からの観光客や帰省も増え、消費の活性化を期待したが、値上げの影響が大きく買上点数が伸びてこない。特に加工品は価格競争が加速している。客単価は前年を維持しているが来客数の落ち込みが大きい。,
,,▲,コンビニ（経営者）,それ以外,・新型コロナウイルス感染症発生前まで売上が戻り切らない。さらに、電気代が上がりすぎてかなり厳しい。冬を越せるか分からない。,
,,▲,コンビニ（店長）,来客数の動き,・マスコミが値上げを騒ぎ立てるため、客の財布のひもが固くなっている。値上げにより単価はそれほど悪くなく、来客数が若干悪い。それほど悪いわけではないが、連休明けから低迷しているようである。,
,,▲,家電量販店（店長）,販売量の動き,・客の消費意欲は減退しているようである。買換え商品に関しては単価がやや落ちている。新しい商品、伸びる商品は発生していない。客が買い控えをしている印象を受ける。,
,,▲,家電量販店（従業員）,販売量の動き,・新型コロナウイルスの感染拡大が止まらない状況のなか、来店を控える客も多く、売上が伸び悩んでいる。,
