,,▲,コンビニ（エリア担当）,・公共工事の減少が、大きな影響を与えると思われる。,
,,▲,乗用車販売店（従業員）,・乗用車の買替えサイクルが、更に延びてきているように思われ、まだ乗れる車はなかなか買替えに結びつかないようになってきている。,
,,▲,その他専門店［ガソリンスタンド］（経営者）,・イラク情勢の長期化による原油の高騰が予想される。,
,,▲,高級レストラン（経営者）,・３月は歓送迎会シーズンなので、前年並みの売上を維持しているが、３か月後にはイラク情勢の影響が出てくると思われる。また、依然としてデフレ経済が続き、不況は免れない状況である。特に飲食業界は苦戦するだろうと考えられる。,
,,▲,高級レストラン（スタッフ）,・長引くと思われるイラク情勢の影響が客足を鈍らせ、消費の低下が現れる。,
,,▲,観光型ホテル（経営者）,・イラク情勢による社会世相への影響が懸念される。また、予約状況も厳しく、これに医療費の負担増と発泡酒の増税問題が絡み、悪化の度合いが増すのではと思われる。,
,,▲,タクシー運転手,・札幌駅の大型複合商業施設の開業効果がいつまで続くか分からないが、規制緩和により個人タクシーが一挙に約130台増えるとともに、法人タクシー会社も増車を行っており、札幌市内のタクシーの台数が増えているため、競争が激しくなることが予想される。,
,,▲,タクシー運転手,・イラク情勢の影響により石油価格が上昇し、それに伴いＬＰガスの価格も上昇することが予想され、コスト高につながる。また、タクシー台数も増加するため、現状よりも売上は減少すると思われる。,
,,▲,観光名所（役員）,・ロープウェイの予約状況から判断して、やや悪くなると思われる。,
,,▲,美容室（経営者）,・今までは国内の政治、経済により、不況に陥ったが、現在は、イラク情勢、石油問題、北朝鮮問題等の問題が解決し、世界情勢が安定しない限り、株価を含めて景気回復は良くならないのではないかと思う。,
,,▲,住宅販売会社（従業員）,・客足の悪さは、全て経済不安の影響であるという傾向が、非常に強くなっている。そのため、これから数か月で、経済回復は考えられず、現状維持がやっとであると思う。,
,,×,スーパー（店長）,・最近の株安、失業率の増加、大手銀行の経営悪化にともなう連鎖倒産の懸念など、将来に対する生活不安が増大する傾向にあり、消費支出は減少傾向になると思われる。また、札幌の特殊与件として札幌駅の大型複合商業施設の開業による既存小売店への影響も想定される。,
,,×,コンビニ（エリア担当）,・管内の高校生就職内定率が非常に低下しており、管内の地方公共団体でも給与のベースアップが行われず、更には人員削減が行われているので、先行きに対して不安感が出ていると思う。,
,,×,住関連専門店（従業員）,・イラク情勢による景気の悪化は止められないと思う。,
,,×,一般レストラン（スタッフ）,・イラク情勢の影響で消費者のマインドが冷え込む。,
,,×,スナック（経営者）,・イラク情勢の影響がかなり出てくると思う。,
,,×,旅行代理店（従業員）,・イラク情勢の本格的な反動は２～３か月後にくると予想される。,
,,×,旅行代理店（従業員）,・イラク情勢が落ち着かない限り、景気の回復は見込めない。,
,,×,旅行代理店（従業員）,・イラク情勢が短期で解決しても、旅行需要は急速には回復しない。,
,,×,設計事務所（所長）,・先行き不安感がなくならない限り、長期ローンを組むことへの不安から、住宅や小店舗の動きは鈍いままである。動きがみられても極端な低予算のなかでの仕事の取り合いとなることが予想される。,
"企業
動向
関連

(北海道)",,◎,－,－,
,,○,司法書士,・４月以降に税制改正があるため、土地取引や建物の建築着工が増加する可能性があり、その影響でやや上向きになることが期待される。,
,,□,食料品製造業（社員）,・イラク情勢による原油価格の高騰及び戦後復興費用の負担など、日本の抱えている状況には支出増の気運が大きい。国債発行、又は補正予算など国際的見知から歳出増による増税問題も出てくる可能性を秘めている。総じて、リーダーシップの不足による国内経済の混乱という様相もあり、景気浮揚の気運になく、現状維持が精一杯である。,
,,□,食料品製造業（団体役員）,・季節要因による消費の増加は期待できるものの、市場のパイは変わらないため、景気動向に大きな変化はない。また、株価や不良債権処理の問題が改善されないため、中小企業の設備投資、雇用環境の見通しに明るさがない。,
,,□,家具製造業（経営者）,・イラク情勢という外的要因が、日本経済、さらには家具業界にも影響を与えると思う。,
,,□,金属製品製造業（統括）,・季節的には住宅建設工事も動きだすと思われるが、現在の景気動向から住宅需要量が大きく拡大していくとは予想しにくい。,
,,□,輸送業（営業担当）,・消費動向が良くなる見通しがないことから、現状より上向くとは予想できない。,
,,□,通信業（営業担当）,・３か月という短期で回復するような要因が見当たらず、現状維持が精一杯という感じである。,
,,□,通信業（営業担当）,・今月は若干上向きの気配があったが、急激な変化はないと考えている。,
,,□,金融業（企画担当）,・季節要因もあって建設業などではマインドは改善されるが、札幌駅の大型複合商業施設の開業により、地方都市の消費停滞が予想される。,
,,□,広告代理店（従業員）,・これから観光シーズンであるが、函館には札幌の大型複合商業施設のオープンほど、インパクトのある話題がない。また、８月には大手百貨店の閉店もあるため、逆に少し落ち込む可能性もある。,
,,□,その他サービス業［建設機械リース］（支店長）,・今後も設備投資の引き合いが増えない。,
,,□,その他企業［コンベンション担当］（従業員）,・婚礼の取り合いで過当競争になっており、価格が下がっている。このことが売上減少に大きな影響を与えており、今後も厳しい状態が続くと思われる。,
,,▲,輸送業（経営者）,・デフレ状況やイラク情勢による燃料の高騰が、経済に相当影響を与え、悪化させるのではないかと思われる。,
,,▲,輸送業（支店長）,・イラク情勢の影響等による原油の値上がりは企業収益にボディーブローのように効いてきている。現実に、直近では陸運業界においてガソリン、軽油の値上がりが、収益圧迫という形になって現れてきている。,
,,▲,その他サービス業［建設機械リース］（営業担当）,・イラク情勢による影響が出てくると思う。,
,,▲,その他サービス業［建設機械リース］（支店長）,・車両業界では排ガス規制、速度規制等があるため、末端の業者はますます厳しくなる。建設業界も同じであり、社会の根幹の業種はまだ厳しい状況が続くものと思われる。,
,,▲,その他非製造業［機械卸売］（従業員）,・鉄骨加工業の中堅、大手はそこそこの仕事量は確保しているものの、鋼材、副資材が値上がりしており、なかなか単価アップを認めてもらえない状況である。,
,,×,食料品製造業（経営者）,・イラク情勢の影響による景気後退不安から、消費マインドの冷え込みが予想され、商品の販売量が減ると予想される。,
,,×,その他サービス業［システムハウス］（経営者）,・イラク情勢、北朝鮮問題、ドル安、株安、大手銀行の赤字決算など、不景気に追い打ちをかけるような要因ばかりが目白押しである。,
"雇用
関連

(北海道)",,◎,－,－,
,,○,求人情報誌製作会社（編集者）,・札幌駅の大型複合商業施設の求人が落ち着いているにもかかわらず、求人件数は増加していることから、サービス業で忙しくなり始めているような感じがする。,
,,○,職業安定所（職員）,・今夏に、市内の空き店舗跡に大型スーパーが入居する商業施設の進出が２件予定されており、雇用需要が見込まれる。,
,,□,人材派遣会社（社員）,・短期的な求人が多くなっているため、全体としては変わらない。,
,,□,求人情報誌製作会社（編集者）,・求人件数は、建設業を除いた業種のほぼ全てで前年比を上回っているが、今後これといって求人が活発化する要素が見当たらない。,
,,□,新聞社［求人広告］（担当者）,・イラク情勢が早期に終結、北朝鮮問題が解決し世情が安定するまで景気はこの状態が続くのでないかと思う。,
,,□,職業安定所（職員）,・パートの求人が増加傾向にあるものの、有効求人倍率は依然として低い水準で推移している。,
,,▲,求人情報誌製作会社（編集者）,・常用雇用者の採用枠の大幅な減少により、パートやアルバイトなどの臨時・期間雇用者の増加につながっている。また、相対的に報酬額が下がり、可処分所得も減少することが懸念される。,
,,×,職業安定所（職員）,・大手百貨店の閉鎖を控え、離職者の増加が見込まれる。,
,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(東北)",,◎,－,－,
,,○,一般小売店［カメラ］（店長）,"・販売量と来客数が伸びており、当業界はこれからシーズンに入るため、今以上の伸びを示す。
・新製品なども多数出てくるため、販売量も更に伸びる。",
,,○,衣料品専門店（店長）,・以前、量販店でのスーツ購入に流れた客が戻ってきており、それに加え、デパートで購入していた客層の流入も見込まれるため、良くなる。,
,,○,衣料品専門店（店長）,・フレッシュマン需要が苦戦している反面、ビジネス層の春物需要の立ち上がりが早く、来月以降に本格的な立ち上がる兆しが出ている。,
,,○,スナック（経営者）,・世界中のビックニュースは沢山あるが、その割には来店している。またリピーターも少し増えている。,
,,○,観光型ホテル（経営者）,"・５月以降の問い合わせは順調である。
・イラク情勢のためか、高級旅館への新婚客の問い合わせが毎日発生している。",
,,○,観光名所（職員）,・現在、県内では河川観光業者が軒並み休業や倒産しており、他社を利用していた客が当社に流れてくる可能性が高くなっている。,
,,○,競艇場（職員）,・ナイターレースの開催などで、若干ながらも来客数の増加が期待できる。,
,,□,商店街（代表者）,・郊外に大型量販店とカテゴリーキラーが大挙して出現している。毎年のようにこうして中心部商店街の一般的な小売店の百軒分とか二百軒分の施設ができるため、中心部商店街の売上が伸びるわけがない。これは景気というよりも構造的な問題である。,
,,□,百貨店（売場主任）,"・ブライダルギフトなどの大口需要が少なくなっている。ただ仏事対応だけが単価上昇の期待が持てる。
・予定している特奨会では、シビアな売上を予想している。",
,,□,百貨店（企画担当）,・イラク情勢などの与件はあるが、現状では全く予想がつかない状況であり、変わらない。,
,,□,百貨店（広報担当）,"・ヤングからミッシー、ミセスに関しては購買意欲が感じられるものの、シニア、シルバー層の購買意欲を喚起できないでいる。
・国内外の不安要因に加え、競合店のリニューアルなど読みにくい状況にある。",
,,□,百貨店（売場担当）,・これから催事やイベントが目白押しで、その分のシャワー効果はあるが、単価が低くそれほど変わらない。,
,,□,スーパー（経営者）,・今後、売価をかなりの商品で切り下げようと考えている。これにより来客数、客単価はキープできると思うが、利益をどれだけカバーできるかを考えると、どちらとも言えない状況である。,
,,□,スーパー（経営者）,"・今のような厳しい状況がこのまま続くが、場合によってはもっと悪くなる。
・今の状況では、株価が上昇する見込みもなく、賃金は全体的には同じか低下する人が多く、イラク情勢の推移によっても、消費者心理に与える影響は大きい。",
,,□,スーパー（店長）,"・買上点数や来客数の動きは変わらないが、一点単価の下落が続き、売上、利益共に圧迫されている。
・タイムサービスなどのバーゲンハンターが多く、客単価も上昇の見込みは無い。",
,,□,スーパー（店長）,・イラク情勢の景気への影響が懸念される。原油価格の上昇が最も大きな不安材料であり、家計支出がより一層倹約指向になる。,
,,□,衣料品専門店（経営者）,・イラク情勢の早期終結は望めず、統一地方選挙が始まり、買い控えが目立つ。,
,,□,乗用車販売店（経営者）,・イラク情勢が早く解決し、ガソリンなどの値上げ分が元の価格に戻れば、社会の安定と共に期待ができる。,
,,□,その他専門店［家電］（経営者）,・こういった状況は、以前からずっと長く続いており、今後も全く良くならないといっても過言ではない。誰もが将来に対して悲観的に考えており、消費意欲が湧いてこないということである。,
,,□,高級レストラン（支配人）,"・宿泊の予約状況は、前年比90％くらいである。
・宴会予約は、４、５月はほぼ前年並みの予約状況であるが、６月は落ち込んでいる。
・レストランの予約は前年とほぼ同じ水準である。",
,,□,一般レストラン（経営者）,・競合他社も販売価格を低く設定しており、来客の分散化が目立ってきている。,
,,□,観光型旅館（経営者）,"・来月の出足が悪いので、この部分の仕上がりがどうなるか懸念される。
・長期化しそうなイラク情勢の影響がまだ見えない状況である。かつてはふたを開けるまで分からないと言っていたが、今はふたを閉めるまで分からない。",
,,□,観光型旅館（経営者）,"・４月は統一地方選挙があり、一時的な落ち込みが予想される。
・５～６月の予約状況は、平日は０。ゴールデンウィークはかなり予約が入っており、休前日なども予約が入ってきている。５月以降は、前年並み程度である。
・海外旅行自粛のムードが出ているようだが、当館の来客動向には何の影響もない。米国テロの経験では、プラスの影響はなく、逆に沈んだ気分が広がり、旅行マインドが冷える。",
,,□,都市型ホテル（スタッフ）,"・11月以降、前年実績を上回る月が増えており、ホテル全体としてはいいムードであるが、４月は県議選と市議選があるため、客の手控えを感じる。しかし、５月は、予約状況が良く、全体的には良い基調で推移する。
・民間よりも官公庁の需要が依然として多いというのが実態で、むしろその傾向は強まっている。",
,,□,都市型ホテル（スタッフ）,・新年度は、医療費負担の増加など家計を圧迫する要素が多く、賃金よりも雇用が優先され、ベースアップも望めず、マインド的にはいつもと変わらない。,
,,□,通信会社（経営者）,・日本経済がデフレ状態にある中、イラク情勢により、デフレの中でもガソリンの値上がりなどが目立っている。こういった好ましくない状態が続き、将来の景気に悪い影響を与える。,
,,□,遊園地（経営者）,"・ライバル施設との共同キャンペーンの展開など、前向きな施策で下支えを図る。
・団体客については、旅行代理店からのコミッション要請などがあり、厳しくなることが予想される。",
,,□,住宅販売会社（経営者）,・低コスト住宅は動いているが、ここに来て高品質を求める動きが出てきており、二極化が見られるようになっている。また贈与税、住宅ローン減税などの効果で、現在の好調さは続く。,
,,□,住宅販売会社（従業員）,・マンション販売は好調であるが、立地条件の良い物件は足が速く、高い物件や利便性の低い物件は相変わらず売れ残っており、状況に変化は無い。,
,,▲,一般小売店［書籍］（経営者）,・社会時局ものの関連本や雑誌が多く発刊されているが、売上貢献にはほど遠い状況である。,
,,▲,百貨店（売場主任）,・イラク情勢にもよるが、戦争そのものの経済への影響と共に、消費者心理が一段と悪化する。,
,,▲,百貨店（企画担当）,・競合店の新規出店もあり、ますます競争が激化するため、売上が上昇する見込みはない。,
,,▲,百貨店（販促担当）,・先日、当県のシンクタンクが発表した景気動向調査では、当県の景気はほぼ横ばいということであったが、今般の戦争により、トラベル関係ではキャンセルが相次ぎ、消費マインドに水を差している。,
,,▲,スーパー（総務担当）,・スーパーマーケット関係商品はほとんど変わらないで推移しているが、ビデオレンタルやタイヤ交換などのサービスの１品単価が低下している。,
,,▲,コンビニ（エリア担当）,・政情不安という部分で、直接的な影響というものではないが、チケット販売では、海外アーティストの来日が延期になったりといったことが発生しており、売上に貢献するはずのチケットが売れなくなっている。,
,,▲,コンビニ（エリア担当）,・イラク情勢の影響が今後どう出てくるか、不透明である。,
,,▲,コンビニ（エリア担当）,・増税や保険料の負担の増加など、新聞やテレビなどで報道されるたびに客の買い控えが起きる。,
,,▲,コンビニ（店長）,・仕事が無く、人の動きが少なくなり、製造又は小売業はかなり厳しいという現状を目の当たりにしている。数年前と比べて何が決定的に違って、悪い状況になっているのかという疑問を持つ人が多く、こうした声が出るうちは、まだまだ良くならない。,
,,▲,衣料品専門店（店長）,・デフレも一段落した感はあるが、高単価商品を求める客の数では、売上増を望めない状況である。,
,,▲,乗用車販売店（経営者）,"・グリーン税制の駆け込み需要の反動と、少雪のため１、２月の販売が例年よりもプラス５～10％と予想以上に増えていることの反動で、販売量が減少すると見ている。
・サービス入庫も、客そのものが減少しているため、前年よりも２けた規模で減少する。",
,,▲,乗用車販売店（経営者）,"・イラク情勢の国内景気に与える影響やクルマの燃料代の上昇懸念、優遇税制の改定などで、市場の動きは縮小する。
・他社との競合が激しく、台数の確保ができても、獲得利益が減少するという厳しい見通ししか立てられない。",
,,▲,乗用車販売店（従業員）,・３月末になって、客の動きがぱったり途絶えている。４、５月は低迷期であり、６月には新型車が投入されるが、時代にマッチした車種ではないため、受注も見込めない。,
,,▲,住関連専門店（経営者）,・裕福な客層の買上は減少していないが、一般客の購買頻度が大きく減少すると見ている。,
,,▲,住関連専門店（経営者）,・３月は年間で最も売上の大きい時期であるが、催事を実施しても売上が伸びず、このままイラク情勢が長期化することで、景気に悪影響を与えないことを願うばかりである。,
,,▲,その他専門店［酒］（経営者）,・イラク情勢や株価の動きなど、不安材料が多く、将来的には消費が落ち込む。,
,,▲,その他専門店［酒］（営業担当）,・先行き不透明感に加え、イラク情勢の影響が懸念される。日本にとってはあまりいい影響が無いと思う。,
,,▲,その他専門店［白衣・ユニフォーム］（営業担当）,"・３、４月は人が動くので、良いが、それが一段落すれば、落ち込む。
・社会情勢から、ものの値段がどう変わるか、気になる。物価上昇に伴って、買い控え、などが起きないか心配である。",
,,▲,その他専門店［ガソリンスタンド］（営業担当）,・石油業界では、イラク情勢の終結と同時に大きな波が来て、更に悪くなると予測している。,
,,▲,一般レストラン（経営者）,・２～３か月先の見通しでは、予約の状況を見ても、やはり芳しくなく、タクシーの運転手さんの話も良い話がなく、同業他店の閉店が相次いでいるので、全くもって良くない状況である。,
,,▲,一般レストラン（スタッフ）,・戦争が始まり、気持ち的に景気は下向くのに加え、原油価格が上昇するためものが高くなり、そういう意味でも不景気になる。,
,,▲,その他飲食［そば］（経営者）,・消費のマイナス要因ばかりが目立つ社会情勢であり、決まった小遣いの中で支払う食事代はますます低下する。例え来客数が伸びたとしても、単価の低下に追いつかない状況になる。,
,,▲,都市型ホテル（経営者）,・プラン商品を発売したため、４月までの受注は好調であるが、５月以降の受注が前年より悪く、今後よほど頑張らなければ後半の売上増は難しいと見ている。他社に対抗し、イベントの回数を増やし、何とか受注増に結びつくよう努力しているが、現状では悪くなるという感じである。,
,,▲,都市型ホテル（経営者）,・２～３か月後は、各種総会の時期であるが、前年よりも一段と、出席者数の減少、単価の低下などが見込まれている。今の送別会需要に比べ、若干悪くなる。,
,,▲,通信会社（営業担当）,・IP電話関連の価格の安い新しいプロダクトが次々とリリースされる見込みであり、今後は若干なりともその影響を受ける。,
,,▲,テーマパーク（職員）,・戦争が始まり、先行き不安である。,
,,▲,観光名所（職員）,・イラク情勢により、旅行動向に悪影響が出てくる。,
,,▲,住宅販売会社（従業員）,・例年、新年度に入ると、受注、販売件数が増加するが、イラク情勢や最近の地価動向などで、住宅業界は厳しい方向に推移する。,
,,×,一般小売店［医薬品］（経営者）,・イラク情勢が、消費者の不安要素として大きく作用しており、消費経済を冷え込ませている。,
,,×,一般小売店［雑貨］（企画担当）,・消費者は、慎重に選択して購買している。これは消費に回せる金が少なく厳しい状況にあるというためであり、将来についても消費に回せる金が増える見込みもないという認識である。,
,,×,スーパー（経営者）,・イラク情勢の長期化に伴う将来不安や、地方選挙の影響で悪くなる。,
,,×,スーパー（店長）,・競合店の改装が続いており、また近くの商圏に競合店がオープンするため、状況は悪くなる。,
,,×,スーパー（店長）,・いよいよ県外のディスカウントストアが進出してきた。まだ競合出店は数か月先になるが、客の流出は免れない。,
,,×,衣料品専門店（店長）,・社会情勢を見ても､景気回復は考えられない。特にこの戦争によるデフレスパイラルは更に加速する。,
,,×,自動車備品販売店（経営者）,・学生の就職率低下による、自動車販売が低迷し、今後良い材料が無い。,
,,×,その他専門店［ガソリンスタンド］（営業担当）,・客に買い控えの動きが強く、夏タイヤの動きなどは例年より著しく遅れている。買換え需要が少なくなり販売が激減するなど、総じて買換え需要の低迷により全体が低迷している。,
,,×,旅行代理店（従業員）,・イラク情勢の長期化が見込まれる。既にガソリンや灯油などの石油製品の値上げが始まっており、どこかに別の問題があるのかもしれないが、家計を直撃していることは確かである。,
,,×,タクシー運転手,・深夜２時頃まで稼動していたが、今は客が全くいない状況である。早く終わっても、遅く終わっても、変わらない。,
,,×,美容室（経営者）,・景気が悪い上に、イラク情勢の問題があり、消費者意識や経営者のマインドに悪影響を及ぼし、ますます消費の伸び悩みが大きくなる。これは湾岸戦争の時にも起きており、今回はもっと強く出る。,
"企業
動向
関連

(東北)",,◎,－,－,
,,○,電気機械器具製造業（企画担当）,・量的な増加は見られるが、イラク情勢によっては先々変わる。,
,,○,経営コンサルタント,・輸出関連の下請企業では、周囲の環境に影響されず、自社開発などで自立する企業になりたいという相談が増えている。,
,,□,食料品製造業（経営者）,・リストラの終了で、好決算の企業が増え、またイラク情勢により国内旅行が増えるといった効果に期待している。,
,,□,食料品製造業（経営者）,"・このたび、民事再生法の適用申請をし、地域の皆様にご迷惑をおかけしている。
・適用以降は、一日も休まず再生に向けて努力する。",
,,□,出版・印刷・同関連産業（経営者）,・引き続き、仕事量、金額の厳しさが続く。仕事を受注しても、それに見合う利益が出てこないという状況はずっと続く。,
,,□,電気機械器具製造業（経営者）,･最近の情報は、従来より早くなっているが、決定までに時間がかかり過ぎて、その分短納期となっている。物理的に製造不可能な物件が多発している。またコスト対応も半端でない状況である。,
,,□,電気機械器具製造業（営業担当）,・特にイラク情勢の影響で、物価が上昇している部分もあるので、変わらない。,
,,□,電気機械器具製造業（総務担当）,・イラク情勢次第で変わる。,
,,□,輸送業（従業員）,・原油価格の値上がりが心配である。,
,,□,金融業（営業担当）,・企業が人件費を始めとする企業リストラを一層強めてはいるものの、保証協会のセイフティネット保証など資金供給体制が整い始めている。,
,,□,その他非製造業［飲食料品卸売業］（経営者）,・これから、気候が良くなるので、段々と購買力は増すと思うが、こういった景気の中では、当面はお金を使わないようにするというのが現状である。,
,,□,その他企業［管理業］（従業員）,・年度末は、例年フル操業になるが、今のところ、少ない状態である。しかし、仕事は少しずつ増えてきており、多少良くなる。,
,,▲,繊維工業（総務担当）,・繊維業界そのものが落ち込んでいる時、イラク情勢により経済がますます消費者に疑心暗鬼を受け付け、消費が落ち込むことが懸念される。,
,,▲,一般機械器具製造業（経理担当）,・４月以降の自動車部品の受注動向は、やや陰りが見え出している。それも最新情報が入る度に、下方修正幅が大きくなっている。,
,,▲,建設業（経営者）,・設備投資計画が全て後送りになっている。この状況では、現在よりももっと景気が悪くなる。,
,,▲,建設業（経営者）,・仕事の減少に伴い、余剰人員を抱えている企業が多い。建設業への依存度が高い東北の失業問題は今後も続く。,
,,▲,輸送業（経営者）,・イラク情勢や北朝鮮問題などの社会不安によって、経済の冷え込みがますます大きくなり、景気は悪い方向に向かう。,
,,▲,広告代理店（営業担当）,・新年度からの得意先の具体的な動きが出ておらず、例年よりも遅い。,
,,▲,新聞販売店［広告］（店主）,・シケによるわかめの大損害で、購読を停止した長期の読者が複数いる。わかめ業者はまだいるので、波及する業種も大きく広い。,
,,▲,その他企業［企画業］（経営者）,・イラク情勢とその影響を眺めているという客が多く、その連鎖的な悪影響が出てくる。,
,,×,繊維工業（営業担当）,・イラク情勢の影響が大きく、景気が最悪の状況になる。,
,,×,電気機械器具製造業（総務担当）,・イラク情勢の長期化は、日本経済の低迷を長引かせ、受注量の大幅減に結びつくことが懸念される。,
,,×,輸送業（従業員）,・イラク情勢が長期化すれば、航空機燃料が即値上がりし、運賃上昇となり、航空貨物業界は大きな打撃を受ける。,
,,×,広告代理店（従業員）,・３か月先までの前年度実績を潰しているが、前年度の案件が廃止になったり、また予算が削減されるなど、暗い状況である。,
,,×,公認会計士,・不況感が充満している中でのイラク情勢であり、しかも長期化が見込まれるため、一段と悪化する。,
,,×,コピーサービス業（経営者）,・ゼネコン不況の中にあって、我々コピー業者もその影響を受ける。,
"雇用
関連

(東北)",,◎,＊,＊,
,,○,人材派遣会社（経営者）,・ここに来て、求人の新聞広告が増えている。営業職を求めてもなかなか応募者が集まらないところをみると、多少は雇用の改善が進んでいるものと思われる。ただし、これが季節的なものでなければ良いのであるが。,
,,□,人材派遣会社（社員）,"・入札案件が入っており、多忙ではあるが、前年と比べ、好転するような内容ではない。
・企業の合理化や移転、組織変更などで、一時的な人の需要はありそうだが、２～３か月先の景気を好転させるようなものではなく、現状維持である。",
,,□,人材派遣会社（社員）,"・良くなるような材料が見当たらない。
・欠員補充が派遣を利用するきっかけの１つであが、補充もしないという企業も多々ある。また、２人の派遣を１人にするなど、人を増やそうという動きがほとんどない。",
,,□,人材派遣会社（社員）,・工場などの大口雇用を抱える企業が直接雇用するという動きは今後あまり考えられないため、変わらない。,
,,□,職業安定所（職員）,・足踏み状態が続いている生産活動の中で、個人消費も停滞しており、活発な経済の動きは期待できず、雇用面においても当分の間横ばいの動きになると思われる。,
,,□,職業安定所（職員）,・新規求職者数は、前年に比較して減少傾向にあり、事業主都合離職者数も大きく減少しているが、今後は、不良債権処理などの影響で求職者数は増加する。,
,,▲,人材派遣会社（社員）,・取引業者の絞込みが進んでおり、今後の取引の影響が見込まれ、契約終了の可能性のある企業が増えてきている。,
,,▲,求人情報誌製作会社（編集者）,・イラク情勢を始めとする経済的な不況、売上不振がじわじわと浸透してくれば、景気は悪くなる。,
,,▲,新聞社［求人広告］（担当者）,・イラク情勢や選挙など大きなインパクトがあるが、消費動向の膠着が続き、よくなる見込みは無い。,
,,▲,新聞社［求人広告］（担当者）,・イラク情勢の動向が、早くも旅行業やエネルギー関連業に影響を与えている。長引くようであれば、採用その他求人を控える会社が増える懸念がある。,
