,,▲,その他専門店［医薬品］（経営者）,それ以外,・９月に入っても30度近い気温の日が続き、11月に入っても雨の日が多いなど、異常気象と思えるような天候のため、客足が鈍化している。特に高齢者がメインターゲットとなる商売にとっては影響が大きい。,
,,▲,その他専門店［造花］（店長）,お客様の様子,・引き続き厳しい状況ではあるものの、開店や開業などによる仕事の依頼が増えている。ただし、定期受注につながるような内容ではないため、一時的な仕事で終わることが懸念される。,
,,▲,観光型ホテル（経営者）,来客数の動き,・全国旅行支援が終了したことで11月以降の来客数と予約数が落ち込んでいる。特に地方の観光地では都市部と比べて影響が大きい。また、地方空港ではグランドハンドリングの人手が不足していることで、海外便が希望どおりに就航できず、インバウンドの回復が大幅に遅れている。そのことが現在の集客不足に拍車を掛けている。,
,,▲,旅行代理店（従業員）,来客数の動き,・物価高の影響が顕著にみられ始めている。客１組当たりの旅行単価が上がり続けている一方で、来客数は全体的に減少している。全国旅行支援が終了したことで、これまでの旅行需要の反動減もみられている。,
,,▲,タクシー運転手,販売量の動き,・昼間の利用客は堅調に推移しているが、夜間の飲食店帰りの利用客が好転してこない。コロナ禍での消費者の行動が定着してしまったようである。,
,,▲,通信会社（企画担当）,販売量の動き,・販売促進費が10月と横ばいであるにもかかわらず、通信端末の販売量、ポイントサービスの加入数のいずれも大幅に減少している。北海道の減少幅は全国都道府県のなかでも目立つものとなっている。来客数の減少が大きな要因であるが、その理由については現在調べているところである。,
,,▲,通信会社（エリア担当）,それ以外,・通信キャリアの政策が影響して景気はやや悪くなっている。,
,,▲,美容室（経営者）,お客様の様子,・必要な物やサービスにしか金を使わない雰囲気が顕著に表れている。技術売上は何とか前年並みの水準を保っているが、関連商品の売上は前年から30％程度の減少となっている。,
,,▲,美容室（経営者）,お客様の様子,・物価の上昇やガソリン価格の高騰が影響して、他のことを我慢しなければならないとの話を客から聞くことが増えた。,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・時期的に天候の悪化する日が多く、欠航が増えている。観光客も減っていることから、全体的な輸送量が減少している。,
,,×,商店街（代表者）,来客数の動き,・夜型飲食店は持ち直しているものの、忘年会シーズンにはまだ早いため、目立った売上アップは確認できていない。日中は、商店街区域内のバス停の乗降来客数や駐車場の利用者数が少なくなっている。暖房費の支出増加を懸念して、外出を控える傾向が強まっているためと考えられる。カラオケなど、若年層向けの遊興施設についても、冬休み前とあって顕著な利用の増加は確認できない。,
,,×,スーパー（店長）,販売量の動き,・現在の物価高の影響は大きく、景気は悪くなっている。政府が検討している１人当たり40000円の定額減税についても、１日当たりでは110円弱にとどまることから、効果を余り期待できない。,
,,×,住宅販売会社（経営者）,販売量の動き,・住宅業界においては、建売住宅の売行きがとても悪く、住宅会社が相当在庫を抱えている。今後、在庫がさばける見通しが立っていないこともマイナスである。,
"企業
動向
関連

(北海道)",,◎,食料品製造業（従業員）,受注量や販売量の動き,・11月の販売量は前年比マイナス13％であったが、３か月前の８月の販売量は前年比マイナス37％であったことから、景気は良くなっている。,
,,◎,通信業（営業担当）,それ以外,・半導体製造企業の進出を受けて、当社及び周辺において、関連の問合せや案件が増加している。景況感の改善が強く感じられる。,
,,○,農林水産業（経営者）,受注量や販売量の動き,・若干ではあるが、青果物の輸出がようやく動き始めた。,
,,○,建設業（役員）,受注量や販売量の動き,・道内各地の初雪が平年より遅いこともあって、これまで降雪による目立った影響はみられていない。また、ここに来て、建設の追加工事が立て続けに決まったこともあり、完成工事高、利益共に、年度計画達成が確実となった。,
,,○,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・売上の前年比をみると、10月まで４％弱の伸びであったものが、11月は５％強の伸びとなっている。,
,,○,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・受注量は着実に増加している。ただし、受注単価が課題となっている。,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・受注量は３か月前と変わらない状況にある。,
,,□,輸送業（営業担当）,受注量や販売量の動き,・トレーラー輸送について、一般雑貨に動きがやや出始めているものの、紙パルプ、生乳に引き続き弱さがみられている。10月に各種商品の販売価格が値上げされた影響もあって、輸送台数は前年を１割下回った。年内はこうした傾向が続くものとみられる。,
,,□,輸送業（支店長）,受注量や販売量の動き,・物流全般において、取扱量が伸びていない。特に輸入貨物については、円安が影響して毎月の前年割れとなっているなど、厳しい状況が続いている。,
,,□,金融業（従業員）,取引先の様子,・インバウンドを始め、観光客数が回復傾向にあることから、観光関連業種の業況は改善している。輸入物価指数が前年比マイナスで推移していることで、企業物価指数の伸び率は鈍化しているものの、依然として企業からは物価高に伴う原価上昇や人件費増加による収益悪化を危惧する声が聞こえてくる。,
,,□,広告代理店（従業員）,受注価格や販売価格の動き,・11月は広告費への影響が余りみられない月であった。,
,,□,司法書士,取引先の様子,・新規の住宅着工は建築費の値上がりにより停滞している。住宅取得を諦める客が多く、代わりに賃貸の新築マンション需要が増えている。余り期待の持てない状況が続いており、今後の景気回復は政府の政策次第の面がある。,
,,□,その他サービス業［ソフトウェア開発］（経営者）,競争相手の様子,・この１年ほど、どこの同業他社も人手不足の状況が続いており、受注量を増やせない状態にある。,
,,□,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・売上について、数か月前の予測をやや上回る状況がみられる。ただし、全体的な取扱量は減っており、前年の売上を下回っている。,
,,▲,金属製品製造業（従業員）,受注量や販売量の動き,・新設住宅着工戸数について、前年を下回る状況が続いている。見積件数も減少している。,
,,▲,建設業（従業員）,受注量や販売量の動き,・建設費が高騰していることで、建設中止や延期の案件が増えている。それに伴って、設計案件も少なくなっている。,
,,▲,司法書士,取引先の様子,・建築業及び不動産業の取引先については、冬季に入ることもあって、例年と同様に取引量が減っていく傾向がみられる。一方、価格を抑えた建売住宅などは、これまで取引量が堅調に推移していたが、最近になって減少傾向に転じている。,
,,×,－,－,－,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,人材派遣会社（社員）,求人数の動き,・求人企業数は３か月前と比べて減少しているものの、全体的な求人数は堅調に増えている。求職者数も底堅く推移している。求人企業における求職者との面接が３か月前と比べて３割増えるなど、企業における人材ニーズの高さがうかがえる。職種については、営業系のニーズが高く、企業が売上増加を狙って、人員体制を整えている状況がうかがえる。,
,,□,求人情報誌製作会社（編集者）,求職者数の動き,・中途採用市場において、求職者数が減少傾向にあることから、決定率が低下している。その結果、求人数がますます減少するという悪影響が生じている。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・業種を問わず求人件数が減少している。観光客が増えているにもかかわらず、宿泊業や飲食業の求人件数が減少しており、これまで堅調だった建設業も鈍化している。人件費の高騰や物価高の影響が大きいとみられる。,
,,□,職業安定所（職員）,求職者数の動き,・10月の新規求職者数は前年から4.1％の減少となったが、有効求職者数は前年から0.6％の増加とほぼ横ばいで推移している。一方、新規求人数は前年から9.0％の減少と９か月連続での減少となったものの、業況堅調な企業からは引き続き安定した求人数が公開されている。,
,,□,職業安定所（職員）,求人数の動き,・当地における10月の有効求人倍率は0.91倍であり、３か月前との比較では0.01ポイント上回った。,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・業種を問わず、求人数は３か月前と同等の水準又は微減で推移している。,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・５月中旬から、アルバイトやパートの求人申込が例年と比べて大幅に減少しており、今もその傾向が続いている。求職者においては、超短期のバイト、隙間時間でできるバイトが大人気となっている。,
,,▲,職業安定所（職員）,それ以外,・物価の上昇と実質賃金の低下が続いているなか、冬季を迎えて暖房費の支出が増加しており、景気が上向く要素が見当たらない。,
,,×,＊,＊,＊,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,一般レストラン（経営者）,来客数の動き,・２～３か月前までは物価高の影響で客が余りにも少ない状況だったが、物価高に慣れたのか諦めたのか分からないが、客が少しずつ戻っている。,
,,○,一般小売店［医薬品］（経営者）,来客数の動き,・人が動き始めており、来客数が前年同月比120％になっている。観光客の来店もかなり多くなっている。,
,,○,一般小売店［医薬品］（経営者）,単価の動き,・来客数は減っているが、客単価が前年よりも２～３％良くなっている。,
,,○,一般小売店［寝具］（経営者）,販売量の動き,・インテリア関係ではカーテンやじゅうたんなどの買換え需要が多く、寝具関係ではこたつ布団の注文が多くなっている。寒さに備え準備をする様子がみられる。,
,,○,一般小売店［雑貨］（経営者）,来客数の動き,・物価上昇に伴い販売促進費も上昇していることから、チラシをまく頻度を減らした。しかし、売上は多少減ったものの来客数は前年と変わらない。,
,,○,スーパー（店長）,販売量の動き,・商品価格の上昇で客単価が上がっている。来客数と売上も好調を維持している。,
,,○,衣料品専門店（経営者）,お客様の様子,・寒さが増してきた影響か、ようやく買上客数が前年並みに戻っている。,
,,○,家電量販店（従業員）,単価の動き,・客がインフレに慣れてきたため、景気不安が薄らいでいる。新築需要や観光需要などの高まりが景気を押し上げている。,
,,○,乗用車販売店（従業員）,販売量の動き,・水害による特需はなくなったものの、個人客の販売量が少し戻っている。,
,,○,乗用車販売店（従業員）,販売量の動き,・安定的に配車量が増えており、収益が上向いている。,
,,○,乗用車販売店（店長）,単価の動き,・新車の納車に伴って中古車の在庫が順調に増加しているため、販売台数も増加傾向にある。特に高額車、輸入車の中古取引が好調で、店頭に並ぶとすぐ売れる状況である。,
,,○,一般レストラン（経営者）,来客数の動き,・10月後半から土日祝日を中心に混み合う日が増えている。また、レストランウェディングやパーティーなどの申込みも多少増えており、やや好転している。,
,,○,一般レストラン（経営者）,来客数の動き,・11月は３人から５人の少人数の集まりがかなり多い。また、新型コロナウイルス感染症発生前のような大人数ではないものの、宴会もかなり多くなっている。,
,,○,都市型ホテル（スタッフ）,来客数の動き,・宴席の人数が増えている。収容人数にほぼ近い人数が会場に入るなどの動きがある。立食需要も増えている。,
,,○,タクシー運転手,単価の動き,・観光需要の増加に加え、年末準備や週末の買い出しが増えており、長距離客が増加している。それにより客単価が増えている。,
,,○,通信会社（経営者）,お客様の様子,・雪が降る前に新築住宅を完成させるため、この時期は新築住宅での放送サービスの申込みが増加傾向にある。また、通信サービスも集合住宅の一括導入を中心に加入数を伸ばしている。,
,,○,観光名所（職員）,来客数の動き,・国内旅行者の回復は微々たるものだが、インバウンドの回復が目覚ましい。来客数が大変多く、景気は良くなっている。,
,,○,その他サービス［自動車整備業］（経営者）,販売量の動き,・好調を維持している。売上は５年前を超えて過去最高まで回復している。,
,,○,設計事務所（経営者）,お客様の様子,・建設工事の景気が良い状態が続いており工事価格が高騰しているため、客からは景気が後退してから建設をしたいという話が数件出ている。,
,,□,商店街（代表者）,お客様の様子,・新型コロナウイルス感染症の影響はなくなっているものの、原材料等の値上がりにより物価高の傾向にあり、景気は横ばいの状態にある。,
,,□,商店街（代表者）,来客数の動き,・年末へ向かっているのに商戦が盛り上がらない。,
,,□,一般小売店［酒］（経営者）,お客様の様子,・客先からは、来客数はかなり戻りつつあるが、値上げの影響からか客単価がなかなか伸びないという話を聞く。客先の状況をみると、ターゲットが県外旅行者やインバウンドの店と、地元客の店とで売上格差が広がっている。全体的には横ばいの状態である。,
,,□,百貨店（経営者）,販売量の動き,・ここに来て気温も下がり、季節商材のマフラーなど防寒雑貨が好調である。食料品については価格上昇に対して消費者は厳しい目で見ている。特に年末年始のおせちなどは購入を迷っている客も多く、買い控えがみられる。,
,,□,百貨店（従業員）,販売量の動き,・前年比の売上が３か月前と同様の推移となっている。,
,,□,スーパー（経営者）,単価の動き,・１品単価は前年比107％となっている。価格転嫁が続いているため高い水準で推移している。来客数はやや前年を割っており、買上点数も前年比でみると良くない。低価格品の買上点数は上がっているが、売上は前年と変わらず、全体的にほぼ変わっていない。,
,,□,スーパー（店長）,単価の動き,・１品単価の伸びは変わっていないが、買上点数が回復している。割引、値引き品の需要が高いため利益率は低い。客単価は上がっている。,
,,□,スーパー（店長）,来客数の動き,・来客数が減っている。,
,,□,スーパー（店長）,来客数の動き,・来客数は若干伸びている。売上は前年を上回っているものの、値上げの影響によるものであり、景気は良くも悪くもない。,
,,□,スーパー（企画担当）,販売量の動き,・販売量は少々減っているが、値上げ等により売上は前年並みに推移している。,
,,□,スーパー（企画担当）,お客様の様子,・商品の値上がりにより自己防衛を意識する客が増えているため、特売構成比が高い傾向が続いている。また、精肉であればひき肉や小間切れなどベーシックな商品の購入が多くなっており、都市部よりも郡部でその傾向がみられる。,
,,□,スーパー（営業担当）,来客数の動き,・来客数は前年比97.3％と前年割れが続いている。買上率も97.5％と前年を割っている。,
,,□,スーパー（商品担当）,単価の動き,・物価の上昇が続き、平均単価の上昇で売上増加の傾向にある。しかし、販売数量は前年を下回る状況が続いている。,
,,□,コンビニ（経営者）,来客数の動き,・売上は前年比10％前後の伸びが続いているが、来客数は１％と伸びが大分鈍くなっている。また、買上点数も２ポイントマイナスになっている。,
,,□,コンビニ（経営者）,来客数の動き,・来客数微減により、売上は前年割れの状況である。客単価はほぼ横ばいで推移している。,
,,□,コンビニ（経営者）,来客数の動き,・人の動きは良くなっているが、来客数が増えない。,
,,□,コンビニ（エリア担当）,来客数の動き,・気温や天候要因による来客数の増減はあるものの、さほど変わっていない。,
,,□,コンビニ（店長）,お客様の様子,・景気が悪い状況は３か月前と変わらない。コロナ禍で悪くなったまま元に戻らず、その状況に慣れてしまっているのではないか。,
,,□,衣料品専門店（経営者）,お客様の様子,・お歳暮の受注が順調である。法人関係では防寒衣料の売上が順調だが、仕入価格の上昇で利益の減少が顕著である。,
,,□,衣料品専門店（経営者）,お客様の様子,・寒くなってきたため常連客は冬物の購入に気持ちが向いているが、新規客が増えない。価格帯が高めの商品を扱っているため、買物ができる層とできない層がはっきりしている。景気は相変わらず良くない。,
,,□,衣料品専門店（店長）,お客様の様子,・ブラックフライデーなどセールを仕掛けないと購入につながらない客層が増えている。ここに来て、一層お買い得に買物をしたいという客が増えている。,
,,□,衣料品専門店（総務担当）,来客数の動き,・来客数は前年比90％、売上は同95％である。客単価は前年比105％だが買上点数が伸びているわけではなく、商品の単価が上がっているためである。,
,,□,乗用車販売店（従業員）,販売量の動き,・新車の受注販売は伸びずにいたが、前年からの受注残の納期が少しずつ早まり、売上は確保できている。しかし、景気は変わっていない。,
,,□,住関連専門店（経営者）,販売量の動き,・受注量は伸びていない。,
,,□,住関連専門店（インテリアコーディネーター）,販売量の動き,・客は興味を示すものの販売にはつながらない。同じ物品なら量販店で購入するなど、インテリアに掛ける金をかなり切り詰めている。,
,,□,その他専門店［靴］（従業員）,販売量の動き,・物価高の影響で客の財布のひもが固い。複数の店舗を見てから購入する人が増えている。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・燃料油の販売数量は増加傾向にあるが、販売価格の高止まりが続いているため、洗車やタイヤといった他の商材の販売につながっていない。,
,,□,その他小売［ショッピングセンター］（統括）,来客数の動き,・今月の買上客数は2018年比95％であり、３か月前の同93％とほぼ変わらない状況である。主にファッション雑貨の店舗では同80％台で不振が続いている。通常であれば気候が変われば消費は伸びるが、客は吟味して購入する傾向が強くなっている。,
,,□,観光型ホテル（スタッフ）,来客数の動き,・新型コロナウイルス感染症が収まり、来客数は好調である。,
,,□,観光型旅館（経営者）,来客数の動き,・気温が高かったせいか紅葉が例年より遅れたため、売上が少し増加している。,
,,□,観光型旅館（スタッフ）,単価の動き,・客単価は３か月前よりも下がっている。,
,,□,旅行代理店（従業員）,販売量の動き,・国内旅行、海外旅行の個人、団体共に３か月前と比較しても大幅な伸びはなく、ほぼ変わらない状況が続いている。,
,,□,旅行代理店（従業員）,販売量の動き,・東北の宿泊販売は下期のボリュームが小さいことから下降傾向であるものの、2019年の販売量は上回って推移している。,
,,□,旅行代理店（従業員）,販売量の動き,・３か月前と変わらない。しかし、この先については旅行業は閑散期に入ることに加え、海外は円安や燃油サーチャージの影響により販売が鈍くなる可能性が高いという懸念がある。,
,,□,タクシー運転手,お客様の様子,・風雨の日が多い季節になったこともあり、通院や買物に行くための利用客が増えている。また、コンサート会場とホテル間の移動に利用する客もみられる。人が外に出ている。,
,,□,通信会社（営業担当）,お客様の様子,・前月同様景況感に変化はない。消費者は必要な商品のみ購入している。,
,,□,通信会社（営業担当）,お客様の様子,・新型コロナウイルス感染症の分類が５類感染症に移行した後に売上が伸びている業種があるものの、全般的にみると景気は変わっていない。,
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲に変化はみられない。,
,,□,通信会社（営業担当）,お客様の様子,・物価、燃料費等が高止まりしており、現状維持が精一杯とみている。,
,,□,通信会社（営業担当）,お客様の様子,・景気は低迷したまま変わっていない。物価高が続いているため、少しずつ悪くなる懸念がある。,
,,□,遊園地（経営者）,来客数の動き,・天候が比較的穏やかだったため来客数は順調に推移し、ほぼ前年並みとなっている。,
,,□,美容室（経営者）,来客数の動き,・再来店率は前年比96％から97％で推移している。,
,,□,住宅販売会社（経営者）,販売量の動き,・戸建て住宅は企画プランや建売の受注を確保できているが客単価が低い。個人投資の盛り上がりにより賃貸マンションの受注は悪くない。,
,,□,その他住宅［リフォーム］（従業員）,販売量の動き,・住宅設備機器は、気温の低下に伴い暖房設備の温水ルームヒーター交換、石油暖房器具の買換えが増えている。リフォームは、助成制度活用期間が終了したことで工事が急減している。,
,,□,その他住宅［住宅展示場運営会社］（従業員）,来客数の動き,・来場組数に変化はない。,
,,▲,一般小売店［医薬品］（経営者）,販売量の動き,・売上は、月の前半はやや良かったが後半は悪い日が続いている。前年、例年のいずれと比べても悪くなっている。,
,,▲,百貨店（企画担当）,来客数の動き,・行動制限緩和以降、上昇トレンドが継続していた来客数が、今期初めて前年を割り込んでいる。,
,,▲,百貨店（催事担当）,単価の動き,・婦人ファッション関連商品や化粧品などは堅調に動いているものの、食品や日用品を中心に買上単価、買上点数が減少している。食品や光熱費等、物価高騰の影響により生活防衛意識が高まっているとみている。,
,,▲,コンビニ（経営者）,来客数の動き,・客の来店頻度、客単価共に下がっている。,
,,▲,コンビニ（エリア担当）,来客数の動き,・気温の低下に伴い買上点数が減少している。前年比でみても減少しており、家計の引締めが始まっていることが強くうかがえる。,
,,▲,コンビニ（店長）,お客様の様子,・使える金がないためか、最近イライラしている客が多い。金を持っている客も見受けられ、格差が拡大している感じがある。単価は少し下がり気味だが、来客数はそれほど下がっていない。,
,,▲,衣料品専門店（店長）,来客数の動き,・気温が高めのため防寒衣料が出遅れている。また、10月はイベントが多く、それに伴ってニーズがあったが、11月はイベントが少なく、少し厳しい状況にある。,
,,▲,衣料品専門店（店長）,単価の動き,・ビジネス衣料に関しても、購入決定理由が品質よりも価格優先になっている。,
,,▲,家電量販店（従業員）,来客数の動き,・燃料費高騰の影響で省エネ家電への買換えが進み、商品単価は上昇傾向にあるが、来客数は全体的に減少傾向にある。暖房商品が必要な時期に入っても来客数が増えず、販売量も増えていない。景気はやや悪くなっている。,
,,▲,乗用車販売店（従業員）,販売量の動き,・買換え目的の来客数が減っており、販売数が減少している。,
,,▲,自動車備品販売店（経営者）,お客様の様子,・補修に掛かる費用を抑えているため、動きが悪い。,
,,▲,その他専門店［酒］（経営者）,お客様の様子,・９月、10月も良くはなかったが、飲食店、店頭販売のいずれも悪くなっている。飲食の機会は増えているが、店は人手不足で対応できず、客も出費を抑える様子がみられる。,
,,▲,その他専門店［白衣・ユニフォーム］（経営者）,販売量の動き,・気温も下がってきたが、期待していた防寒着の動きはまだない。サービス業、観光業、飲食店等、全般的に制服に動きが出てきているが、まだ様子見のところや余裕がなくて制服まで手が回らないところもある。,
,,▲,観光型ホテル（スタッフ）,来客数の動き,・物価高の影響で客の財布のひもが固くなっている。また、人手不足の影響で客室の稼働制限を掛けているため、来客数は減っている。,
,,▲,競艇場（職員）,単価の動き,・来場者は常連客が大半を占めており、客単価は下がっている。,
